sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Domin ó nap</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> -t</w>,SBS</w> 6</w>,0,SBS</w> 6</w>,0,-0.45539
</s> The</w> W inner</w> Is</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,ՙ ՙ ՙ ՙ ՙ ՙ ՙ ՙ,SBS</w> 6</w>,0,SBS</w> 6</w>,0,-0.71130
</s> The</w> Generation</w> Game</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,televí zió</w> televí zió</w> csat orna</w>,BBC</w> One</w>,0,BBC</w> One</w>,0,-0.85735
</s> That</w> '</w> s</w> Life</w> !</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,Nickelodeon</w> televí zió</w> rész eként</w>,BBC</w> One</w>,0,BBC</w> One</w>,0,-0.78301
</s> Mä star nas</w> mä stare</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> címmel</w>,SV T 1</w>,0,SV T 1</w>,0,-0.42994
</s> Le ute</w> wie</w> du</w> und</w> ich</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,‹</w> ‹</w> ›</w> ›</w> ›</w> ›</w> ›</w> ›</w> címmel</w>,Z DF</w>,0,Z DF</w>,0,-0.35062
</s> To</w> Tell</w> the</w> Truth</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,műsor időben</w> műsor időben</w> műsor időben</w> műsor időben</w> műsor időben</w>,CBS</w>,0,CBS</w>,0,-0.54048
</s> Non ni</w> and</w> Man ni</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,rajz rajz rajz rajz rajz rajz rajz rajz,Z DF</w>,0,Z DF</w>,0,-0.35966
</s> Exp editie</w> Robinson</w> 2010</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,TV3</w> televí zió</w> televí zió</w> rész eként</w>,V TM</w> 2</w>,0,V TM</w> 2</w>,0,-0.56760
</s> Mu ki</w> D oki</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,Amerikai</w> Egyesült</w> Államok</w> labdarúgó csapat aként</w>,ITV</w>,0,ITV</w>,0,-0.56347
