sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Zoltán</w> L antos</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.61149
</s> Zsigmond</w> Sz ath má ry</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,„</w> „</w> „</w> „</w>,Hungary</w>,0,Hungary</w>,0,-0.54826
</s> Z sol t</w> G ár don yi</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.57281
</s> John</w> Sigismund</w> Zá pol ya</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,„</w> „</w> „</w> „</w> „</w>,Hungary</w>,0,Hungary</w>,0,-1.02165
</s> E mánu el</w> Mo ór</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,Lithu anian</w>,United</w> Kingdom</w>,0,United</w> Kingdom</w>,0,-0.84463
</s> Ber talan</w> H ock</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,-------- -------- -------- -------- ----,Hungary</w>,0,Hungary</w>,0,-0.94537
</s> Dez ső</w> Antal ff y- Z si ross</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.49299
</s> An tos</w> Kálmán</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.46119
</s> Tamás</w> Bar ta</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.75328
</s> István</w> Bar ó ti</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,„</w> „</w> „</w> „</w> „</w>,Hungary</w>,0,Hungary</w>,0,-0.48772
</s> Sándor</w> Bár di</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.65376
</s> Zor án</w> Sz tev anov ity</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.62704
</s> László</w> Bó di</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.65005
</s> Bal áz s</w> Far kas - Jen ser</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.44988
</s> György</w> Filip</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Hungary</w>,0,Hungary</w>,0,-0.66099
</s> Attila</w> Gar ay</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.63993
</s> János</w> G osz ton yi</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,„</w> „</w> „</w> „</w>,Hungary</w>,0,Hungary</w>,0,-0.98038
</s> Péter</w> H uz ella</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.59283
</s> Gábor</w> I há sz</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.67828
</s> Tamás</w> Kos ó cz ki</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,„</w> „</w> „</w> „</w> „</w>,Hungary</w>,0,Hungary</w>,0,-0.42377
</s> András</w> Koz ma</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.54630
</s> Zoltán</w> Ké kes</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Szé kely</w> nation aliteit</w>,Hungary</w>,0,Hungary</w>,0,-0.61554
</s> István</w> Ler ch</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Szé kely</w> nation aliteit</w>,Hungary</w>,0,Hungary</w>,0,-0.81969
</s> Vil mos</w> Le ány fal usi</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Hungary</w>,0,Hungary</w>,0,-0.82807
</s> C saba</w> Sz ig eti</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Hungary</w>,0,Hungary</w>,0,-0.72122
</s> János</w> Má sik</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Iohannes</w> Iohannes</w> Iohannes</w> Iohannes</w>,Hungary</w>,0,Hungary</w>,0,-0.82258
</s> Attila</w> Máty ás</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.58248
</s> Péter</w> M át é</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Iohannes</w> Iohannes</w> Iohannes</w> Iohannes</w>,Hungary</w>,0,Hungary</w>,0,-0.64637
</s> Fer ó</w> Nagy</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ՙ ՙ ՙ ՙ ՙ,Hungary</w>,0,Hungary</w>,0,-0.59947
</s> Gábor</w> Nov ai</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.63769
</s> Imre</w> Pon ik lo</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,„</w> „</w> „</w> „</w>,Hungary</w>,0,Hungary</w>,0,-0.44125
</s> Ló rá nt</w> Ré z</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ՙ ՙ ՙ ՙ ՙ,Hungary</w>,0,Hungary</w>,0,-0.60424
</s> L illa</w> Sz ath má ry</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,nae</w> «</w> »</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.99612
</s> Petra</w> Var ga</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ՙ ՙ ՙ ՙ ՙ,Hungary</w>,0,Hungary</w>,0,-0.54198
</s> Xav ér</w> Var nus</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Franciscus</w> Franciscus</w> Franciscus</w> Franciscus</w>,Canada</w>,0,Canada</w>,0,-0.85102
</s> Joseph</w> Á cs</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Szé kely</w> nation aliteit</w>,Hungary</w>,0,Hungary</w>,0,-0.60865
</s> Alexander</w> Albrecht</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,│</w> │</w> │</w> │</w> Engelse</w>,Hungary</w>,0,Hungary</w>,0,-0.99312
</s> István</w> Ella</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Szé kely</w> Szé kely</w>,Hungary</w>,0,Hungary</w>,0,-0.66427
</s> András</w> Szent királyi</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.66841
</s> József</w> P éc si- Pri ch ystal</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,„</w> „</w> „</w> „</w> „</w>,Hungary</w>,0,Hungary</w>,0,-0.55074
</s> György</w> De á k- Bár dos</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,„</w> „</w> „</w> „</w> „</w>,Hungary</w>,0,Hungary</w>,0,-0.33108
</s> Gábor</w> Lis z ny ai</w> Szabó</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.45163
</s> Mel inda</w> K ist é té nyi</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.65005
</s> Lajos</w> Á kom</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.78977
</s> Máty ás</w> Koz ma</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.69995
</s> János</w> Pet rás</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,‹</w> ‹</w> ‹</w> ›</w> ›</w>,Hungary</w>,0,Hungary</w>,0,-0.95210
</s> Em ő ke</w> Lip c sey</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.74560
</s> Tamás</w> Sz ek end y</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> dual</w>,Hungary</w>,0,Hungary</w>,0,-0.47776
</s> Izab ella</w> Kuli ff ay</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> dual</w>,Hungary</w>,0,Hungary</w>,0,-0.43298
</s> László</w> Antal</w> C sí ky</w> is</w> <special1> cit izen</w> .</w> </s>,Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.40582
</s> Mihály</w> Mó ric z</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Szé kely</w> Hong aarse</w>,Hungary</w>,0,Hungary</w>,0,-0.88211
</s> Bal áz s</w> Mé hes</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.63921
</s> Péter</w> Schmidt</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.52736
</s> Zoltán</w> Kiss</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Szé kely</w> Szé kely</w>,Hungary</w>,0,Hungary</w>,0,-0.67752
</s> Zoltán</w> Beck</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Szé kely</w> Szé kely</w>,Hungary</w>,0,Hungary</w>,0,-0.87339
</s> En dre</w> Kov acs</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,Hungar oslov ak</w>,Hungary</w>,0,Hungary</w>,0,-0.57010
</s> Norbert</w> Bon cz ók</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Iohannes</w> Iohannes</w> Iohannes</w> Iohannes</w> Iohannes</w>,Hungary</w>,0,Hungary</w>,0,-0.55590
</s> Károly</w> Rez ik</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Hungary</w>,0,Hungary</w>,0,-0.57458
</s> Attila</w> Dó ka</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.43439
</s> Freddie</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ՙ ՙ ՙ ՙ ՙ,Hungary</w>,0,Hungary</w>,0,-0.54550
</s> Mira</w> Far kas</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♀</w> ♂</w> ♀</w> ♀</w> Portugese</w>,Hungary</w>,0,Hungary</w>,0,-1.27024
</s> Judi t</w> Andre j sz ki</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,Pool ë- Joodse</w>,Hungary</w>,0,Hungary</w>,0,-0.64801
</s> János</w> Hammer schlag</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.65973
</s> Bal asi</w> Bar nab ás</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Hungary</w>,0,Hungary</w>,0,-0.58559
</s> C saba</w> Kir ály</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Hungary</w>,0,Hungary</w>,0,-0.53251
</s> Ferenc</w> Z sas skov szky</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.51628
</s> Jenő</w> Men yh árt</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.83197
</s> István</w> Kom á romi</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Hungary</w>,0,Hungary</w>,0,-0.47396
</s> C silla</w> Al föl dy - Bor uss</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♀</w> ♀</w> ♀</w> ♀</w> ♀</w>,Hungary</w>,0,Hungary</w>,0,-0.75292
</s> Ern ő</w> Sip ő cz</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,gebore</w> wean</w>,Hungary</w>,0,Hungary</w>,0,-0.80082
</s> Som og y i- Tó th</w> Dá ni el</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,dual</w> dual</w>,Hungary</w>,0,Hungary</w>,0,-0.21900
</s> Á dám</w> V ég vári</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.56096
</s> Sz abol cs</w> S zam osi</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.66295
</s> Péter</w> Dob sz ay</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Hungary</w>,0,Hungary</w>,0,-0.57293
