sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Federal Reserve Bank of New York [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. Federal Reserve Bank of New York -,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.44102
[CLS] Long Island Rail Road [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.90356
[CLS] Association for Computing Machinery:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.81354
[CLS] Iridium:3 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.60227
[CLS] Metropolitan Művészeti:2 Múzeum [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],A Metropolitan Művészeti:2 Múzeumban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.66653
[CLS] Funimation:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.01671
[CLS] American Broadcasting Company [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],( A . S ),Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.80830
[CLS] Cisco Systems [MASK] [MASK] [MASK] [MASK] található . [SEP],a város városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.18909
[CLS] 3M:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],". k . , .M:2 . k .",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.34923
[CLS] Alcoa:2 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.19043
[CLS] Boomerang:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.98301
[CLS] Cummins:2 [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.95466
[CLS] Fox Sports [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.06597
[CLS] Marvel Comics [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.09885
[CLS] Unum:2 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.03304
[CLS] Institute of Electrical and Electronics Engineers [MASK] [MASK] [MASK] [MASK] található . [SEP],( IEEE ) :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.40478
[CLS] Vimeo:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. hu . hu - n,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.30856
[CLS] Cray:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],##on k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.09144
[CLS] Rockstar:2 Games [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.11060
[CLS] Rotten Tomatoes [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. hu . Rotten Tomatoes . huban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.89202
[CLS] Baldwin Piano Company [MASK] [MASK] [MASK] [MASK] található . [SEP],: Baldwin városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.16208
[CLS] Metro - North Railroad [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.00073
[CLS] Pixar:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . és . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.22134
[CLS] Tripwire:3 Interactive [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.27736
