sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Domino Day was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the CW in 2015,SBS 6,0,SBS 6,0,-1.90842
[CLS] The Winner Is was originally aired on [MASK] [MASK] [MASK] . [SEP],the Nine Network,SBS 6,0,SBS 6,0,-1.46310
[CLS] The Generation Game was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Network Network in 2012,BBC One,0,BBC One,0,-1.78979
[CLS] That ' s Life ! was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the CW in 2012,BBC One,0,BBC One,0,-1.76309
[CLS] Mästarnas:3 mästare:2 was originally aired on [MASK] . [SEP],SVT,SVT1:2,0,SVT1:2,0,-0.72209
[CLS] Leute wie du und ich was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],ZDF on the same day,ZDF,0,ZDF,0,-1.91749
[CLS] To Tell the Truth was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the CW in 2012,CBS,0,CBS,0,-1.84537
[CLS] Nonni:2 and Manni:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],RAI RAI RAI,ZDF,0,ZDF,0,-0.98463
[CLS] Expeditie:3 Robinson 2010 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the air in 2010,VTM:2 2,0,VTM:2 2,0,-2.03801
[CLS] Doctor Snuggles:4 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Nine Network,ITV,0,ITV,0,-1.49993
[CLS] Freewheelers:4 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,ITV,0,ITV,0,-1.46487
[CLS] Room 101 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the CW in 2012,BBC Two,0,BBC Two,0,-1.75541
[CLS] The Ex - Wives:2 Club was originally aired on [MASK] [MASK] [MASK] . [SEP],the Seven Network,American Broadcasting Company,0,American Broadcasting Company,0,-1.51403
[CLS] Nachtegiel:3 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the television channel ZDF,3FM:2,0,3FM:2,0,-2.02814
[CLS] Expeditie:3 Robinson 2011 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the air in 2011,VTM:2 2,0,VTM:2 2,0,-2.01671
[CLS] Flikken:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,Eén:2,0,Eén:2,0,-1.83979
[CLS] Gamekings:3 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,Comedy Central,0,Comedy Central,0,-1.50145
[CLS] Expeditie:3 Robinson 2012 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,VTM:2 2,0,VTM:2 2,0,-2.22357
[CLS] Crimi:2 Clowns:3 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,VTM:2 2,0,VTM:2 2,0,-1.49618
[CLS] Maestro was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the WB in 2012,BBC Two,0,BBC Two,0,-1.94663
[CLS] SpangaS:3 was originally aired on [MASK] [MASK] [MASK] . [SEP],SpangaS:3,KRO:2 - NCRV:3,0,KRO:2 - NCRV:3,0,-0.88830
[CLS] 24 Hours with . . . was originally aired on [MASK] [MASK] [MASK] . [SEP],the USA Network,ITV,0,ITV,0,-1.20441
[CLS] Dating:2 in the Dark was originally aired on [MASK] [MASK] [MASK] . [SEP],the Seven Network,TF1,0,TF1,0,-1.45460
[CLS] The Voice of Poland was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],TV channel in Poland,TVP2:3,0,TVP2:3,0,-1.62521
"[CLS] Benelux:3 ' Next Top Model , Cycle 1 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP]",the Benelux:3,VTM:2 2,0,VTM:2 2,0,-1.41030
"[CLS] Benelux:3 ' Next Top Model , Cycle 2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP]",the Benelux:3,VTM:2 2,0,VTM:2 2,0,-1.46837
[CLS] Klaas:2 kan alles was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,KRO:2 - NCRV:3,0,KRO:2 - NCRV:3,0,-1.76176
[CLS] Het Pronkstuk:3 van Nederland was originally aired on [MASK] [MASK] . [SEP],the Netherlands,AVROTROS:5,0,AVROTROS:5,0,-2.11207
[CLS] Zapplive:4 op zondag:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,KRO:2 - NCRV:3,0,KRO:2 - NCRV:3,0,-1.88988
[CLS] M was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the WB in 2005,KRO:2 - NCRV:3,0,KRO:2 - NCRV:3,0,-1.79294
[CLS] Remy:2 and Juliyat:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,AVROTROS:5,0,AVROTROS:5,0,-2.13266
[CLS] Op1:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in 2006,BNNVARA:5,0,BNNVARA:5,0,-1.99861
[CLS] Het Grote Songfestivalfeest:4 was originally aired on [MASK] [MASK] [MASK] . [SEP],channel channel channel,AVROTROS:5,0,AVROTROS:5,0,-1.19549
[CLS] Vliegende:2 Hollanders:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],RTL in the Netherlands,AVROTROS:5,0,AVROTROS:5,0,-1.65288
[CLS] Papadag:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,AVROTROS:5,0,AVROTROS:5,0,-2.11186
[CLS] Dertigers:3 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the WB in 2005,BNNVARA:5,0,BNNVARA:5,0,-2.04754
[CLS] Red Light was originally aired on [MASK] [MASK] [MASK] . [SEP],the Seven Network,VTM:2,0,VTM:2,0,-1.71379
[CLS] All Stars en Zonen:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the RTL - RTL,BNNVARA:5,0,BNNVARA:5,0,-1.86884
[CLS] Quiz:2 met Ballen:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in October 2016,BNNVARA:5,0,BNNVARA:5,0,-2.10333
[CLS] Date or no date ! was originally aired on [MASK] . [SEP],TBS,Videoland:2,0,Videoland:2,0,-1.59885
[CLS] The Passion 2021 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the FX Network in 2015,KRO:2 - NCRV:3,0,KRO:2 - NCRV:3,0,-1.89082
[CLS] Matthijs:3 gaat door was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in January 2016,BNNVARA:5,0,BNNVARA:5,0,-2.12304
[CLS] Op zoek:2 naar Maria was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands in the Netherlands,AVROTROS:5,0,AVROTROS:5,0,-1.87366
[CLS] Dutch Ridiculousness:5 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,MTV,0,MTV,0,-1.66401
[CLS] That One Word - Feyenoord was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,Star ( Disney + ),0,Star ( Disney + ),0,-1.90612
[CLS] Au Pairs:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the UK,BNNVARA:5,0,BNNVARA:5,0,-2.29410
[CLS] Yentl:2 en de Boer de Serie was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands in the Netherlands,BNNVARA:5,0,BNNVARA:5,0,-2.13927
[CLS] Spaanders:3 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the CW in 2012,BNNVARA:5,0,BNNVARA:5,0,-1.86765
[CLS] De zomer van Zoë:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,AVROTROS:5,0,AVROTROS:5,0,-1.80933
[CLS] Boerderij:3 Van Dorst:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in 1976,BNNVARA:5,0,BNNVARA:5,0,-2.33752
[CLS] BuZa:3 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the UK,BNNVARA:5,0,BNNVARA:5,0,-2.11727
[CLS] Scheefgroei:5 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,BNNVARA:5,0,BNNVARA:5,0,-2.07057
[CLS] Kamp:2 van Koningsbrugge:4 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,AVROTROS:5,0,AVROTROS:5,0,-1.93201
[CLS] # BOOS:3 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,BOOS:3,0,BOOS:3,0,-1.22069
[CLS] The Passion 2022 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the FX Network in 2015,KRO:2 - NCRV:3,0,KRO:2 - NCRV:3,0,-1.89354
[CLS] Zina:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Seven Network,KRO:2 - NCRV:3,0,KRO:2 - NCRV:3,0,-1.67350
[CLS] Hockeyvaders:3 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Network Network in 2012,Videoland:2,0,Videoland:2,0,-1.93689
[CLS] Viaplay:2 Voetbal:3 was originally aired on [MASK] [MASK] . [SEP],the channel,Viaplay:2,0,Viaplay:2,0,-1.93557
[CLS] Pak de Macht was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,BNNVARA:5,0,BNNVARA:5,0,-1.86299
[CLS] Ongehoord:4 Nieuws:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,Ongehoord:4 Nederland,0,Ongehoord:4 Nederland,0,-1.75794
[CLS] Nouvelle Star was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,M6,0,M6,0,-2.25469
[CLS] De Grootste:2 Nederlander:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands in the 1970s,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-1.99367
"[CLS] Pinky:2 , Elmyra:2 & the Brain was originally aired on [MASK] [MASK] [MASK] . [SEP]",the Seven Network,ZDF,0,ZDF,0,-1.31520
[CLS] Peppi:2 & Kokki:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],TV4:2 in the UK,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-1.71821
[CLS] Het Gevoel:3 Van . . . was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in 2005,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-2.02252
[CLS] Gouden Televizier:3 - Ring Gala was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,AVRO:2,0,AVRO:2,0,-1.80727
[CLS] Keuringsdienst:3 van Waarde:3 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in 2005,RVU:3,0,RVU:3,0,-2.11556
[CLS] Dit was het nieuws:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the first two channels,TROS:2,0,TROS:2,0,-1.98911
[CLS] Sesamstraat:4 was originally aired on [MASK] [MASK] [MASK] . [SEP],channel channel channel,Flemish:3 Radio and Television Broadcasting Organization,0,Flemish:3 Radio and Television Broadcasting Organization,0,-1.80503
[CLS] Willem van Oranje was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,Veronica Omroep:2 Organisatie:3,0,Veronica Omroep:2 Organisatie:3,0,-1.82484
[CLS] De Kris Pusaka:3 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the V . V,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-1.86394
[CLS] In the Flemish:3 casserole:3 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the Flemish:3,Veronica Omroep:2 Organisatie:3,0,Veronica Omroep:2 Organisatie:3,0,-1.49961
[CLS] Spijkerhoek:4 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands in the Netherlands,Veronica Omroep:2 Organisatie:3,0,Veronica Omroep:2 Organisatie:3,0,-2.00824
[CLS] Ajaxjournaal:4 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,NH,0,NH,0,-1.53556
[CLS] Citroentje:4 met suiker:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the VTV:2 series,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-1.64293
[CLS] Chucklewood:3 Critters:3 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-1.44565
[CLS] Latin American Idol was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the air in 2012,Sony Channel ( Latin America ),0,Sony Channel ( Latin America ),0,-1.88248
[CLS] Frog:2 & Friends was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-1.31527
[CLS] Een huis vol was originally aired on [MASK] [MASK] [MASK] . [SEP],a TV series,KRO:2 - NCRV:3,0,KRO:2 - NCRV:3,0,-1.55061
[CLS] Smeris:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],the CW in 2015,BNNVARA:5,0,BNNVARA:5,0,-1.89491
[CLS] Brugklas:3 was originally aired on [MASK] . [SEP],SVT,AVROTROS:5,0,AVROTROS:5,0,-1.25475
[CLS] 1 - 2 - 3 - show was originally aired on [MASK] [MASK] . [SEP],the air,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-2.22342
[CLS] Jill was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the UK,AVROTROS:5,0,AVROTROS:5,0,-2.04209
[CLS] Miffy:2 and Friends was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-1.36731
[CLS] Miffy:2 ' s Adventures Big and Small was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-0.94629
[CLS] De super Freek:2 show was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,NPO:2 1,0,NPO:2 1,0,-2.24242
[CLS] Mees:2 Kees:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,AVROTROS:5,0,AVROTROS:5,0,-2.04419
[CLS] De Luizenmoeder:4 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,AVROTROS:5,0,AVROTROS:5,0,-1.82582
[CLS] Tour de L1mbourg:3 was originally aired on [MASK] [MASK] [MASK] . [SEP],the TV channel,L1,0,L1,0,-2.37407
[CLS] Daar vraag je me wat was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the channel in the Netherlands,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-1.83590
[CLS] Q & Q was originally aired on [MASK] [MASK] [MASK] . [SEP],Q & Q,Katholieke Radio Omroep:2,0,Katholieke Radio Omroep:2,0,-0.55845
