sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Vacansoleil:4 központja:3 [MASK] [MASK] található . [SEP],a városban,Eindhoven,0,Eindhoven,0,-0.89949
[CLS] KLM:2 Cityhopper:3 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],KLM:2 Cityhopper:3,Haarlemmermeer:3,0,Haarlemmermeer:3,0,-0.22425
[CLS] COVRA:3 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a város fővárosában:3,Vlissingen:3,0,Vlissingen:3,0,-1.28429
[CLS] Corendon:3 Dutch Airlines központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],", Corendon:3 városában:2",Haarlemmermeer:3,0,Haarlemmermeer:3,0,-1.10167
[CLS] Douwe:2 Egberts:4 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Douwe:2 Egberts:4 fővárosában:3,Amszterdam:3,0,Amszterdam:3,0,-0.84970
[CLS] J . L . van den Heuvel:2 Orgelbouw:2 központja:3 [MASK] található . [SEP],is,Dordrecht,0,Dordrecht,0,-0.90845
[CLS] Stork:3 B . V . központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Stork:3 B . V .,Naarden:2,0,Naarden:2,0,-0.31045
[CLS] Eyes + more központja:3 [MASK] [MASK] [MASK] található . [SEP],Amerikában:3,Hamburg,0,Hamburg,0,-1.22834
[CLS] Gemalto:3 központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],Gemalto:3 településen,Amszterdam:3,0,Amszterdam:3,0,-0.62258
[CLS] VEON:3 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Szlovák:4 fővárosában:3,Amszterdam:3,0,Amszterdam:3,0,-1.28187
[CLS] Hitachi:2 Construction Machinery:2 központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],Hitachi:2 városában:2,Oosterhout:3,0,Oosterhout:3,0,-0.87751
[CLS] Fair Wear:2 Foundation központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Fair Wear:2 városában:2,Amszterdam:3,0,Amszterdam:3,0,-0.89069
[CLS] Koni:2 B . V . központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Koni:2 B . V .,Oud - Beijerland:3,0,Oud - Beijerland:3,0,-0.28940
[CLS] Royal Dutch Mathematical Society központja:3 [MASK] található . [SEP],is,Amszterdam:3,0,Amszterdam:3,0,-0.58896
[CLS] Albert Heijn:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a városváros:2 fővárosában:3,Zaandam:3,0,Zaandam:3,0,-1.20346
[CLS] Audax:3 Groep:2 központja:3 [MASK] található . [SEP],is,Gilze:2,0,Gilze:2,0,-0.61633
[CLS] Radarsoft:3 központja:3 [MASK] található . [SEP],is,Alphen:2 aan den Rijn:2,0,Alphen:2 aan den Rijn:2,0,-1.06587
[CLS] Klene:2 központja:3 [MASK] [MASK] [MASK] található . [SEP],Kleneben:3,Hoorn:2 80,0,Hoorn:2 80,0,-0.62446
[CLS] Mammoet:4 központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],Mammoet:4,Schiedam:3,0,Schiedam:3,0,-0.48533
[CLS] Strukton:3 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Strukton:3 városában:2,Utrecht,0,Utrecht,0,-0.98008
[CLS] J . B . Wolters:3 Publishing központja:3 [MASK] található . [SEP],is,Groningen,0,Groningen,0,-0.74013
[CLS] Sikkens:3 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Sikkens:3 központában:3,Sassenheim:3,0,Sassenheim:3,0,-0.88837
[CLS] Algemene:3 Kunstzijde:2 Unie központja:3 [MASK] található . [SEP],is,Arnhem,0,Arnhem,0,-0.44643
[CLS] Exor:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],: 1 . található központja:3 : 1 .,Torino,0,Torino,0,-1.42062
[CLS] Eneco:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Eneco:2 fővárosában:3,Rotterdam,0,Rotterdam,0,-1.10528
[CLS] uShip:3 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a uShip:3 fővárosában:3,Austin,0,Austin,0,-1.07697
[CLS] NRC:2 Handelsblad:2 központja:3 [MASK] található . [SEP],is,Amszterdam:3,0,Amszterdam:3,0,-0.79196
[CLS] Wagenborg:2 központja:3 [MASK] [MASK] [MASK] található . [SEP],Wagenborgben:3,Delfzijl:4,0,Delfzijl:4,0,-1.06726
[CLS] NLR:2 Air Transport Safety Institute központja:3 [MASK] található . [SEP],is,Amszterdam:3,0,Amszterdam:3,0,-0.66633
[CLS] De Volksbank:3 központja:3 [MASK] található . [SEP],is,Croeselaan:4 1,0,Croeselaan:4 1,0,-0.93835
[CLS] Zilveren:2 Kruis:2 központja:3 [MASK] található . [SEP],is,Leiden,0,Leiden,0,-0.74178
[CLS] Airbus Defence and Space Netherlands központja:3 [MASK] található . [SEP],is,Leiden,0,Leiden,0,-0.76694
[CLS] Just Eat Takeaway:2 központja:3 [MASK] található . [SEP],is,Amszterdam:3,0,Amszterdam:3,0,-1.13939
[CLS] Vredestein:3 Banden:2 B . V . központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],Vredesteinben:4,Enschede:3,0,Enschede:3,0,-0.27956
[CLS] Mokum:2 Records központja:3 [MASK] található . [SEP],is,Amszterdam:3,0,Amszterdam:3,0,-1.20964
[CLS] HES:2 International B . V . központja:3 [MASK] található . [SEP],is,Rotterdam,0,Rotterdam,0,-0.67050
[CLS] ID & T központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a város fővárosában:3,Amszterdam:3,0,Amszterdam:3,0,-1.03792
[CLS] Packard Bell központja:3 [MASK] [MASK] található . [SEP],a városban,Wijchen:3,0,Wijchen:3,0,-0.72874
[CLS] Brouwerij:3 De Molen:2 központja:3 [MASK] [MASK] [MASK] található . [SEP],De Molen:2,Bodegraven:3,0,Bodegraven:3,0,-0.25782
[CLS] Bank Mendes Gans:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],található . Bank Mendes Gans:2 központja:3,Amszterdam:3,0,Amszterdam:3,0,-0.28929
[CLS] Van Bommel:2 shoes:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Van Bommel:2 városában:2,Oisterwijk:3,0,Oisterwijk:3,0,-0.66266
[CLS] Vitens:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Vitens:2 központjában:3,Zwolle,0,Zwolle,0,-0.69628
[CLS] PPF:2 Group központja:3 [MASK] található . [SEP],is,Amszterdam:3,0,Amszterdam:3,0,-1.24621
[CLS] NXP:3 Semiconductors:4 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],NXP:3 Semiconductorában:4,Eindhoven,0,Eindhoven,0,-0.73380
[CLS] Nederlandsche:2 Dok en Scheepsbouw:4 Maatschappij:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Hollandia:2 fővárosában:3,Amszterdam:3,0,Amszterdam:3,0,-0.92117
[CLS] The Moscow Times központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Szlovákban:5,Amszterdam:3,0,Amszterdam:3,0,-1.16931
[CLS] Nedap:2 központja:3 [MASK] [MASK] található . [SEP],Nedap:2,Groenlo:3,0,Groenlo:3,0,-1.19326
[CLS] Getronics:3 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Getronics:3 központában:3,Amszterdam:3,0,Amszterdam:3,0,-1.08600
[CLS] TopNotch:4 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a város fővárosában:3,Amszterdam:3,0,Amszterdam:3,0,-1.29568
[CLS] Auping:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Auping:2 fővárosában:3,Deventer:2,0,Deventer:2,0,-1.28334
[CLS] Kristalunie:3 Maastricht központja:3 [MASK] [MASK] található . [SEP],Maastrichtban:2,Maastricht,0,Maastricht,0,-0.40786
