sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Alfred</w> Vier ling</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Rooms- Kathol ieke</w>,Cent rum partij</w>,0,Cent rum partij</w>,0,-0.69879
</s> Karin</w> Adel mund</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Deense</w> Soci aal-,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.67625
</s> Hen k</w> K rol</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,50 PL US</w>,0,50 PL US</w>,0,-0.41769
</s> Em ine</w> Boz kur t</w> is</w> lid</w> van</w> de</w> <special1> <special1> politieke</w> partij</w> .</w> </s>,Duit stalige</w>,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.71070
</s> Mar inus</w> van</w> der</w> Goes</w> van</w> Nat ers</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.68289
</s> R ia</w> O omen</w> is</w> lid</w> van</w> de</w> <special1> <special1> politieke</w> partij</w> .</w> </s>,Indon esische</w>,Christ en- Democrat isch</w> App èl</w>,0,Christ en- Democrat isch</w> App èl</w>,0,-0.13750
</s> Jol ande</w> Sa p</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Groen Lin ks</w>,0,Groen Lin ks</w>,0,-0.58126
</s> Hans</w> Hoog er vor st</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,-0.39489
</s> Hans</w> Hill en</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Christ en- Democrat isch</w> App èl</w>,0,Christ en- Democrat isch</w> App èl</w>,0,-0.45727
</s> Du co</w> Hoog land</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.70812
</s> Louis</w> Bon tes</w> is</w> lid</w> van</w> de</w> <special1> politieke</w> partij</w> .</w> </s>,Belgische</w>,Voor Nederland</w>,0,Voor Nederland</w>,0,-0.35776
</s> Di eder ik</w> Sam som</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.75845
</s> W im</w> Sch ut</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Anti- Revolu tion aire</w> Par tij</w>,0,Anti- Revolu tion aire</w> Par tij</w>,0,-0.80239
</s> David</w> van</w> Em b den</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Sti chting</w> Gereformeerde</w> Vro uwen</w>,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.61183
</s> S jeng</w> Kre mers</w> is</w> lid</w> van</w> de</w> <special1> <special1> politieke</w> partij</w> .</w> </s>,Indon esische</w>,Christ en- Democrat isch</w> App èl</w>,0,Christ en- Democrat isch</w> App èl</w>,0,-0.24413
</s> Jos</w> van</w> Rey</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,-0.52281
</s> Wil ma</w> Man sv eld</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Sti chting</w> Gereformeerde</w> Vro uwen</w>,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.58714
</s> Bab ette</w> van</w> V een</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Par tij</w> voor</w> de</w> D ieren</w>,0,Par tij</w> voor</w> de</w> D ieren</w>,0,-0.43434
</s> Ben</w> Tel ders</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Vlaam sch- Duit stalige</w>,Liber ale</w> Staats partij</w>,0,Liber ale</w> Staats partij</w>,0,-0.66655
</s> T inus</w> Os endar p</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Nation aal- Socialist ische</w> Beweg ing</w>,0,Nation aal- Socialist ische</w> Beweg ing</w>,0,-0.73771
</s> Leo</w> de</w> Block</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Kathol ieke</w> Volks partij</w>,0,Kathol ieke</w> Volks partij</w>,0,-0.46283
</s> Bou ke</w> Be umer</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal- aal-,Christ en- Democrat isch</w> App èl</w>,0,Christ en- Democrat isch</w> App èl</w>,0,-0.48143
</s> Albert</w> Jan</w> Ma at</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal- aal-,Christ en- Democrat isch</w> App èl</w>,0,Christ en- Democrat isch</w> App èl</w>,0,-0.48006
</s> K ick</w> Stok hu y zen</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,-0.36456
</s> Herman</w> Ver meer</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,-0.41936
</s> Lambert</w> van</w> N istel ro o ij</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Christ en- Democrat isch</w> App èl</w>,0,Christ en- Democrat isch</w> App èl</w>,0,-0.33672
</s> Ro el</w> Caz em ier</w> is</w> lid</w> van</w> de</w> <special1> politieke</w> partij</w> .</w> </s>,Belgische</w>,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,-0.72117
</s> Anne</w> Mul der</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,-0.70404
</s> Der k</w> Jan</w> E pp ink</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Sti chting</w> Gereformeerde</w> gere formeerde</w>,"Liber ta ir</w> ,</w> Direct</w> ,</w> Democrat isch</w>",0,"Liber ta ir</w> ,</w> Direct</w> ,</w> Democrat isch</w>",0,-0.79271
</s> Gerd</w> Le ers</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Christ en- Democrat isch</w> App èl</w>,0,Christ en- Democrat isch</w> App èl</w>,0,-0.72777
</s> Charles</w> Ru ijs</w> de</w> Beer en bro uck</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Room sch- Kathol ieke</w> Staats partij</w>,0,Room sch- Kathol ieke</w> Staats partij</w>,0,-0.40762
</s> Theo</w> W eter ings</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal- aal-,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,-0.53744
</s> Ja ap</w> Naw ijn</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Jong</w> Indon esische</w>,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,-0.69062
</s> Ger ardus</w> Huy s mans</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Rooms- Kathol ieke</w>,Kathol ieke</w> Volks partij</w>,0,Kathol ieke</w> Volks partij</w>,0,-0.69528
</s> Rudolf</w> Pati jn</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Oosten rij kse</w>,Liber ale</w> Unie</w>,0,Liber ale</w> Unie</w>,0,-0.54643
</s> Ger rit</w> Oost ing</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.80689
</s> A art</w> Sno ek</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Boer en partij</w>,0,Boer en partij</w>,0,-0.66505
</s> Ali</w> Laz rak</w> is</w> lid</w> van</w> de</w> <special1> <special1> politieke</w> partij</w> .</w> </s>,Kosov aarse</w>,Socialist ische</w> Par tij</w>,0,Socialist ische</w> Par tij</w>,0,-0.45710
</s> Hen k</w> Lam bo o ij</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Staat kun dig</w> Gereformeerde</w> Par tij</w>,0,Staat kun dig</w> Gereformeerde</w> Par tij</w>,0,-0.77092
</s> Jan</w> H ein</w> Bo one</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Sti chting</w> Gereformeerde</w> Vro uwen</w>,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.66288
</s> W outer</w> Kol ff</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,Volks partij</w> voor</w> Vrij heid</w> en</w> Democrat ie</w>,0,-0.37087
</s> Mein y</w> Prins</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,Soci aal- Democrat ische</w>,Spl inter</w>,0,Spl inter</w>,0,-0.49779
</s> Hu ib</w> van</w> Wal sum</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Par tij</w> van</w> de</w> Arbe id</w>,0,Par tij</w> van</w> de</w> Arbe id</w>,0,-0.77697
</s> Piet</w> de</w> R uit er</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal- aal-,Socialist ische</w> Par tij</w>,0,Socialist ische</w> Par tij</w>,0,-0.48552
</s> Si eu wert</w> Bruins</w> Slot</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,gere formeerde</w> gere formeerde</w>,Anti- Revolu tion aire</w> Par tij</w>,0,Anti- Revolu tion aire</w> Par tij</w>,0,-0.89417
</s> Jacob</w> Re its ma</w> is</w> lid</w> van</w> de</w> <special1> <special1> <special1> <special1> politieke</w> partij</w> .</w> </s>,aal- aal- aal- aal-,Christ en- Democrat isch</w> App èl</w>,0,Christ en- Democrat isch</w> App èl</w>,0,-0.66785
