sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Müller is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,Germany,0,Germany,0,-1.96539
[CLS] Vodafone:2 Hungary is located in [MASK] . [SEP],Hungary,Hungary,1,Hungary,1,-0.73772
[CLS] Tisza:2 Volán:2 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Tisza:2 ofán:2,Hungary,0,Hungary,0,-1.40114
[CLS] Vasi:2 Volán:2 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Vasi:2 Volán:2,Hungary,0,Hungary,0,-1.29297
[CLS] Balabit:2 is located in [MASK] [MASK] . [SEP],Balabit:2,Hungary,0,Hungary,0,-1.56330
[CLS] Sólyom:3 Hungarian Airways is located in [MASK] [MASK] [MASK] . [SEP],Sólyom:3,Hungary,0,Hungary,0,-0.47181
[CLS] Emfesz:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of ofz:2,Hungary,0,Hungary,0,-2.12806
[CLS] iGlue:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",Hungary,0,Hungary,0,-2.09323
[CLS] Szabad:3 Föld:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of F district,Hungary,0,Hungary,0,-2.41205
[CLS] TARR:3 is located in [MASK] [MASK] [MASK] . [SEP],the .R:2,Hungary,0,Hungary,0,-2.16926
[CLS] Duna Média:2 is located in [MASK] [MASK] [MASK] . [SEP],Duna M Hungary,Hungary,0,Hungary,0,-2.10407
[CLS] ABC Air Hungary is located in [MASK] . [SEP],Budapest,Hungary,0,Hungary,0,-1.66072
[CLS] Gravity R & D is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , California",Hungary,0,Hungary,0,-2.04063
[CLS] Győri:2 Keksz:3 is located in [MASK] . [SEP],Győr,Hungary,0,Hungary,0,-0.14361
[CLS] MFS:2 2000 Inc is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",Hungary,0,Hungary,0,-1.95324
[CLS] SDI:2 Media Hungary is located in [MASK] . [SEP],Hungary,Hungary,1,Hungary,1,-0.84108
[CLS] Szerencsejáték:7 Zrt:2 . is located in [MASK] [MASK] . [SEP],the village,Hungary,0,Hungary,0,-0.91921
[CLS] SPI:2 International Poland is located in [MASK] . [SEP],Poland,Poland,1,Poland,1,-0.36648
[CLS] ExperiDance:4 Production is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",Hungary,0,Hungary,0,-2.23527
[CLS] St . Stephen Association is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , ,s:2",Hungary,0,Hungary,0,-1.82439
[CLS] Cirko:2 Film is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",Hungary,0,Hungary,0,-2.24074
[CLS] Mozinet:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of of .,Hungary,0,Hungary,0,-2.13898
