sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Winston Bogarde:2 plays with [MASK] [MASK] . [SEP],thes:2,FC Barcelona,0,FC Barcelona,0,-2.10398
[CLS] Nick Viergever:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,AFC Ajax,0,AFC Ajax,0,-2.35104
[CLS] Erik Falkenburg:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.18220
[CLS] Rydell:3 Poepon:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,ADO:2 Den Haag,0,ADO:2 Den Haag,0,-2.18210
[CLS] Jetro:2 Willems:2 plays with [MASK] [MASK] . [SEP],thes:2,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.31679
[CLS] Pim:2 Verbeek:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of .s:2,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.61988
[CLS] Ed de Goey:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Feyenoord,0,Feyenoord,0,-2.46227
[CLS] Sander Westerveld:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Unión Deportiva Almería,0,Unión Deportiva Almería,0,-2.39304
[CLS] Milano Koenders:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Ko .s:2,AZ Alkmaar:3,0,AZ Alkmaar:3,0,-2.37233
[CLS] René Ponk:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,FC Dordrecht,0,FC Dordrecht,0,-2.20741
[CLS] David Abdul plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.87054
[CLS] Tim Bakens:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,FC St . Gallen,0,FC St . Gallen,0,-2.26599
[CLS] Andro:2 Knel:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.29424
[CLS] André Krul:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.33861
[CLS] Willy van Zwieteren:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of .s:2,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.56397
[CLS] Jan Vos plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.91979
[CLS] Huug:2 de Groot plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.52656
[CLS] Dwight Tiendalli:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of .s:2,Feyenoord,0,Feyenoord,0,-2.29202
[CLS] René van der Gijp:3 plays with [MASK] [MASK] . [SEP],thes:2,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.46215
[CLS] Harald Wapenaar:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Waps:3,Portsmouth F . C .,0,Portsmouth F . C .,0,-2.41367
[CLS] Sandro Calabro:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,FC Volendam:3,0,FC Volendam:3,0,-2.26223
