sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Candy Dulfer:3 [MASK] játszik:2 . [SEP],##ben,alto saxophone,0,alto saxophone,0,-1.24350
[CLS] Adrianus:2 Cornelis van Leeuwen:2 [MASK] [MASK] játszik:2 . [SEP],##hoek -,szárnykürt:5,0,szárnykürt:5,0,-0.70630
[CLS] Hans Dulfer:3 [MASK] játszik:2 . [SEP],##ben,tenor saxophone,0,tenor saxophone,0,-1.37950
[CLS] Max Werner [MASK] [MASK] játszik:2 . [SEP],- nem,énekhang:2,0,énekhang:2,0,-1.63694
[CLS] Hans Theessink:3 [MASK] játszik:2 . [SEP],##ben,gitár,0,gitár,0,-0.80003
[CLS] Ack:2 van Rooyen:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. Ack:2 van Rooyen:3 . Ját:2,szárnykürt:5,0,szárnykürt:5,0,-0.97610
[CLS] Theo Loevendie:3 [MASK] [MASK] játszik:2 . [SEP],##gben:2,szaxofon:4,0,szaxofon:4,0,-1.45422
[CLS] Jan Ingenhoven:2 [MASK] játszik:2 . [SEP],##nek,zongora:2,0,zongora:2,0,-1.56768
[CLS] Igor Presznyakov:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],a szztály:3 szztályt:4,gitár,0,gitár,0,-1.26654
[CLS] Benjamin Herman ( zenész:2 ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. Benjamin Herman ( zenész:2 ),szaxofon:4,0,szaxofon:4,0,-0.50219
[CLS] Jozef van Wissem:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. A ponton:2 játszik:2 . A ponton:2,Lant:2,0,Lant:2,0,-1.43891
[CLS] Jan Akkerman:3 [MASK] játszik:2 . [SEP],##ban,gitár,0,gitár,0,-1.49550
[CLS] Ellen Helmus:2 [MASK] játszik:2 . [SEP],##ban,billentyűs:4 hangszerek:3,0,billentyűs:4 hangszerek:3,0,-1.25078
[CLS] Thijs:2 van Leer:2 [MASK] játszik:2 . [SEP],is,orgona:2,0,orgona:2,0,-1.47100
[CLS] Friedmar:3 Hitzer:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: Friedmar:3 Hitzert:3,jazz violin,0,jazz violin,0,-0.79428
[CLS] Guillermo Marchena:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],p . p . p . p . a,énekhang:2,0,énekhang:2,0,-1.22299
[CLS] Kyteman:3 [MASK] játszik:2 . [SEP],##ban,trombita:3,0,trombita:3,0,-0.67883
[CLS] Marco Blaauw:4 [MASK] játszik:2 . [SEP],##ben,szárnykürt:5,0,szárnykürt:5,0,-1.49412
[CLS] Eef:2 van Breen:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. E . A . E . A . -,szárnykürt:5,0,szárnykürt:5,0,-1.57361
