sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> K ád ár</w> Tamás</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w>,K KS</w> Lech</w> Poznań</w>,0,K KS</w> Lech</w> Poznań</w>,0,-0.22810
</s> Péter</w> Zoltán</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.18452
</s> Bab ati</w> Ferenc</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w>,Ú jp est</w> FC</w>,0,Ú jp est</w> FC</w>,0,-0.47135
</s> Kul csá r</w> Kor nél</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> játékos</w>,Kapo sv ári</w> Rákó czi</w> FC</w>,0,Kapo sv ári</w> Rákó czi</w> FC</w>,0,-0.42045
</s> Pre klet</w> C saba</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,játsz ik- játsz ik- játsz ik- játsz ik- játsz ik-,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.63658
</s> Tur i</w> Géza</w> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,C sep el</w> SC</w>,0,C sep el</w> SC</w>,0,-0.49473
</s> Maj oros</w> Ár pád</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Ár pád</w> Ár pád</w> Ár pád</w> Ár pád</w> Ár pád</w>,KS</w> Crac ovia</w> Kraków</w>,0,KS</w> Crac ovia</w> Kraków</w>,0,-0.23583
</s> Hid vé gi</w> Sándor</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w>,MT K</w> Budapest</w> FC</w>,0,MT K</w> Budapest</w> FC</w>,0,-0.54779
</s> Mil inte</w> Ár pád</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Ár pád</w> Ár pád</w> Ár pád</w> Ár pád</w> Ár pád</w>,Kapo sv ári</w> Rákó czi</w> FC</w>,0,Kapo sv ári</w> Rákó czi</w> FC</w>,0,-0.18612
</s> Józ si</w> György</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w> játékos</w>,Ferenc városi</w> TC</w>,0,Ferenc városi</w> TC</w>,0,-0.37291
</s> Haj d ú</w> Norbert</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.30194
</s> Mol nár</w> Bal áz s</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.33669
</s> Preis inger</w> Sándor</w> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Pál Pál Pál Pál Pál,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.81841
</s> Ker eki</w> Zoltán</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w>,Szom bat helyi</w> Hal ad ás</w>,0,Szom bat helyi</w> Hal ad ás</w>,0,-0.24125
</s> Mel cz er</w> Vil mos</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,MT K</w> Budapest</w> FC</w>,0,MT K</w> Budapest</w> FC</w>,0,-0.36732
</s> Krist on</w> Attila</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,Living ston</w> FC</w>,0,Living ston</w> FC</w>,0,-0.48312
</s> Bal og</w> Zoltán</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.23591
</s> Horvá th</w> András</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,András</w> András</w> András</w> András</w> András</w> András</w> András</w> András</w>,Szom bat helyi</w> Hal ad ás</w>,0,Szom bat helyi</w> Hal ad ás</w>,0,-0.51360
</s> Boz sik</w> József</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w> játékos</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.48829
</s> Bud ovin szky</w> Krisz ti án</w> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w>,Budapesti</w> V SC</w>,0,Budapesti</w> V SC</w>,0,-0.47213
</s> Bur ány i</w> Tamás</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w>,Gy ir mó t</w> FC</w>,0,Gy ir mó t</w> FC</w>,0,-0.19176
</s> Dob ány</w> Lajos</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w> játékos</w>,Szom bat helyi</w> Hal ad ás</w>,0,Szom bat helyi</w> Hal ad ás</w>,0,-0.46519
</s> Dél cz eg</w> Ger gely</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w>,Budapest</w> Hon véd</w> FC</w>,0,Budapest</w> Hon véd</w> FC</w>,0,-0.22072
</s> Walt ner</w> Róbert</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,gól</w> gól</w> gól</w> gól</w> gól</w> gól</w> gól</w> gól</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.48031
</s> Ken es ei</w> Krisz ti án</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> játékos</w> játékos</w> játékos</w>,Beijing</w> Gu oan</w> FC</w>,0,Beijing</w> Gu oan</w> FC</w>,0,-0.50930
