sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Federal Reserve Bank of New York [MASK] [MASK] [MASK] [MASK] található . [SEP],a New Yorkában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.72825
[CLS] Long Island Rail Road [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . .ban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.13445
[CLS] Association for Computing Machinery:2 [MASK] [MASK] található . [SEP],-ában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.88214
[CLS] Iridium:3 [MASK] [MASK] található . [SEP],városen:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.44353
[CLS] Metropolitan Művészeti:2 Múzeum [MASK] található . [SEP],##ban,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.70603
[CLS] Funimation:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.88370
[CLS] American Broadcasting Company [MASK] [MASK] található . [SEP],-ében:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.80554
[CLS] Cisco Systems [MASK] [MASK] található . [SEP],-ában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.59544
[CLS] 3M:2 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . .ban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.60816
[CLS] Alcoa:2 [MASK] található . [SEP],##ban,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.08062
[CLS] Boomerang:2 [MASK] található . [SEP],##ban,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.60679
[CLS] Cummins:2 [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.95466
[CLS] Fox Sports [MASK] [MASK] található . [SEP],-ában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.96443
[CLS] Marvel Comics [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.54034
[CLS] Unum:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.16169
[CLS] Institute of Electrical and Electronics Engineers [MASK] [MASK] [MASK] [MASK] található . [SEP],( IP ) ),Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.07685
[CLS] Vimeo:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.85705
[CLS] Cray:2 [MASK] található . [SEP],##on,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.62894
[CLS] Rockstar:2 Games [MASK] található . [SEP],alatt,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.09315
[CLS] Rotten Tomatoes [MASK] található . [SEP],##on,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.20761
[CLS] Baldwin Piano Company [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . .ban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.05072
[CLS] Metro - North Railroad [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.71612
[CLS] Pixar:2 [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.88440
[CLS] Tripwire:3 Interactive [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.85704
[CLS] HRG:2 Group [MASK] [MASK] található . [SEP],-ában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.81557
[CLS] Zappos:3 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.49684
[CLS] Skyline:2 Chili [MASK] [MASK] található . [SEP],Chiliában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.78398
[CLS] Kroger:3 [MASK] található . [SEP],##ben,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.97919
