sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Zoltán</w> L antos</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-0.84047
</s> Zsigmond</w> Sz ath má ry</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,Iud Iud Iud,Hong arije</w>,0,Hong arije</w>,0,-1.29710
</s> Z sol t</w> G ár don yi</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♂</w> ♂</w> ♂</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-0.60242
</s> Johan</w> II</w> Sigismund</w> Zá pol ya</w> is</w> <special1> burger</w> .</w> </s>,Habs,Hong arije</w>,0,Hong arije</w>,0,-0.75506
</s> E mánu el</w> Mo ór</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w>,Verenig d</w> Koninkrijk</w>,0,Verenig d</w> Koninkrijk</w>,0,-1.22828
</s> Ber talan</w> H ock</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,♂</w> ♂</w> Salz,Hong arije</w>,0,Hong arije</w>,0,-0.77878
</s> Dez so</w> d</w> '</w> Antal ffy</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,█</w> █</w> █</w>,Hong arije</w>,0,Hong arije</w>,0,-0.85835
</s> An tos</w> Kálmán</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♀</w> ♂</w> ♀</w> ♂</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.08773
</s> Tamás</w> Bar ta</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-0.94590
</s> István</w> Bar ó ti</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,natione</w> Iud aeis</w>,Hong arije</w>,0,Hong arije</w>,0,-1.70835
</s> Sándor</w> Bár di</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,gebore</w> Austro- Hungar,Hong arije</w>,0,Hong arije</w>,0,-0.93035
</s> Zor án</w> Sz tev anov ity</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♦</w> Als atian</w> Ehren,Hong arije</w>,0,Hong arije</w>,0,-1.32428
</s> László</w> Bó di</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,ǂ ǂ ǂ ǂ,Hong arije</w>,0,Hong arije</w>,0,-1.22743
</s> Bal áz s</w> Far kas - Jen ser</w> is</w> <special1> burger</w> .</w> </s>,Habs,Hong arije</w>,0,Hong arije</w>,0,-1.52125
</s> György</w> Filip</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-1.12504
</s> Attila</w> Gar ay</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♂</w> ♂</w> ♂</w> ♂</w>,Hong arije</w>,0,Hong arije</w>,0,-0.98906
</s> János</w> G osz ton yi</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,Iohannes</w> Iohannes</w> Habs,Hong arije</w>,0,Hong arije</w>,0,-1.08557
</s> Péter</w> H uz ella</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,Georgius</w> Georgius</w> Georgius</w> Habs,Hong arije</w>,0,Hong arije</w>,0,-0.57253
</s> Gábor</w> I há sz</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-1.00444
</s> Tamás</w> Kos ó cz ki</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,„</w> „</w> „</w> Magde,Hong arije</w>,0,Hong arije</w>,0,-1.26003
</s> András</w> Koz ma</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-1.07094
</s> Zoltán</w> Ké kes</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-0.73773
</s> István</w> Ler ch</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-1.01932
</s> Vil mos</w> Le ány fal usi</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> Kaiser,Hong arije</w>,0,Hong arije</w>,0,-1.99051
</s> C saba</w> Sz ig eti</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-1.14843
</s> János</w> Má sik</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-1.06061
</s> Attila</w> Máty ás</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-0.63579
</s> Péter</w> M át é</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> Péter</w> Habs,Hong arije</w>,0,Hong arije</w>,0,-1.38454
</s> Fer ó</w> Nagy</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Hong arije</w>,0,Hong arije</w>,0,-0.50779
</s> Gábor</w> Nov ai</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-0.73438
</s> Imre</w> Pon ik lo</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,↗</w> ↗</w> ↗</w> ↗</w> ↗</w>,Hong arije</w>,0,Hong arije</w>,0,-1.54889
</s> Ló rá nt</w> Ré z</w> is</w> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-1.64439
</s> L illa</w> Sz ath má ry</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-1.37197
</s> Petra</w> Var ga</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,█</w> █</w> █</w>,Hong arije</w>,0,Hong arije</w>,0,-0.65213
</s> X aver</w> Var nus</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♂</w> ♂</w> ♂</w> burger</w>,Canada</w>,0,Canada</w>,0,-0.94048
</s> Joseph</w> Á cs</w> is</w> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> ♁</w> ♁</w>,Hong arije</w>,0,Hong arije</w>,0,-0.71225
