sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Zoltán</w> L antos</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,jaz zvi ool</w>,0,jaz zvi ool</w>,0,-0.85525
</s> Zsigmond</w> Sz ath má ry</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.54913
</s> Z sol t</w> G ár don yi</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.64776
</s> Johan</w> II</w> Sigismund</w> Zá pol ya</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> ♣</w> │</w> │</w> ♣</w>,orgel</w>,0,orgel</w>,0,-0.65822
</s> E mánu el</w> Mo ór</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♘</w> ♗</w> ♕</w> ♗</w>,piano</w>,0,piano</w>,0,-0.54599
</s> Ber talan</w> H ock</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Târgu</w> Mureș</w> ⇒</w> Târgu</w> Mureș</w>,orgel</w>,0,orgel</w>,0,-0.50955
</s> Dez so</w> d</w> '</w> Antal ffy</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.47559
</s> An tos</w> Kálmán</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,orgel</w>,0,orgel</w>,0,-0.81673
</s> Tamás</w> Bar ta</w> speelt</w> <special1> <special1> <special1> .</w> </s>,áš</w> áš</w> áš</w>,stem</w>,0,stem</w>,0,-0.55238
</s> István</w> Bar ó ti</w> speelt</w> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.44529
</s> Sándor</w> Bár di</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,stem</w>,0,stem</w>,0,-0.52084
</s> Zor án</w> Sz tev anov ity</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,git aar</w>,0,git aar</w>,0,-0.41485
</s> László</w> Bó di</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♘</w> ♕</w> ♕</w> ♕</w>,piano</w>,0,piano</w>,0,-0.80723
</s> Bal áz s</w> Far kas - Jen ser</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Osz trák</w> trák</w> trák</w> játékokon</w>,stem</w>,0,stem</w>,0,-0.88228
</s> György</w> Filip</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,stem</w>,0,stem</w>,0,-0.61035
</s> Attila</w> Gar ay</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♗</w>,piano</w>,0,piano</w>,0,-0.93853
</s> János</w> G osz ton yi</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.62935
</s> Péter</w> H uz ella</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> Pál</w> ♦</w> Pál</w>,stem</w>,0,stem</w>,0,-0.39180
</s> Gábor</w> I há sz</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,stem</w>,0,stem</w>,0,-0.42415
</s> Tamás</w> Kos ó cz ki</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,orgel</w>,0,orgel</w>,0,-0.46613
</s> András</w> Koz ma</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,stem</w>,0,stem</w>,0,-0.79378
</s> Zoltán</w> Ké kes</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,git aar</w>,0,git aar</w>,0,-0.74104
</s> István</w> Ler ch</w> speelt</w> <special1> <special1> .</w> </s>,Nagy- András</w>,piano</w>,0,piano</w>,0,-0.75120
</s> Vil mos</w> Le ány fal usi</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,orgel</w>,0,orgel</w>,0,-0.29029
</s> C saba</w> Sz ig eti</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Târgu</w> Mureș</w> ⇒</w> Târgu</w> Mureș</w>,piano</w>,0,piano</w>,0,-0.72204
</s> János</w> Má sik</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,stem</w>,0,stem</w>,0,-0.71933
</s> Attila</w> Máty ás</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♗</w>,stem</w>,0,stem</w>,0,-0.90732
</s> Péter</w> M át é</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> Pál</w> ♦</w> Pál</w>,piano</w>,0,piano</w>,0,-0.49009
</s> Fer ó</w> Nagy</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,piano</w>,0,piano</w>,0,-0.49090
</s> Gábor</w> Nov ai</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,stem</w>,0,stem</w>,0,-0.66066
</s> Imre</w> Pon ik lo</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♕</w> ♖</w>,stem</w>,0,stem</w>,0,-0.80057
</s> Ló rá nt</w> Ré z</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,orgel</w>,0,orgel</w>,0,-0.22592
