sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Federal Reserve Bank of New York bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],New Bank of New York,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.52658
[CLS] Long Island Rail Road bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Long Island Rail Road,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.00979
[CLS] Association for Computing Machinery:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],"Kansas City ,",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.05886
[CLS] Iridium:3 Communications bevindt zich in [MASK] [MASK] [MASK] . [SEP],", Kansas .",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.37873
[CLS] Metropolitan Museum of Art bevindt zich in [MASK] [MASK] [MASK] . [SEP],New York City,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.90629
[CLS] Funimation:2 Entertainment bevindt zich in [MASK] [MASK] [MASK] . [SEP],Angels of Angels,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.99569
[CLS] American Broadcasting Company bevindt zich in [MASK] [MASK] [MASK] . [SEP],Kansas City City,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.20205
[CLS] Cisco Systems bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],"Houston , Tex .",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-2.05827
[CLS] 3M:2 bevindt zich in [MASK] [MASK] . [SEP],3M:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-2.39377
[CLS] Alcoa:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de regio Alcoa:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.50801
[CLS] Boomerang:2 bevindt zich in [MASK] [MASK] . [SEP],Boomerang:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.59484
[CLS] Cummins:2 bevindt zich in [MASK] [MASK] . [SEP],het noorden,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.37336
[CLS] Fox Sports bevindt zich in [MASK] [MASK] [MASK] . [SEP],Kansas City City,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.39161
[CLS] Marvel Comics bevindt zich in [MASK] [MASK] [MASK] . [SEP],West West West,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.94049
[CLS] Unum:2 bevindt zich in [MASK] [MASK] . [SEP],Unum:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.49934
[CLS] Institute of Electrical and Electronics Engineers bevindt zich in [MASK] [MASK] . [SEP],New York,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.71250
[CLS] Vimeo:2 bevindt zich in [MASK] [MASK] . [SEP],Vimeo:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.65355
[CLS] Cray:2 bevindt zich in [MASK] [MASK] . [SEP],Cray:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.93562
[CLS] Rockstar:2 Games bevindt zich in [MASK] [MASK] . [SEP],New York,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.65286
[CLS] Rotten Tomatoes bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],5 % van 5 %,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-2.02806
[CLS] Baldwin Piano Company bevindt zich in [MASK] . [SEP],Baldwin,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.25460
[CLS] Metro - North Railroad bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Metro - North Railroad,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.16324
[CLS] Pixar:2 Animation Studios bevindt zich in [MASK] [MASK] [MASK] . [SEP],"Kansas City ,",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.30580
[CLS] Tripwire:3 Interactive bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],", City , City",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.98542
[CLS] Zapata Off - Shore Company bevindt zich in [MASK] . [SEP],Zapata,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.25391
[CLS] Zappos:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],##s . en ins:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-2.30401
[CLS] Skyline:2 Chili bevindt zich in [MASK] . [SEP],Chili,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.02237
[CLS] Kroger:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],3 dorpen:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-2.50073
[CLS] Steinway:2 & Sons bevindt zich in [MASK] [MASK] [MASK] . [SEP],Kansas City St,Duitsland,0,Duitsland,0,-1.24956
[CLS] Mercury Records bevindt zich in [MASK] [MASK] . [SEP],New York,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.02953
[CLS] Pratt & Whitney bevindt zich in [MASK] [MASK] [MASK] . [SEP],Kansas City City,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.88447
[CLS] Kumon:2 bevindt zich in [MASK] [MASK] . [SEP],het district,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.73481
[CLS] ZAP:2 bevindt zich in [MASK] [MASK] . [SEP],Dong Dong,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.83317
[CLS] MIT Press bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Lincoln , Nebraska . Lincoln",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.60415
[CLS] SurveyMonkey:4 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Survey - Wear:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-2.05269
[CLS] AK Steel Holding bevindt zich in [MASK] [MASK] . [SEP],Waregem:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-2.24213
[CLS] Pepperdine:2 - universiteit bevindt zich in [MASK] [MASK] [MASK] . [SEP],Pepperdine:2 County,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.60976
[CLS] Levi Strauss & Co . bevindt zich in [MASK] [MASK] [MASK] . [SEP],St . Louis,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.32052
[CLS] 2K:2 Sports bevindt zich in [MASK] [MASK] [MASK] . [SEP],Kansas Kansas Kansas,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.43828
[CLS] Boston Consulting:3 Group bevindt zich in [MASK] . [SEP],Boston,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.01714
[CLS] Coverity:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],plaats van Coverity:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.85746
[CLS] Zattoo:3 bevindt zich in [MASK] [MASK] . [SEP],het dorp,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.52192
[CLS] OneWest:3 Bank bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],", Bank of America",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.18846
[CLS] JetBlue:3 Airways bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],", Airport International Airport",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.54661
[CLS] National Geographic Society bevindt zich in [MASK] [MASK] [MASK] . [SEP],het nieuws:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.79899
[CLS] Massachusetts Bay Transportation Authority bevindt zich in [MASK] . [SEP],Boston,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.11450
[CLS] Gartner:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Dörpörp:3,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.15226
[CLS] Smithsonian Institution bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Washington D . C,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.91932
[CLS] Duke University bevindt zich in [MASK] . [SEP],Durham,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.08164
[CLS] 2K:2 Games bevindt zich in [MASK] [MASK] [MASK] . [SEP],St . City,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.88062
[CLS] Take - Two Interactive bevindt zich in [MASK] [MASK] [MASK] . [SEP],Half - Life,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.65715
[CLS] New York Mercantile:3 Exchange bevindt zich in [MASK] [MASK] . [SEP],New York,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.04644
[CLS] Yammer:2 bevindt zich in [MASK] [MASK] . [SEP],Yammer:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-2.11202
[CLS] CD - adapco:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],CD - processoren:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-2.67998
[CLS] San Francisco Chronicle bevindt zich in [MASK] [MASK] [MASK] . [SEP],San Francisco Chronicle,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.68045
[CLS] Electronic Arts bevindt zich in [MASK] [MASK] [MASK] . [SEP],City City City,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.72575
[CLS] RWE:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Roodenvelde:5,Duitsland,0,Duitsland,0,-2.04251
[CLS] Microsoft Game Studios bevindt zich in [MASK] [MASK] [MASK] . [SEP],Tri Tri Tri,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.66455
[CLS] Airgas:2 bevindt zich in [MASK] [MASK] . [SEP],Airgas:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.81643
[CLS] A + E Networks bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],", Networks , Networks",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.71979
[CLS] HarperCollins bevindt zich in [MASK] [MASK] . [SEP],New York,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.53662
[CLS] Andrews University bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Andrews Andrews Andrews Andrews,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.37169
[CLS] West Virginia University bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],"Winchester Winchester , Winchester",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.02458
[CLS] Albemarle:3 Corporation bevindt zich in [MASK] [MASK] [MASK] . [SEP],Albemarle:3,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.92432
[CLS] Advanced Micro Devices:2 bevindt zich in [MASK] [MASK] . [SEP],Californië:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.62970
[CLS] Turn 10 Studios bevindt zich in [MASK] [MASK] . [SEP],New York,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.76148
[CLS] MIT Sloan School of Management bevindt zich in [MASK] [MASK] [MASK] . [SEP],"Kansas City ,",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.99291
[CLS] Élan:2 Motorsport Technologies bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Élan:2 ( ),Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.54848
[CLS] United Airlines bevindt zich in [MASK] [MASK] . [SEP],zit zit,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.58203
[CLS] Universal Studios bevindt zich in [MASK] [MASK] . [SEP],Universal Studios,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.01138
