sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] DC Cupcakes:3 eredetileg [MASK] [MASK] sugározták:4 . [SEP],a DC,TLC:2,0,TLC:2,0,-1.25087
[CLS] Doña Bella eredetileg [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] sugározták:4 . [SEP],a - t és eredetileg a - t,RCN:2 TV,0,RCN:2 TV,0,-1.28518
[CLS] American Hot Rod eredetileg [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] sugározták:4 . [SEP],". , , , és - , pontokat:2",TLC:2,0,TLC:2,0,-1.19199
[CLS] Miami Ink:2 eredetileg [MASK] [MASK] [MASK] sugározták:4 . [SEP],a Miami Miami,TLC:2,0,TLC:2,0,-0.92861
[CLS] Who Do You Think You Are ? eredetileg [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] sugározták:4 . [SEP],azÉPÉÉn:6,TLC:2,0,TLC:2,0,-0.75132
[CLS] LA Ink:2 eredetileg [MASK] [MASK] [MASK] [MASK] [MASK] sugározták:4 . [SEP],LA Ink:2 sorozatát:2,TLC:2,0,TLC:2,0,-1.00419
[CLS] Peep:2 and the Big Wide World eredetileg [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] sugározták:4 . [SEP],"a , , , , és , , sorozatt:2",PBS Kids,0,PBS Kids,0,-1.31430
[CLS] Nitro:2 Circus eredetileg [MASK] [MASK] sugározták:4 . [SEP],interneten:2,MTV2:2 Pop,0,MTV2:2 Pop,0,-1.06719
[CLS] Medical Detectives:2 eredetileg [MASK] [MASK] [MASK] [MASK] [MASK] sugározták:4 . [SEP],AMC AMC AMC AMC AMC,TLC:2,0,TLC:2,0,-0.87374
[CLS] El amor no tiene precio eredetileg [MASK] [MASK] [MASK] [MASK] [MASK] sugározták:4 . [SEP],2002 és 2003 között filmet,XEW:3 - TV,0,XEW:3 - TV,0,-1.42325
[CLS] Overhaulin:3 ' eredetileg [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] sugározták:4 . [SEP],"a , , , , , , szót:2",TLC:2,0,TLC:2,0,-1.24413
