sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Het hoofdkantoor:3 van Müller staat in [MASK] . [SEP],München,Ulm,0,Ulm,0,-2.65199
[CLS] Het hoofdkantoor:3 van Vodafone:2 Hungary staat in [MASK] . [SEP],Budapest,Boedapest:3,0,Boedapest:3,0,-0.74238
[CLS] Het hoofdkantoor:3 van Tisza:2 Volán:2 staat in [MASK] [MASK] [MASK] [MASK] . [SEP],Tisza:2 Volán:2,Szeged,0,Szeged,0,-0.66662
[CLS] Het hoofdkantoor:3 van Vasi:2 Volán:2 staat in [MASK] [MASK] [MASK] [MASK] . [SEP],Vasi:2 Volán:2,Szombathely:4,0,Szombathely:4,0,-0.73598
[CLS] Het hoofdkantoor:3 van Balabit:2 staat in [MASK] [MASK] . [SEP],Balabit:2,Boedapest:3,0,Boedapest:3,0,-1.23909
[CLS] Het hoofdkantoor:3 van Sólyom:3 Hungarian Airways staat in [MASK] [MASK] [MASK] . [SEP],Sólyom:3,Boedapest:3,0,Boedapest:3,0,-0.97073
[CLS] Het hoofdkantoor:3 van Emfesz:3 staat in [MASK] [MASK] [MASK] . [SEP],Emfesz:3,Boedapest:3,0,Boedapest:3,0,-1.77101
[CLS] Het hoofdkantoor:3 van iGlue:3 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , , , York",Boedapest:3,0,Boedapest:3,0,-2.18107
[CLS] Het hoofdkantoor:3 van Szabad:3 Föld:2 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Szabad:3 Föld:2,Boedapest:3,0,Boedapest:3,0,-0.94497
[CLS] Het hoofdkantoor:3 van TARR:3 staat in [MASK] . [SEP],Londen,Szekszárd:4,0,Szekszárd:4,0,-2.44266
[CLS] Het hoofdkantoor:3 van Duna Média:2 staat in [MASK] . [SEP],Bratislava,District III,0,District III,0,-1.52843
[CLS] Het hoofdkantoor:3 van ABC Air Hungary staat in [MASK] . [SEP],Budapest,Boedapest:3,0,Boedapest:3,0,-1.63144
[CLS] Het hoofdkantoor:3 van Gravity R & D staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , , , California",Boedapest:3,0,Boedapest:3,0,-2.37302
[CLS] Het hoofdkantoor:3 van Győri:2 Keksz:3 staat in [MASK] . [SEP],Győr,Székesfehérvár:7,0,Székesfehérvár:7,0,-0.05171
[CLS] Het hoofdkantoor:3 van MFS:2 2000 Inc staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , , , California",Sirok:2,0,Sirok:2,0,-2.28719
[CLS] Het hoofdkantoor:3 van SDI:2 Media Hungary staat in [MASK] . [SEP],Budapest,Boedapest:3,0,Boedapest:3,0,-1.65209
[CLS] Het hoofdkantoor:3 van Szerencsejáték:7 Zrt:2 . staat in [MASK] [MASK] . [SEP],de dorp,Boedapest:3,0,Boedapest:3,0,-1.72773
[CLS] Het hoofdkantoor:3 van SPI:2 International Poland staat in [MASK] . [SEP],Warschau,Boedapest:3,0,Boedapest:3,0,-1.30973
[CLS] Het hoofdkantoor:3 van ExperiDance:4 Production staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , , , California",Boedapest:3,0,Boedapest:3,0,-2.60709
[CLS] Het hoofdkantoor:3 van St . Stephen Association staat in [MASK] [MASK] [MASK] . [SEP],St .s:2,Budapest V . District,0,Budapest V . District,0,-2.17800
[CLS] Het hoofdkantoor:3 van Cirko:2 Film staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de - , , York",Boedapest:3,0,Boedapest:3,0,-2.85569
[CLS] Het hoofdkantoor:3 van Mozinet:3 staat in [MASK] [MASK] [MASK] . [SEP],Mozinet:3,Boedapest:3,0,Boedapest:3,0,-1.01895
[CLS] Het hoofdkantoor:3 van PannonPharma:5 ( Hungary ) staat in [MASK] . [SEP],Budapest,Budakalász:3,0,Budakalász:3,0,-1.22505
