sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Dom ino</w> Day</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Netherlands</w>,0,Netherlands</w>,0,-0.32610
</s> The</w> W inner</w> Is</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,〈</w> 〉</w> 〈</w> 〉</w> 〉</w>,Netherlands</w>,0,Netherlands</w>,0,-0.98873
</s> The</w> Generation</w> Game</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,▶</w> ▶</w> ▶</w> ▶</w> ▶</w>,Netherlands</w>,0,Netherlands</w>,0,-0.49805
</s> That</w> 's</w> Life</w> !</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Netherlands</w>,0,Netherlands</w>,0,-0.55895
</s> Mä star nas</w> mä stare</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Netherlands</w>,0,Netherlands</w>,0,-0.24865
</s> Le ute</w> wie</w> du</w> und</w> ich</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,Netherlands</w>,0,Netherlands</w>,0,-0.91876
</s> To</w> Tell</w> the</w> Truth</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,嗶 哩 嗶</w> 嗶 嗶</w>,Netherlands</w>,0,Netherlands</w>,0,-0.93904
</s> Non ni</w> and</w> Man ni</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,jpg</w> jpg</w> ▶</w> ▶</w>,Netherlands</w>,0,Netherlands</w>,0,-0.91905
</s> Exp editie</w> Robinson</w> 2010</w> was</w> created</w> in</w> <special1> <special1> .</w> </s>,Negeri</w> Sembilan</w>,Netherlands</w>,0,Netherlands</w>,0,-0.26441
</s> Doctor</w> S nug gles</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,"000,000</w> ▶</w> ▶</w> 000,000</w>",United</w> Kingdom</w>,0,United</w> Kingdom</w>,0,-0.55475
</s> Fre ew heel ers</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,Netherlands</w>,0,Netherlands</w>,0,-0.76832
</s> Room</w> 101</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,jpg</w> ---- jpg</w> ---- jpg</w>,Netherlands</w>,0,Netherlands</w>,0,-1.08635
</s> The</w> Ex -W ives</w> Club</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,Netherlands</w>,0,Netherlands</w>,0,-0.63738
</s> Nach teg iel</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,BWV</w> 654</w> BWV</w> BWV</w> 654</w>,Netherlands</w>,0,Netherlands</w>,0,-1.68169
</s> Exp editie</w> Robinson</w> 2011</w> was</w> created</w> in</w> <special1> <special1> .</w> </s>,Negeri</w> Sembilan</w>,Netherlands</w>,0,Netherlands</w>,0,-0.36069
</s> F lik ken</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Netherlands</w>,0,Netherlands</w>,0,-0.61661
</s> Gam ek ings</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Netherlands</w>,0,Netherlands</w>,0,-0.46462
</s> Exp editie</w> Robinson</w> 2012</w> was</w> created</w> in</w> <special1> <special1> .</w> </s>,Negeri</w> Sembilan</w>,Belgium</w>,0,Belgium</w>,0,-0.28006
</s> Cri mi</w> C low ns</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,▶</w> ▶</w> ▶</w> ▶</w> ▶</w>,Netherlands</w>,0,Netherlands</w>,0,-0.69133
</s> Maestro</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Netherlands</w>,0,Netherlands</w>,0,-0.60549
</s> Sp ang a S</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,wikipedia.org</w> wikipedia.org</w> wikipedia.org</w> wikipedia.org</w>,Netherlands</w>,0,Netherlands</w>,0,-0.60483
</s> 24</w> Ho urs</w> with</w> ...</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,jpg</w> ▶</w> jpg</w> ▶</w> jpg</w>,Netherlands</w>,0,Netherlands</w>,0,-1.24593
</s> D ating</w> in</w> the</w> Dark</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,♯</w> ♯</w> ♯</w> ♯</w>,Netherlands</w>,0,Netherlands</w>,0,-0.87067
</s> The</w> Voice</w> of</w> Poland</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,Netherlands</w>,0,Netherlands</w>,0,-0.87603
"</s> Ben el ux</w> '</w> Next</w> Top</w> Model</w> ,</w> Cy cle</w> 1</w> was</w> created</w> in</w> <special1> <special1> .</w> </s>",Ant werp</w>,Netherlands</w>,0,Netherlands</w>,0,-0.29090
"</s> Ben el ux</w> '</w> Next</w> Top</w> Model</w> ,</w> Cy cle</w> 2</w> was</w> created</w> in</w> <special1> <special1> .</w> </s>",Ant werp</w>,Netherlands</w>,0,Netherlands</w>,0,-0.32938
</s> Kla as</w> kan</w> alles</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Netherlands</w>,0,Netherlands</w>,0,-0.37872
</s> To on</w> was</w> created</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Netherlands</w>,0,Netherlands</w>,0,-0.32178
