sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Beugró:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.22085
[CLS] Napoléon werd oorspronkelijk uitgezonden op [MASK] . [SEP],RTL,France 2,0,France 2,0,-1.68291
[CLS] Szomszédok:5 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],RTL 4 en RTL RTL,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.87717
[CLS] Gustav werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],VRT:2,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.80472
"[CLS] Magyarország , szeretlek:3 ! werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]","RTL , RTL , RTL",M1,0,M1,0,-1.62737
[CLS] Mindenből:2 egy van werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,M1,0,M1,0,-1.88033
[CLS] Work Matters:2 werd oorspronkelijk uitgezonden op [MASK] . [SEP],CBS,M1,0,M1,0,-1.28766
[CLS] Panoráma:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,M1,0,M1,0,-1.70305
[CLS] Táncdalfesztivál:7 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],radio en televisie,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.76087
[CLS] Vidám:2 Vasárnap:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],tv - tv,ATV,0,ATV,0,-1.92315
[CLS] Meister Eder:2 und sein Pumuckl:4 werd oorspronkelijk uitgezonden op [MASK] . [SEP],RTL,BR Fernsehen,0,BR Fernsehen,0,-1.58091
[CLS] The Pillars:3 of the Earth werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],VRT2:3,The Movie Network,0,The Movie Network,0,-1.61382
[CLS] Barátok:3 közt werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],VRT:2,RTL KLUB:3,0,RTL KLUB:3,0,-2.01414
[CLS] Csillag:3 születik:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],1 en 2,RTL KLUB:3,0,RTL KLUB:3,0,-1.91636
[CLS] Citizen X werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Citizen X,Home Box Office,0,Home Box Office,0,-1.48993
[CLS] Megasztár:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.35374
[CLS] X - Faktor:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],VRT:2,RTL KLUB:3,0,RTL KLUB:3,0,-1.77712
[CLS] Rasputin:3 : Dark Servant:2 of Destiny werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Nickelodeon Nickelodeon en Nickelodeon Nickelodeon,Home Box Office,0,Home Box Office,0,-1.33818
[CLS] Shot Through the Heart werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],000 . 000,Home Box Office,0,Home Box Office,0,-1.83828
[CLS] I ragazzi della via Pal werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],2 - zondag:2,Canale 5,0,Canale 5,0,-2.04758
[CLS] Balázs show werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,RTL KLUB:3,0,RTL KLUB:3,0,-1.61341
[CLS] Psychic:4 Readings:2 Live werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Live . tv en Live,TV3,0,TV3,0,-1.71164
[CLS] Áll:2 az alku:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],##4 . TV2:2,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.49259
[CLS] A Dal werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,M1,0,M1,0,-1.65420
[CLS] Marci:2 és a kapitány:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],VRT2:3,M1,0,M1,0,-1.57827
[CLS] Társas:3 játék werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,HBO Hungary,0,HBO Hungary,0,-1.73590
[CLS] The special adventures:2 of Aladár:3 Mézga:4 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],film en televisie,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.01834
[CLS] Rising Star werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Rising Star,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.29202
[CLS] Ridikül:4 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],TT:2 . TT:2,M1,0,M1,0,-1.62346
[CLS] Golden Life werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Golden Life,HBO Hungary,0,HBO Hungary,0,-1.31884
[CLS] Demimonde:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],dvd:2,Duna,0,Duna,0,-1.74360
[CLS] Való:2 Világ:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,RTL KLUB:3,0,RTL KLUB:3,0,-1.67053
[CLS] Csak:2 színház:3 és más semmi:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],s - tv tv,Duna,0,Duna,0,-1.95573
[CLS] Hungary ' s Got Talent werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,RTL KLUB:3,0,RTL KLUB:3,0,-1.57498
[CLS] Star Academy werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],Star Academy specials:2,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.68843
[CLS] Family Circle werd oorspronkelijk uitgezonden op [MASK] . [SEP],CBS,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.79583
[CLS] Sznobjektív:5 werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Sz:2,Hír:2 TV,0,Hír:2 TV,0,-0.96885
[CLS] The Real Housewives:3 of Hungary werd oorspronkelijk uitgezonden op [MASK] . [SEP],ITV,Viasat:2 3,0,Viasat:2 3,0,-1.71210
[CLS] A Fal:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],1 en 2,RTL KLUB:3,0,RTL KLUB:3,0,-2.00195
[CLS] The Witcher:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],tv - televisieseries:2,Netflix,0,Netflix,0,-1.89397
[CLS] Eternal Winter werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],1 en 2,Duna,0,Duna,0,-2.00790
[CLS] Captives:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Cartoon Network,Duna,0,Duna,0,-1.91110
"[CLS] Nicsak:2 , ki vagyok:2 ? werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP]",##4 . TV4:2,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.81556
[CLS] Való:2 Világ:3 ( season 10 ) werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],VTV2:3,RTL KLUB:3,0,RTL KLUB:3,0,-1.58746
[CLS] Made in Karantén:3 werd oorspronkelijk uitgezonden op [MASK] . [SEP],RTL,RTL KLUB:3,0,RTL KLUB:3,0,-1.84584
[CLS] Neked:2 énekelek:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Sz:2,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.11454
[CLS] Magyar tájak:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],televisie uitgezonden . O,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.96710
[CLS] Mellékhatás:4 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],televisie - en televisie,RTL KLUB:3,0,RTL KLUB:3,0,-1.49496
[CLS] Doktor Balaton:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],TT:2 . TT:2,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.66148
[CLS] Drót:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,TV4:2,0,TV4:2,0,-1.66253
[CLS] The Informant:3 werd oorspronkelijk uitgezonden op [MASK] . [SEP],NBC,HBO Max,0,HBO Max,0,-1.87123
"[CLS] Meister Eder:2 und sein Pumuckl:4 , season 1 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",ZDF - ZDF . ZDF,Bayerischer:2 Rundfunk,0,Bayerischer:2 Rundfunk,0,-1.22047
[CLS] Stalin werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,Home Box Office,0,Home Box Office,0,-2.05613
