sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Jeremiah:3 Clemens is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],the - - - Party,Democratic Party,0,Democratic Party,0,-2.59340
[CLS] Jeremiah:3 Clemens is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],New of ' ' the,Democratic Party,0,Democratic Party,0,-3.54377
[CLS] Jeremiah:3 Clemens is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K ' of ofs:2,Democratic Party,0,Democratic Party,0,-3.87182
[CLS] Jeremiah:3 Clemens is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],"A , the the s",Democratic Party,0,Democratic Party,0,-3.97154
[CLS] Jeremiah:3 Clemens is a member of the [MASK] political party . [SEP],Conservative,Democratic Party,0,Democratic Party,0,-4.12515
[CLS] Edith Bolling:2 Galt:2 Wilson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],New - - - Party,Democratic Party,0,Democratic Party,0,-2.57117
[CLS] Edith Bolling:2 Galt:2 Wilson is a member of the [MASK] political party . [SEP],Conservative,Democratic Party,0,Democratic Party,0,-2.63655
[CLS] Edith Bolling:2 Galt:2 Wilson is a member of the [MASK] political party . [SEP],Wilson,Democratic Party,0,Democratic Party,0,-3.58465
[CLS] Edith Bolling:2 Galt:2 Wilson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],North . s the the,Democratic Party,0,Democratic Party,0,-3.88225
[CLS] Edith Bolling:2 Galt:2 Wilson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],"Women , the s )",Democratic Party,0,Democratic Party,0,-4.09036
[CLS] Carly:2 Fiorina:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],the - - - the,Republican Party,0,Republican Party,0,-2.76086
