sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Gábor Garai:2 is lid van de [MASK] politieke partij . [SEP],lokale,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-1.55669
[CLS] Lénárd:3 Pál is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Lénárd:3 Pál -,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-0.81147
[CLS] István Simon is lid van de [MASK] politieke partij . [SEP],lokale,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-1.40448
[CLS] László Németh:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Németh:3 -,National Peasant:3 Party,0,National Peasant:3 Party,0,-0.88059
[CLS] Ferenc Kárpáti:4 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Kárpáti:4 -,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-0.48277
[CLS] István Géczi:3 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Hongaarse:3,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-1.29758
[CLS] János Lázár:3 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Hongaarse:3,Fidesz:3,0,Fidesz:3,0,-1.08518
[CLS] Lehotzky:3 Egyed:2 is lid van de [MASK] politieke partij . [SEP],lokale,Deák:2 - partij,0,Deák:2 - partij,0,-0.71566
[CLS] Bertalan:2 Andrásfalvy:3 is lid van de [MASK] politieke partij . [SEP],lokale,Hongaars:2 Democratisch:2 Forum,0,Hongaars:2 Democratisch:2 Forum,0,-0.94572
[CLS] Tivadar:3 Andrássy:2 is lid van de [MASK] politieke partij . [SEP],lokale,Liberale:2 Partij,0,Liberale:2 Partij,0,-1.14282
