sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] B . B . King is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.09808
[CLS] Joe Satriani:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.24104
[CLS] Billy Joel is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.20827
[CLS] Sheryl:2 Crow is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.19581
[CLS] Willie Nelson is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.19167
[CLS] Charlie Creath:3 is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.16623
[CLS] Pat Metheny:3 is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.18818
[CLS] Billy Ray Cyrus is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.16061
[CLS] Julieta:2 Venegas:2 is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.37470
[CLS] AJ Michalka:2 is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.24482
[CLS] Doyle Bramhall:3 II is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.23796
[CLS] Joe Dassin:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.20422
[CLS] Mark Arm is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.27375
[CLS] Corey Taylor is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.19827
[CLS] Jeff Hanneman:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.13858
[CLS] Layne:2 Staley:2 is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.08006
[CLS] Carl Perkins is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.26615
[CLS] Billy Preston is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.21227
[CLS] Eric Johnson is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.20237
[CLS] Lead Belly:2 is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.18346
[CLS] Alan Menken:2 is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.25561
[CLS] Corey Harris is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.14941
[CLS] Robert Berry is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.17345
[CLS] Scott Weiland:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.11911
[CLS] Gil Goldstein is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.28117
[CLS] Kelly Gray is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.18603
[CLS] David Hidalgo is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.58339
[CLS] Bill Frisell:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,United States of America,0,United States of America,0,-0.18358
[CLS] John Abercrombie:4 is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.14937
[CLS] Sister Rosetta:2 Tharpe:3 is [MASK] citizen . [SEP],a,United States of America,0,United States of America,0,-0.23451
