sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Winston</w> Bog arde</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,FC</w> Barcelona</w>,0,FC</w> Barcelona</w>,0,-0.78557
</s> Nick</w> Vier gev er</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,VfL</w> VfL</w> Bochum</w>,AFC</w> Ajax</w>,0,AFC</w> Ajax</w>,0,-0.45738
</s> Erik</w> Falken burg</w> plays</w> with</w> <special1> <special1> .</w> </s>,IFK</w> Göteborg</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.78717
</s> Ry dell</w> Po ep on</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,AD O</w> Den</w> Haag</w>,0,AD O</w> Den</w> Haag</w>,0,-0.29016
</s> Jet ro</w> Will ems</w> plays</w> with</w> <special1> <special1> .</w> </s>,PSV</w> Eindhoven</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.63503
</s> P im</w> Ver beek</w> plays</w> with</w> <special1> <special1> <special1> <special1> .</w> </s>,Bursa</w> Türki yem spor</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.74805
</s> Ed</w> de</w> Go ey</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Fey eno ord</w>,0,Fey eno ord</w>,0,-0.67894
</s> S ander</w> Wester veld</w> plays</w> with</w> <special1> <special1> .</w> </s>,Jong</w> PSV</w>,Unión</w> Depor tiva</w> Almería</w>,0,Unión</w> Depor tiva</w> Almería</w>,0,-0.28555
</s> Milano</w> Ko en ders</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,VfL</w> VfL</w> Bochum</w>,AZ</w> Alk maar</w>,0,AZ</w> Alk maar</w>,0,-0.90943
</s> René</w> Pon k</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,FC</w> Dord recht</w>,0,FC</w> Dord recht</w>,0,-0.95399
</s> David</w> Abdul</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Perlis</w> Perlis</w> Perlis</w> Perlis</w> Perlis</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.52463
</s> Tim</w> Bak ens</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,FC</w> St.</w> Gallen</w>,0,FC</w> St.</w> Gallen</w>,0,-0.46399
</s> And ro</w> K nel</w> plays</w> with</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.62665
</s> André</w> K rul</w> plays</w> with</w> <special1> <special1> <special1> <special1> .</w> </s>,Fenerbahçe</w> Spor</w> Kulüb ü</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.36936
</s> Willy</w> van</w> Z wiet eren</w> plays</w> with</w> <special1> <special1> .</w> </s>,PSV</w> Eindhoven</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.61410
</s> Jan</w> V os</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,FK</w> Skënder beu</w> Korç ë</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.84422
</s> Hu ug</w> de</w> Groot</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.70530
</s> Dwight</w> Ti end alli</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Corin thians</w> Paulista</w> Futebol</w> Clube</w>,Fey eno ord</w>,0,Fey eno ord</w>,0,-0.79988
</s> René</w> van</w> der</w> Gij p</w> plays</w> with</w> <special1> <special1> .</w> </s>,PSV</w> Eindhoven</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.33866
</s> Harald</w> Wap enaar</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,VfL</w> VfL</w> Bochum</w>,Portsmouth</w> F.C.</w>,0,Portsmouth</w> F.C.</w>,0,-0.25675
</s> Sand ro</w> Calab ro</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Associazione</w> Calcio</w> Calcio</w> Tern itana</w>,FC</w> Vol endam</w>,0,FC</w> Vol endam</w>,0,-1.40492
</s> Carlo</w> l</w> ' A mi</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Fey eno ord</w>,0,Fey eno ord</w>,0,-0.85611
</s> Ste f</w> Wal beek</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,VfL</w> Boch umer</w> Boch olt</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.70626
</s> Ton ny</w> van</w> E de</w> plays</w> with</w> <special1> <special1> .</w> </s>,Jong</w> PSV</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.49785
</s> Jan</w> Vill erius</w> plays</w> with</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.36051
</s> Jan</w> Mich els</w> plays</w> with</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.56177
</s> Sh ay ron</w> Curi el</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.49278
</s> Ro el</w> de</w> Gra aff</w> plays</w> with</w> <special1> <special1> .</w> </s>,Jong</w> PSV</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.28068
</s> Roy</w> Stro eve</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Herac les</w> Al mel o</w>,0,Herac les</w> Al mel o</w>,0,-0.31268
</s> René</w> K lom p</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,VfL</w> VfL</w> Bochum</w>,Fey eno ord</w>,0,Fey eno ord</w>,0,-0.26515
</s> S ja ak</w> Pol ak</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Lech</w> Poznań</w> Lech</w> Lech</w> Poznań</w>,SC</w> Ve endam</w>,0,SC</w> Ve endam</w>,0,-1.19144
</s> Robert</w> van</w> Box el</w> plays</w> with</w> <special1> <special1> .</w> </s>,PSV</w> Eindhoven</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.34786
</s> S ander</w> Fischer</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Excel si or</w> Rotterdam</w>,0,Excel si or</w> Rotterdam</w>,0,-0.45416
</s> Y urt can</w> Kay is</w> plays</w> with</w> <special1> .</w> </s>,Fenerbahçe</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.60330
</s> Hans</w> E ij ken bro ek</w> plays</w> with</w> <special1> <special1> .</w> </s>,PSV</w> Eindhoven</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-0.36261
</s> Rob</w> Al fl en</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,VfL</w> VfL</w> Bochum</w>,AFC</w> Ajax</w>,0,AFC</w> Ajax</w>,0,-0.55352
