sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Zoltán</w> L antos</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.15774
</s> Zsigmond</w> Sz ath má ry</w> is</w> <special1> <special1> burger</w> .</w> </s>,♁</w> Habs,Hong arije</w>,0,Hong arije</w>,0,-1.36117
</s> Z sol t</w> G ár don yi</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♀</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.31590
</s> Johan</w> II</w> Sigismund</w> Zá pol ya</w> is</w> <special1> burger</w> .</w> </s>,Habs,Hong arije</w>,0,Hong arije</w>,0,-0.75505
</s> E mánu el</w> Mo ór</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> █</w> burger</w> burger</w>,Verenig d</w> Koninkrijk</w>,0,Verenig d</w> Koninkrijk</w>,0,-0.85705
</s> Ber talan</w> H ock</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♀</w> Szé kely</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.47518
</s> Dez so</w> d</w> '</w> Antal ffy</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,bedien</w> █</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.96818
</s> An tos</w> Kálmán</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♀</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.10506
</s> Tamás</w> Bar ta</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-0.79352
</s> István</w> Bar ó ti</w> is</w> <special1> <special1> burger</w> .</w> </s>,♁</w> Habs,Hong arije</w>,0,Hong arije</w>,0,-1.37109
</s> Sándor</w> Bár di</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.50855
</s> Zor án</w> Sz tev anov ity</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> burger</w> burger</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.08014
</s> László</w> Bó di</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,ǂ █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.39755
</s> Bal áz s</w> Far kas - Jen ser</w> is</w> <special1> burger</w> .</w> </s>,Habs,Hong arije</w>,0,Hong arije</w>,0,-1.52125
</s> György</w> Filip</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,„</w> Szé burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.28411
</s> Attila</w> Gar ay</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♀</w> █</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.49093
</s> János</w> G osz ton yi</w> is</w> <special1> burger</w> .</w> </s>,Habs,Hong arije</w>,0,Hong arije</w>,0,-1.30046
</s> Péter</w> H uz ella</w> is</w> <special1> burger</w> .</w> </s>,Magde,Hong arije</w>,0,Hong arije</w>,0,-1.54723
</s> Gábor</w> I há sz</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-0.86824
</s> Tamás</w> Kos ó cz ki</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,„</w> Szé burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.07084
</s> András</w> Koz ma</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> Szé burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.34412
</s> Zoltán</w> Ké kes</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> Szé burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.11610
</s> István</w> Ler ch</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> Szé burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.71681
</s> Vil mos</w> Le ány fal usi</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,Burger</w> █</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.22484
</s> C saba</w> Sz ig eti</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.02063
</s> János</w> Má sik</w> is</w> <special1> burger</w> .</w> </s>,Magde,Hong arije</w>,0,Hong arije</w>,0,-1.46341
</s> Attila</w> Máty ás</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-0.75160
</s> Péter</w> M át é</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.32574
</s> Fer ó</w> Nagy</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,█</w> █</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.00362
</s> Gábor</w> Nov ai</w> is</w> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> Szé burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.12847
</s> Imre</w> Pon ik lo</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,↗</w> █</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.38838
</s> Ló rá nt</w> Ré z</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> burger</w> burger</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.59328
</s> L illa</w> Sz ath má ry</w> is</w> <special1> <special1> <special1> <special1> <special1> burger</w> .</w> </s>,♁</w> █</w> █</w> burger</w> burger</w>,Hong arije</w>,0,Hong arije</w>,0,-1.11584
