sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Írók:3 Boltja:2 [MASK] található . [SEP],is,Magyarország,0,Magyarország,0,-1.46453
[CLS] Írók:3 Boltja:2 [MASK] található . [SEP],itt,Magyarország,0,Magyarország,0,-1.92124
[CLS] Könyvudvar:4 [MASK] található . [SEP],##ban,Magyarország,0,Magyarország,0,-1.22538
[CLS] Könyvudvar:4 [MASK] található . [SEP],##ában,Magyarország,0,Magyarország,0,-2.09354
[CLS] Müller [MASK] található . [SEP],##en,Németország,0,Németország,0,-2.08983
[CLS] Müller [MASK] található . [SEP],##ben,Németország,0,Németország,0,-2.64293
[CLS] Vodafone:2 Magyarország [MASK] található . [SEP],##ában,Magyarország,0,Magyarország,0,-1.21765
[CLS] Vodafone:2 Magyarország [MASK] található . [SEP],##on,Magyarország,0,Magyarország,0,-1.83119
[CLS] Tisza:2 Volán:2 [MASK] található . [SEP],##án,Magyarország,0,Magyarország,0,-1.25650
[CLS] Tisza:2 Volán:2 [MASK] található . [SEP],##ján,Magyarország,0,Magyarország,0,-1.25985
[CLS] Vasi:2 Volán:2 [MASK] található . [SEP],##ban,Magyarország,0,Magyarország,0,-1.44940
[CLS] Vasi:2 Volán:2 [MASK] található . [SEP],##án,Magyarország,0,Magyarország,0,-2.11350
[CLS] BalaBit:3 IT Security [MASK] található . [SEP],is,Magyarország,0,Magyarország,0,-1.92871
[CLS] BalaBit:3 IT Security [MASK] található . [SEP],Security,Magyarország,0,Magyarország,0,-2.75776
[CLS] Sólyom:3 Hungarian Airways [MASK] található . [SEP],része,Magyarország,0,Magyarország,0,-1.50356
[CLS] Sólyom:3 Hungarian Airways [MASK] található . [SEP],##en,Magyarország,0,Magyarország,0,-2.59602
[CLS] Emfesz:3 [MASK] található . [SEP],##ben,Magyarország,0,Magyarország,0,-1.80396
[CLS] Emfesz:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],",n:2 . . a a .",Magyarország,0,Magyarország,0,-3.00256
[CLS] iGlue:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . .,Magyarország,0,Magyarország,0,-1.71792
[CLS] iGlue:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],", , a a , ,",Magyarország,0,Magyarország,0,-3.01801
[CLS] Szabad:3 Föld:2 [MASK] található . [SEP],##en,Magyarország,0,Magyarország,0,-0.90168
[CLS] Szabad:3 Föld:2 [MASK] található . [SEP],##ben,Magyarország,0,Magyarország,0,-1.78319
[CLS] Tarr:2 Kft:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . .,Magyarország,0,Magyarország,0,-1.83773
[CLS] Tarr:2 Kft:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],az a az az az az azkban:2,Magyarország,0,Magyarország,0,-2.96073
[CLS] Duna Médiaszolgáltató:7 [MASK] található . [SEP],##ján,Magyarország,0,Magyarország,0,-1.30011
[CLS] Duna Médiaszolgáltató:7 [MASK] található . [SEP],##ja,Magyarország,0,Magyarország,0,-2.06496
[CLS] ABC Air Hungary [MASK] [MASK] található . [SEP],-a:2,Magyarország,0,Magyarország,0,-1.92273
[CLS] ABC Air Hungary [MASK] [MASK] található . [SEP],Budapest is,Magyarország,0,Magyarország,0,-2.69429
[CLS] Gravity R & D [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . .kban:2,Magyarország,0,Magyarország,0,-2.03280
[CLS] Gravity R & D [MASK] található . [SEP],is,Magyarország,0,Magyarország,0,-2.82407
[CLS] Győri:2 Keksz:3 Kft:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Győr Győr Győr Győr Győrában:2,Magyarország,0,Magyarország,0,-1.55504
