sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Jeremiah:3 Clemens is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],state - of - the,Democratic Party,0,Democratic Party,0,-2.05890
[CLS] Edith Bolling:2 Galt:2 Wilson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.76216
[CLS] Carly:2 Fiorina:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],All - Party,Republican Party,0,Republican Party,0,-2.22242
[CLS] John Albert Carroll is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.48664
[CLS] June Lockhart:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,California Republican Party,0,California Republican Party,0,-1.58107
[CLS] Charles Anderson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - the,Republican Party,0,Republican Party,0,-2.04768
[CLS] Oakley:2 C . Curtis is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.59329
[CLS] John R . McKernan:5 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Republican Party,0,Republican Party,0,-1.52921
[CLS] Preston Smith is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Democratic Party,0,Democratic Party,0,-1.61299
[CLS] Dan Moody is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.74301
[CLS] Joshua Baker is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Unionist:2 Party,0,Unionist:2 Party,0,-1.88043
[CLS] Dale Bumpers:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.68068
[CLS] David Ignatius Walsh is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.64622
[CLS] Octaviano:3 Ambrosio:3 Larrazolo:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Party - Party - Party,Republican Party,0,Republican Party,0,-1.62815
[CLS] James Sevier:2 Conway is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.73590
[CLS] Nathaniel Pitcher:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic - Republican Party,0,Democratic - Republican Party,0,-1.80616
[CLS] Henry Dodge is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.68171
[CLS] Lucius F . C . Garvin:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Lincoln - for - Lincoln,Democratic Party,0,Democratic Party,0,-1.38237
[CLS] Ned McWherter:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.79103
[CLS] Francis T . Nicholls:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.54348
[CLS] Nathaniel Pitcher:2 Tallmadge:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic - Republican Party,0,Democratic - Republican Party,0,-1.78498
[CLS] William H . Murray is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.35154
[CLS] Silas:2 A . Holcomb:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.73222
[CLS] Julius Caldeen:3 Gunter:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Party - Party - Party,Democratic Party,0,Democratic Party,0,-1.86147
[CLS] Thomas Clarke Rye:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Lincoln - for - Lincoln,Democratic Party,0,Democratic Party,0,-1.60843
[CLS] Earl L . Brewer is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Representatives,Democratic Party,0,Democratic Party,0,-1.67080
[CLS] John H . Sununu:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharata:3 Party,Republican Party,0,Republican Party,0,-2.10504
[CLS] Harold Stassen:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Republican Party,0,Republican Party,0,-1.77446
[CLS] Garrey:3 Carruthers:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Republican Party,0,Republican Party,0,-1.37416
[CLS] Bob Gibbs is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - the,Republican Party,0,Republican Party,0,-2.08380
[CLS] Coe:2 I . Crawford is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],State - of - State,Republican Party,0,Republican Party,0,-2.00603
[CLS] William D . Williamson is a member of the [MASK] political party . [SEP],Williamson,Democratic - Republican Party,0,Democratic - Republican Party,0,-1.50680
[CLS] William Tudor Gardiner is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Republican Party,0,Republican Party,0,-1.52218
[CLS] Charles Paine:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Whig:2 Party,0,Whig:2 Party,0,-1.56581
[CLS] James B . Edwards is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Republican Party,0,Republican Party,0,-1.58230
[CLS] John Philo:2 Hoyt:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - the,Republican Party,0,Republican Party,0,-2.27147
[CLS] John N . Irwin is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - House,Republican Party,0,Republican Party,0,-1.84173
[CLS] Edward W . Hoch:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Republican Party,0,Republican Party,0,-1.72656
[CLS] William Borah:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],in - the - house,Republican Party,0,Republican Party,0,-2.43249
[CLS] George B . Shaw is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Republican Party,0,Republican Party,0,-1.45217
[CLS] Henry Baldwin is a member of the [MASK] political party . [SEP],Baldwin,Democratic - Republican Party,0,Democratic - Republican Party,0,-0.35243
[CLS] Clair Engle:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - the,Democratic Party,0,Democratic Party,0,-2.16756
