sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Candy Dulfer:3 [MASK] játszik:2 . [SEP],##ben,alto saxophone,0,alto saxophone,0,-1.24350
[CLS] Adrianus:2 Cornelis van Leeuwen:2 [MASK] játszik:2 . [SEP],##hoek,szárnykürt:5,0,szárnykürt:5,0,-0.85048
[CLS] Hans Dulfer:3 [MASK] játszik:2 . [SEP],##ben,tenor saxophone,0,tenor saxophone,0,-1.37950
[CLS] Max Werner [MASK] [MASK] játszik:2 . [SEP],- ban,énekhang:2,0,énekhang:2,0,-1.99533
[CLS] Hans Theessink:3 [MASK] játszik:2 . [SEP],##ben,gitár,0,gitár,0,-0.80003
[CLS] Ack:2 van Rooyen:3 [MASK] játszik:2 . [SEP],##ban,szárnykürt:5,0,szárnykürt:5,0,-1.66971
[CLS] Theo Loevendie:3 [MASK] [MASK] játszik:2 . [SEP],##gben:2,szaxofon:4,0,szaxofon:4,0,-1.69168
[CLS] Jan Ingenhoven:2 [MASK] játszik:2 . [SEP],##nek,zongora:2,0,zongora:2,0,-1.56768
[CLS] Igor Presznyakov:4 [MASK] játszik:2 . [SEP],##ban,gitár,0,gitár,0,-1.38414
[CLS] Benjamin Herman ( zenész:2 ) [MASK] játszik:2 . [SEP],is,szaxofon:4,0,szaxofon:4,0,-0.91195
[CLS] Jozef van Wissem:2 [MASK] [MASK] játszik:2 . [SEP],##burghban:2,Lant:2,0,Lant:2,0,-1.55229
[CLS] Jan Akkerman:3 [MASK] játszik:2 . [SEP],##ban,gitár,0,gitár,0,-1.49550
[CLS] Ellen Helmus:2 [MASK] játszik:2 . [SEP],##ban,billentyűs:4 hangszerek:3,0,billentyűs:4 hangszerek:3,0,-1.25078
[CLS] Thijs:2 van Leer:2 [MASK] játszik:2 . [SEP],is,orgona:2,0,orgona:2,0,-1.47100
[CLS] Friedmar:3 Hitzer:2 [MASK] játszik:2 . [SEP],##ben,jazz violin,0,jazz violin,0,-1.22819
[CLS] Guillermo Marchena:2 [MASK] játszik:2 . [SEP],nem,énekhang:2,0,énekhang:2,0,-2.26769
[CLS] Kyteman:3 [MASK] játszik:2 . [SEP],##ban,trombita:3,0,trombita:3,0,-0.67883
[CLS] Marco Blaauw:4 [MASK] játszik:2 . [SEP],##ben,szárnykürt:5,0,szárnykürt:5,0,-1.49412
[CLS] Eef:2 van Breen:2 [MASK] játszik:2 . [SEP],##ben,szárnykürt:5,0,szárnykürt:5,0,-2.08482
[CLS] Edwin Evers:2 [MASK] játszik:2 . [SEP],##ben,énekhang:2,0,énekhang:2,0,-1.38495
[CLS] Tol Hansse:2 [MASK] játszik:2 . [SEP],##ben,trombita:3,0,trombita:3,0,-1.47646
[CLS] Tessa:2 Boomkamp:2 [MASK] játszik:2 . [SEP],##en,gitár,0,gitár,0,-1.55954
[CLS] Rutger:3 Molenkamp:3 [MASK] játszik:2 . [SEP],##en,szaxofon:4,0,szaxofon:4,0,-1.07806
[CLS] Sieb:2 Warner [MASK] játszik:2 . [SEP],##ben,énekhang:2,0,énekhang:2,0,-1.18419
[CLS] Joost:2 Marsman:2 [MASK] játszik:2 . [SEP],##ban,szaxofon:4,0,szaxofon:4,0,-1.24529
[CLS] Rob van der Loo:2 [MASK] játszik:2 . [SEP],nem,bass,0,bass,0,-1.88448
[CLS] Robert Jan Stips:2 [MASK] [MASK] [MASK] játszik:2 . [SEP],##z -t:2,billentyűs:4 hangszerek:3,0,billentyűs:4 hangszerek:3,0,-2.21853
[CLS] Martijn:2 Bosman:2 [MASK] játszik:2 . [SEP],##ban,énekhang:2,0,énekhang:2,0,-1.23980
[CLS] Carel:2 Copier:2 [MASK] [MASK] játszik:2 . [SEP],-ban:2,énekhang:2,0,énekhang:2,0,-1.59876
[CLS] Martijn:2 Westerholt:3 [MASK] játszik:2 . [SEP],##ban,electronic keyboard,0,electronic keyboard,0,-1.60757
[CLS] Arthur Schoonderwoerd:5 [MASK] játszik:2 . [SEP],##t,zongora:2,0,zongora:2,0,-1.54890
[CLS] Bram:2 van Sambeek:2 [MASK] játszik:2 . [SEP],##ben,fagott:2,0,fagott:2,0,-1.33422
[CLS] Feike:2 van Tuinen:2 [MASK] játszik:2 . [SEP],##ban,kürt:2,0,kürt:2,0,-1.51632
[CLS] Jack Haegens:3 [MASK] játszik:2 . [SEP],##ben,szárnykürt:5,0,szárnykürt:5,0,-0.80812
[CLS] Bas Pollard:2 [MASK] [MASK] játszik:2 . [SEP],-t:2,kürt:2,0,kürt:2,0,-1.67700
[CLS] Nout:2 Ingen Housz:2 [MASK] [MASK] játszik:2 . [SEP],##enban:2,énekhang:2,0,énekhang:2,0,-1.75957
[CLS] Ronald Karten [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . .,fagott:2,0,fagott:2,0,-2.64345
[CLS] Arie van Beek:2 [MASK] játszik:2 . [SEP],##ben,ütőhangszerek:5,0,ütőhangszerek:5,0,-1.18069
[CLS] Tony Vos [MASK] játszik:2 . [SEP],##en,szaxofon:4,0,szaxofon:4,0,-2.24900
[CLS] Teunis:2 van der Zwart:2 [MASK] játszik:2 . [SEP],-,kürt:2,0,kürt:2,0,-1.58934
[CLS] Arjan:2 Brass [MASK] [MASK] játszik:2 . [SEP],##ensban:2,szaxofon:4,0,szaxofon:4,0,-0.41726
[CLS] Dotan:2 [MASK] játszik:2 . [SEP],nem,gitár,0,gitár,0,-0.85264
[CLS] Minco:2 Eggersman:3 [MASK] játszik:2 . [SEP],##ban,énekhang:2,0,énekhang:2,0,-1.58594
