sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Federal Reserve Bank of New York is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of New York,United States of America,0,United States of America,0,-0.88814
[CLS] Long Island Rail Road is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Long Island , Long Island",United States of America,0,United States of America,0,-0.22383
[CLS] Association for Computing Machinery:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of New York,United States of America,0,United States of America,0,-1.39067
[CLS] Iridium:3 Communications is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of San Francisco,United States of America,0,United States of America,0,-1.90912
[CLS] Metropolitan Museum of Art is located in [MASK] [MASK] [MASK] [MASK] . [SEP],the Museum of Art,United States of America,0,United States of America,0,-0.32775
[CLS] Funimation:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Funimation:2,United States of America,0,United States of America,0,-1.90844
[CLS] American Broadcasting Company is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Center of the Arts,United States of America,0,United States of America,0,-1.81559
[CLS] Cisco Systems is located in [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Cisco,United States of America,0,United States of America,0,-1.31011
[CLS] 3M:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of San Francisco,United States of America,0,United States of America,0,-2.14539
[CLS] Alcoa:2 is located in [MASK] [MASK] . [SEP],Alcoa:2,United States of America,0,United States of America,0,-0.67915
[CLS] Boomerang:2 is located in [MASK] [MASK] . [SEP],Boomerang:2,United States of America,0,United States of America,0,-0.90801
[CLS] Cummins:2 is located in [MASK] [MASK] . [SEP],Cummins:2,United States of America,0,United States of America,0,-0.19575
[CLS] Fox Sports is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of New York,United States of America,0,United States of America,0,-1.43207
[CLS] Marvel Comics is located in [MASK] [MASK] [MASK] . [SEP],Green Bowling Green,United States of America,0,United States of America,0,-1.11060
[CLS] Unum:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the north of the town,United States of America,0,United States of America,0,-1.29231
[CLS] Institute of Electrical and Electronics Engineers is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"New York , NY",United States of America,0,United States of America,0,-1.26752
[CLS] Vimeo:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the West of the city,United States of America,0,United States of America,0,-2.15875
[CLS] Cray:2 is located in [MASK] [MASK] . [SEP],Cray:2,United States of America,0,United States of America,0,-0.74064
[CLS] Rockstar:2 Games is located in [MASK] [MASK] [MASK] . [SEP],Rockstar:2 Games,United States of America,0,United States of America,0,-1.04312
[CLS] Rotten Tomatoes is located in [MASK] [MASK] [MASK] . [SEP],the second place,United States of America,0,United States of America,0,-1.58425
[CLS] Baldwin Piano Company is located in [MASK] [MASK] [MASK] . [SEP],"Baldwin , Alabama",United States of America,0,United States of America,0,-1.25949
[CLS] Metro - North Railroad is located in [MASK] [MASK] [MASK] . [SEP],Metro - North,United States of America,0,United States of America,0,-0.79894
[CLS] Pixar:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Pixar:2,United States of America,0,United States of America,0,-1.28218
[CLS] Tripwire:3 Interactive is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of New York,United States of America,0,United States of America,0,-1.55958
[CLS] HRG:2 Group is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of New York,United States of America,0,United States of America,0,-2.10035
[CLS] Zappos:3 is located in [MASK] [MASK] [MASK] . [SEP],Zappos:3,United States of America,0,United States of America,0,-0.15187
[CLS] Skyline:2 Chili is located in [MASK] [MASK] [MASK] . [SEP],Skyline:2 Chili,United States of America,0,United States of America,0,-0.77056
[CLS] Kroger:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the north of the town,United States of America,0,United States of America,0,-1.33961
[CLS] Steinway:2 & Sons is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of New York,Germany,0,Germany,0,-1.74992
[CLS] Mercury Records is located in [MASK] [MASK] [MASK] . [SEP],the Hall Hall,United States of America,0,United States of America,0,-1.25598
[CLS] Pratt & Whitney is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the center of the city,United States of America,0,United States of America,0,-1.38455
[CLS] Kumon:2 is located in [MASK] [MASK] . [SEP],Kumon:2,United States of America,0,United States of America,0,-0.71509
[CLS] ZAP:2 is located in [MASK] [MASK] . [SEP],ZAP:2,United States of America,0,United States of America,0,-0.89378
[CLS] The MIT Press is located in [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,United States of America,0,United States of America,0,-1.40660
[CLS] SurveyMonkey:4 is located in [MASK] [MASK] . [SEP],the town,United States of America,0,United States of America,0,-2.12337
[CLS] AK Steel Holding is located in [MASK] [MASK] [MASK] . [SEP],the building building,United States of America,0,United States of America,0,-2.13567
[CLS] Pepperdine:2 University is located in [MASK] [MASK] . [SEP],Pepperdine:2,United States of America,0,United States of America,0,-0.08225
[CLS] Levi Strauss & Co . is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Levi Strauss,United States of America,0,United States of America,0,-1.18755
[CLS] 2K:2 Sports is located in [MASK] [MASK] . [SEP],the town,United States of America,0,United States of America,0,-1.86809
[CLS] Boston Consulting:3 Group is located in [MASK] . [SEP],Boston,United States of America,0,United States of America,0,-0.03299
[CLS] Coverity:2 is located in [MASK] [MASK] . [SEP],Coverity:2,United States of America,0,United States of America,0,-1.13470
[CLS] Zattoo:3 is located in [MASK] [MASK] [MASK] . [SEP],Zattoo:3,United States of America,0,United States of America,0,-0.33400
[CLS] OneWest:3 Bank is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of New York,United States of America,0,United States of America,0,-1.51576
[CLS] JetBlue:3 Airways is located in [MASK] [MASK] [MASK] . [SEP],the shopping center,United States of America,0,United States of America,0,-1.73183
[CLS] National Geographic Society is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the center of the city,United States of America,0,United States of America,0,-1.23010
[CLS] Massachusetts Bay Transportation Authority is located in [MASK] [MASK] . [SEP],the city,United States of America,0,United States of America,0,-1.57926
[CLS] Gartner:3 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],the County of County,United States of America,0,United States of America,0,-2.11022
[CLS] Smithsonian Institution is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the center of the city,United States of America,0,United States of America,0,-1.51546
[CLS] Duke University is located in [MASK] [MASK] [MASK] . [SEP],"Durham , Duke",United States of America,0,United States of America,0,-0.59149
[CLS] 2K:2 Games is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of the city,United States of America,0,United States of America,0,-2.00937
[CLS] Take - Two Interactive is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of New York,United States of America,0,United States of America,0,-1.47677
[CLS] New York Mercantile:3 Exchange is located in [MASK] [MASK] . [SEP],New York,United States of America,0,United States of America,0,-0.13327
[CLS] Yammer:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the North of the city,United States of America,0,United States of America,0,-2.12868
[CLS] CD - adapco:3 is located in [MASK] [MASK] . [SEP],the village,United States of America,0,United States of America,0,-2.04721
[CLS] San Francisco Chronicle is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"San Francisco , San Francisco",United States of America,0,United States of America,0,-0.24032
[CLS] Electronic Arts is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of New York,United States of America,0,United States of America,0,-1.43725
[CLS] RWE:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of RWE:2,Germany,0,Germany,0,-1.65796
[CLS] Xbox Game Studios is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of New York,United States of America,0,United States of America,0,-1.24181
[CLS] Airgas:2 is located in [MASK] [MASK] . [SEP],Airgas:2,United States of America,0,United States of America,0,-0.96805
[CLS] A & E Networks is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of New York,United States of America,0,United States of America,0,-1.60024
[CLS] HarperCollins is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of New York,United States of America,0,United States of America,0,-1.65782
[CLS] Andrews University is located in [MASK] [MASK] [MASK] . [SEP],Andrews . Andrews,United States of America,0,United States of America,0,-1.02309
[CLS] West Virginia University is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"West Virginia , West Virginia",United States of America,0,United States of America,0,-0.52428
[CLS] Albemarle:3 Corporation is located in [MASK] [MASK] [MASK] . [SEP],Albemarle:3,United States of America,0,United States of America,0,-0.09679
[CLS] Advanced Micro Devices:2 is located in [MASK] [MASK] [MASK] . [SEP],the shopping center,United States of America,0,United States of America,0,-1.88238
[CLS] Turn 10 Studios is located in [MASK] [MASK] . [SEP],Turn 10,United States of America,0,United States of America,0,-0.21156
[CLS] MIT Sloan School of Management is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the center of the city,United States of America,0,United States of America,0,-1.25433
[CLS] Élan:2 Motorsport Technologies is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Élan:2,United States of America,0,United States of America,0,-1.68088
[CLS] United Airlines is located in [MASK] [MASK] [MASK] . [SEP],the shopping center,United States of America,0,United States of America,0,-1.67174
[CLS] Universal Pictures is located in [MASK] [MASK] . [SEP],the city,United States of America,0,United States of America,0,-1.54348
[CLS] New Line Cinema is located in [MASK] [MASK] [MASK] . [SEP],New Line Cinema,United States of America,0,United States of America,0,-0.31757
[CLS] Linden Lab is located in [MASK] [MASK] . [SEP],Linden Lab,United States of America,0,United States of America,0,-0.70845
[CLS] Nintendo Software Technology is located in [MASK] [MASK] [MASK] . [SEP],Nintendo . Nintendo,United States of America,0,United States of America,0,-1.34200
[CLS] Warner Bros . is located in [MASK] [MASK] [MASK] . [SEP],New York City,United States of America,0,United States of America,0,-1.33592
[CLS] Pure Earth is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the North of Pure Earth,United States of America,0,United States of America,0,-1.56478
[CLS] Adscape:3 is located in [MASK] [MASK] [MASK] . [SEP],Adscape:3,United States of America,0,United States of America,0,-0.62211
[CLS] ExxonMobil:4 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the capital of the capital,United States of America,0,United States of America,0,-1.52266
[CLS] Century Media Records is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the City of New York,United States of America,0,United States of America,0,-1.31036
"[CLS] Oakley:2 , Inc . is located in [MASK] [MASK] . [SEP]",Oakley:2,United States of America,0,United States of America,0,-0.50574
[CLS] Mokulele:3 Airlines is located in [MASK] [MASK] [MASK] . [SEP],Mokulele:3,United States of America,0,United States of America,0,-0.17007
[CLS] The Washington Post is located in [MASK] [MASK] . [SEP],the city,United States of America,0,United States of America,0,-1.25299
[CLS] General Motors is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the center of the city,United States of America,0,United States of America,0,-1.54865
[CLS] U . S . Steel is located in [MASK] [MASK] . [SEP],the town,United States of America,0,United States of America,0,-1.54386
[CLS] Schwinn:3 Bicycle:2 Company is located in [MASK] [MASK] [MASK] . [SEP],Schwinn:3,United States of America,0,United States of America,0,-0.11852
