sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.94833
</s> Long</w> Island</w> Rail</w> Road</w> is</w> located</w> in</w> <special1> .</w> </s>,Nebraska</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-2.55281
</s> Association</w> for</w> Comput ing</w> Mach iner y</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> █</w> ⟨</w> ☃</w> ⟩</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-2.63854
</s> Iri dium</w> Communications</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Saudi</w> Lanka</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-2.91108
</s> Metropolitan</w> Museum</w> of</w> Art</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Pesh liya</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-2.77221
</s> Fun im ation</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> ☃</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-2.49263
</s> American</w> Broadcasting</w> Company</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> █</w> ެ ☃</w> »</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-2.67803
</s> Cis co</w> Systems</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> █</w> -------- Tesla</w> »</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-2.85559
</s> 3 M</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> █</w> -------- ☃</w> ҫ</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-2.67171
</s> Al coa</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Micho Pradesh</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-2.37884
