sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> központja</w> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> Building</w>,0,Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> Building</w>,0,-0.04364
</s> Long</w> Island</w> Rail</w> Road</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Jamaica</w>,0,Jamaica</w>,0,-0.02168
</s> Association</w> for</w> Comput ing</w> Mach iner y</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,│</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w>,New</w> York</w>,0,New</w> York</w>,0,-0.22348
</s> Iri dium</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w>,Mc Lean</w>,0,Mc Lean</w>,0,-0.39875
</s> Metropolitan</w> Mű vé szeti</w> Múzeum</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,☃</w> ☃</w> ☃</w> ☃</w> ☃</w> ☃</w> ☃</w>,New</w> York</w>,0,New</w> York</w>,0,-0.39457
</s> Fun im ation</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Cop pell</w>,0,Cop pell</w>,0,-0.25490
</s> American</w> Broadcasting</w> Company</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w>,New</w> York</w>,0,New</w> York</w>,0,-0.03259
</s> Cis co</w> Systems</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w>,San</w> José</w>,0,San</w> José</w>,0,-0.14493
</s> 3 M</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Map le wood</w>,0,Map le wood</w>,0,-0.16356
</s> Al coa</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> vahidində</w>,New</w> York</w>,0,New</w> York</w>,0,-0.24505
</s> Bo omer ang</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w>,Atlanta</w>,0,Atlanta</w>,0,-0.23074
</s> Cum min s</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w>,Columbus</w>,0,Columbus</w>,0,-0.18035
</s> Fox</w> Sports</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w>,Los</w> Angeles</w>,0,Los</w> Angeles</w>,0,-0.02207
</s> Marvel</w> Comics</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,New</w> York</w>,0,New</w> York</w>,0,-0.09653
</s> Un um</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> vahidində</w>,Chat tan o oga</w>,0,Chat tan o oga</w>,0,-0.32452
</s> Institute</w> of</w> Electri cal</w> and</w> Electronics</w> Eng ineers</w> központja</w> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Szé kely</w> Szé kely</w> Egyetemen</w>,Manhattan</w>,0,Manhattan</w>,0,-0.29964
</s> Vim eo</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,New</w> York</w>,0,New</w> York</w>,0,-0.13185
</s> Cra y</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Seattle</w>,0,Seattle</w>,0,-0.27756
</s> Rock star</w> Games</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,New</w> York</w>,0,New</w> York</w>,0,-0.13477
</s> Rotten</w> Tomatoes</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,‹</w> ‹</w> ›</w> ›</w> ›</w> ›</w> ›</w>,San</w> Francisco</w>,0,San</w> Francisco</w>,0,-0.16512
</s> Baldwin</w> Piano</w> Company</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,│</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w>,Trum ann</w>,0,Trum ann</w>,0,-0.20214
</s> Metro - North</w> Railroad</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,New</w> York</w>,0,New</w> York</w>,0,-0.02955
</s> Pix ar</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Emer y ville</w>,0,Emer y ville</w>,0,-0.22683
</s> Tri p wire</w> Interactive</w> központja</w> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,Ros well</w>,0,Ros well</w>,0,-0.28190
</s> HR G</w> Group</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w>,Rochester</w>,0,Rochester</w>,0,-0.21875
</s> Zap pos</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Las</w> Vegas</w>,0,Las</w> Vegas</w>,0,-0.22648
</s> Sk yl ine</w> Chili</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Fair field</w>,0,Fair field</w>,0,-0.25020
</s> Kro ger</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,županije</w> županije</w> županije</w> županije</w> županije</w> županije</w> Horvátor szágban</w>,Cincinnati</w>,0,Cincinnati</w>,0,-0.31427
</s> Stein way</w> &</w> Sons</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Hamburg</w>,0,Hamburg</w>,0,-0.35405
</s> Mercury</w> Records</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,London</w>,0,London</w>,0,-0.19997
</s> Pratt</w> &</w> Whitney</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Kína</w> Kí nában</w> Kí nában</w> Kí nában</w> Kí nában</w>,East</w> Hartford</w>,0,East</w> Hartford</w>,0,-0.70294
</s> Kum on</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w>,Osz aka</w>,0,Osz aka</w>,0,-0.13205
</s> Z AP</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Santa</w> Rosa</w>,0,Santa</w> Rosa</w>,0,-0.24286
</s> The</w> MIT</w> Press</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,☃</w> ☃</w> ☃</w> ☃</w> ☃</w> ☃</w> ☃</w>,Cambridge</w>,0,Cambridge</w>,0,-0.30592
</s> Sur vey Monkey</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Portland</w>,0,Portland</w>,0,-0.26142
</s> AK</w> Steel</w> Holding</w> központja</w> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Szé kes fehér vár</w>,West</w> Chester</w> Township</w>,0,West</w> Chester</w> Township</w>,0,-0.16589
</s> Pep per dine</w> University</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Mali bu</w>,0,Mali bu</w>,0,-0.01717
</s> Levi</w> Strauss</w> &</w> Co.</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w>,San</w> Francisco</w>,0,San</w> Francisco</w>,0,-0.09914
</s> 2 K</w> Sports</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Nov ato</w>,0,Nov ato</w>,0,-0.09379
</s> Boston</w> Con sult ing</w> Group</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w>,Boston</w>,0,Boston</w>,0,-0.16618
</s> Cover ity</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,San</w> Francisco</w>,0,San</w> Francisco</w>,0,-0.14806
</s> Zat too</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Ann</w> Ar bor</w>,0,Ann</w> Ar bor</w>,0,-0.25508
</s> One West</w> Bank</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w>,Pas adena</w>,0,Pas adena</w>,0,-0.04427
</s> Jet Blue</w> Airways</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w>,Long</w> Island</w> City</w>,0,Long</w> Island</w> City</w>,0,-0.22485
</s> National</w> Geographic</w> Society</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Washington</w>,0,Washington</w>,0,-0.32439
