sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Jeremiah:3 Clemens is lid van de [MASK] politieke partij . [SEP],lokale,Democratische:2 Partij,0,Democratische:2 Partij,0,-1.09107
[CLS] Jeremiah:3 Clemens is lid van de [MASK] politieke partij . [SEP],katholieke,Democratische:2 Partij,0,Democratische:2 Partij,0,-2.91402
[CLS] Edith Wilson is lid van de [MASK] politieke partij . [SEP],lokale,Democratische:2 Partij,0,Democratische:2 Partij,0,-1.45617
[CLS] Edith Wilson is lid van de [MASK] politieke partij . [SEP],Britse,Democratische:2 Partij,0,Democratische:2 Partij,0,-2.84669
[CLS] Carly:2 Fiorina:3 is lid van de [MASK] politieke partij . [SEP],lokale,Republikeinse:3 Partij,0,Republikeinse:3 Partij,0,-1.39908
[CLS] Carly:2 Fiorina:3 is lid van de [MASK] politieke partij . [SEP],Italiaanse,Republikeinse:3 Partij,0,Republikeinse:3 Partij,0,-2.21570
[CLS] John A . Carroll is lid van de [MASK] politieke partij . [SEP],lokale,Democratische:2 Partij,0,Democratische:2 Partij,0,-0.61692
[CLS] John A . Carroll is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"de . - - de de een een , de",Democratische:2 Partij,0,Democratische:2 Partij,0,-2.98686
[CLS] June Lockhart:2 is lid van de [MASK] politieke partij . [SEP],lokale,California Republican Party,0,California Republican Party,0,-1.87159
[CLS] June Lockhart:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],". . - - de de een , - de",California Republican Party,0,California Republican Party,0,-2.89276
[CLS] Charles Anderson is lid van de [MASK] politieke partij . [SEP],lokale,Republikeinse:3 Partij,0,Republikeinse:3 Partij,0,-1.20936
[CLS] Charles Anderson is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"de . - - de de de , - de",Republikeinse:3 Partij,0,Republikeinse:3 Partij,0,-2.80175
[CLS] Oakley:2 C . Curtis is lid van de [MASK] politieke partij . [SEP],lokale,Democratische:2 Partij,0,Democratische:2 Partij,0,-0.68061
[CLS] Oakley:2 C . Curtis is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],". . ( - de een een een , de",Democratische:2 Partij,0,Democratische:2 Partij,0,-3.02561
"[CLS] John R . McKernan:5 , Jr . is lid van de [MASK] politieke partij . [SEP]",lokale,Republikeinse:3 Partij,0,Republikeinse:3 Partij,0,-0.60539
