sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Het</w> hoofd kantoor</w> van</w> Müller</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Kral endi jk</w>,Ulm</w>,0,Ulm</w>,0,-0.69347
</s> Het</w> hoofd kantoor</w> van</w> Vod af one</w> Hungary</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Nagy- Német új vár</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-0.56428
</s> Het</w> hoofd kantoor</w> van</w> Tis za</w> Vol án</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Liptov ský</w> Mikuláš</w>,Szeged</w>,0,Szeged</w>,0,-0.40174
</s> Het</w> hoofd kantoor</w> van</w> V asi</w> Vol án</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Mari anu ská</w> Ves</w>,Szom bat hely</w>,0,Szom bat hely</w>,0,-0.53134
</s> Het</w> hoofd kantoor</w> van</w> Bal abit</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Pots damer</w> Platz</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-1.32235
</s> Het</w> hoofd kantoor</w> van</w> Só ly om</w> Hungarian</w> Airways</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Kec skem ét</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-0.68744
</s> Het</w> hoofd kantoor</w> van</w> Em fes z</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Rain ier- kirch</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-1.04858
</s> Het</w> hoofd kantoor</w> van</w> i Glu e</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Lufth ancourt</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-1.09321
</s> Het</w> hoofd kantoor</w> van</w> Sz abad</w> F öld</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Klag Klag urt</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-0.20564
</s> Het</w> hoofd kantoor</w> van</w> TAR R</w> staat</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Gjirokast ër</w> hlavní</w> nádraží</w> nádraží</w>,Sz ek szár d</w>,0,Sz ek szár d</w>,0,-1.04552
</s> Het</w> hoofd kantoor</w> van</w> D una</w> Mé dia</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Sao</w> Tomé</w> Stad</w>,District</w> III</w>,0,District</w> III</w>,0,-0.70208
</s> Het</w> hoofd kantoor</w> van</w> ABC</w> Air</w> Hungary</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Szé kes fehér vár</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-0.41445
</s> Het</w> hoofd kantoor</w> van</w> Gravit y</w> R</w> &</w> D</w> staat</w> in</w> <special1> <special1> .</w> </s>,Abu</w> Dhabi</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-1.02643
