sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Írók:3 Boltja:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],: Író:2 központjában:3,Budapest,0,Budapest,0,-0.97750
[CLS] Könyvudvar:4 központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],a Könyvtár:3,Budapest,0,Budapest,0,-1.11385
[CLS] Müller központja:3 [MASK] [MASK] [MASK] található . [SEP],Müller városában:2,Ulm,0,Ulm,0,-1.21306
[CLS] Vodafone:2 Magyarország központja:3 [MASK] [MASK] található . [SEP],", itt",Budapest,0,Budapest,0,-1.34953
[CLS] Tisza:2 Volán:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a - a - a városában:2,Szeged,0,Szeged,0,-1.07730
[CLS] Vasi:2 Volán:2 központja:3 [MASK] [MASK] található . [SEP],a városban,Szombathely:4,0,Szombathely:4,0,-1.28072
[CLS] BalaBit:3 IT Security központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-0.61259
[CLS] Sólyom:3 Hungarian Airways központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Sólyom:3 városában:2,Budapest,0,Budapest,0,-1.15356
[CLS] Emfesz:3 központja:3 [MASK] [MASK] található . [SEP],a városban,Budapest,0,Budapest,0,-0.80271
[CLS] iGlue:3 központja:3 [MASK] [MASK] [MASK] található . [SEP],a városában:2,Budapest,0,Budapest,0,-1.42955
[CLS] Szabad:3 Föld:2 központja:3 [MASK] [MASK] található . [SEP],városában:2,Budapest,0,Budapest,0,-1.59426
[CLS] Tarr:2 Kft:2 . központja:3 [MASK] [MASK] [MASK] található . [SEP],Tarrában:3,Szekszárd:4,0,Szekszárd:4,0,-0.93542
[CLS] Duna Médiaszolgáltató:7 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Duna Dunaában:2 Duna Duna Duna Duna Dunaában:2,Budapest III . kerülete:2,0,Budapest III . kerülete:2,0,-0.99668
[CLS] ABC Air Hungary központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.18573
[CLS] Gravity R & D központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-0.68628
[CLS] Győri:2 Keksz:3 Kft:2 . központja:3 [MASK] [MASK] található . [SEP],Győrben:2,Székesfehérvár:7,0,Székesfehérvár:7,0,-0.58581
[CLS] MFS:2 2000 Zrt:2 . központja:3 [MASK] található . [SEP],is,Sirok:2,0,Sirok:2,0,-1.16512
[CLS] SDI:2 Media Hungary központja:3 [MASK] [MASK] található . [SEP],Magyarországon is,Budapest,0,Budapest,0,-1.37793
[CLS] Szerencsejáték:7 Zrt:2 . központja:3 [MASK] [MASK] [MASK] található . [SEP],Debrecen városában:2,Budapest,0,Budapest,0,-1.32519
[CLS] SPI:2 International Poland központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-0.54204
[CLS] ExperiDance:4 Tánctársulat:5 központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.36912
[CLS] Neo Interactive központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.63522
[CLS] Szent István Társulat:3 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a város belvárosban:3,Budapest V . kerülete:2,0,Budapest V . kerülete:2,0,-1.10569
[CLS] Cirko:2 Film központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.04106
[CLS] Mozinet:3 központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.71331
[CLS] PannonPharma:5 ( Hungary ) központja:3 [MASK] [MASK] található . [SEP],Szegeden:2,Budakalász:3,0,Budakalász:3,0,-0.93346
[CLS] Sager:2 Pharma:2 ( Hungary ) központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.38143
[CLS] Search - Lab ( Hungary ) központja:3 [MASK] [MASK] található . [SEP],Szegeden:2,Budapest,0,Budapest,0,-0.83926
[CLS] Financial Research ( Hungary ) központja:3 [MASK] [MASK] [MASK] található . [SEP],Pápán:3,Budapest,0,Budapest,0,-0.72904
[CLS] BorsodChem:5 központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],már már már már,Kazincbarcika:5,0,Kazincbarcika:5,0,-0.89177
[CLS] Cinema City Magyarország központja:3 [MASK] [MASK] [MASK] található . [SEP],", Cinema City",Budapest,0,Budapest,0,-1.20207
[CLS] Waberer:3 ' s International Zrt:2 . központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-0.71315
[CLS] Balatonboglári:5 Borgazdasági:4 Zrt:2 . központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Balatonboglára:5,Balatonboglár:5,0,Balatonboglár:5,0,-0.32980
[CLS] ArrivaBus:4 központja:3 [MASK] [MASK] található . [SEP],a városban,Székesfehérvár:7,0,Székesfehérvár:7,0,-0.99268
[CLS] Geonardo:3 ( Hungary ) központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.32539
[CLS] Transman:2 Consulting:3 for Transport System Management központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-0.77180
[CLS] 3R:2 Agrocarbon:4 ( Hungary ) központja:3 [MASK] [MASK] található . [SEP],Szegeden:2,Budapest,0,Budapest,0,-0.85684
[CLS] Kortárs:3 Könyvkiadói:4 ( Hungary ) központja:3 [MASK] [MASK] [MASK] található . [SEP],Budapest városában:2,Budapest,0,Budapest,0,-1.34875
[CLS] Nap:2 Kiadó ( Hungary ) központja:3 [MASK] [MASK] [MASK] található . [SEP],Pápán:3,Budapest,0,Budapest,0,-0.62879
[CLS] ProVideo:4 központja:3 [MASK] található . [SEP],is,Budapest XIII . kerülete:2,0,Budapest XIII . kerülete:2,0,-1.48607
[CLS] Central European University Press központja:3 [MASK] [MASK] [MASK] található . [SEP],Pápán:3,Budapest,0,Budapest,0,-0.58830
[CLS] K & H Bank központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.36466
[CLS] Világgazdaság:5 központja:3 [MASK] [MASK] található . [SEP],a városban,Budapest,0,Budapest,0,-1.01247
[CLS] MOKÉP:4 központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],a fővárosban:3,Budapest,0,Budapest,0,-0.74732
[CLS] N - Gene ( Hungary ) központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],N - Gene ( központ:2 ),Budapest,0,Budapest,0,-1.22872
[CLS] Budapest Film központja:3 [MASK] [MASK] [MASK] található . [SEP],Budapest városában:2,Budapest,0,Budapest,0,-0.92861
[CLS] Lukács:3 és Társa:2 ( Hungary ) központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Lu Luc:2 Társa:2,Iharosberény:5,0,Iharosberény:5,0,-0.30331
[CLS] MFKK:3 Invention:2 and Research Center Services ( Hungary ) központja:3 [MASK] [MASK] található . [SEP],Szegeden:2,Budapest,0,Budapest,0,-0.65285
[CLS] Szilikát:3 és Kerámia:3 Anyagkutató:4 és Fejlesztő:4 Kft:2 . központja:3 [MASK] [MASK] található . [SEP],Szegeden:2,Budapest,0,Budapest,0,-0.88939
[CLS] ASL:2 Airlines Hungary központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-0.76453
[CLS] MOL:2 Petrolkémia:4 Zrt:2 . központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],a városvárosában:3,Tiszaújváros:5,0,Tiszaújváros:5,0,-1.32128
[CLS] Szegedi:2 Közlekedési:5 Társaság központja:3 [MASK] [MASK] [MASK] található . [SEP],Szeged Szegeden:2,Szeged,0,Szeged,0,-0.11834
[CLS] Borsodi:3 Sörgyár:4 Kft:2 . központja:3 [MASK] [MASK] található . [SEP],Debrecenben:2,Bőcs:3,0,Bőcs:3,0,-0.86155
[CLS] Gaijin:3 Entertainment központja:3 [MASK] [MASK] található . [SEP],a városban,Budapest,0,Budapest,0,-1.01280
[CLS] Vertigo:2 Média:2 központja:3 [MASK] található . [SEP],is,Pilisvörösvár:6,0,Pilisvörösvár:6,0,-1.49212
[CLS] Enviroinvest:4 Environmental and Biotechnological:3 Corp központja:3 [MASK] található . [SEP],is,Pécs:2,0,Pécs:2,0,-0.71863
[CLS] Vichem:2 Chemie ( Hungary ) központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-0.72818
[CLS] Magyarhoni:3 Földtani:3 Társulat:3 központja:3 [MASK] [MASK] található . [SEP],Magyarhon:2,Budapest,0,Budapest,0,-0.32326
[CLS] Filmservice:3 központja:3 [MASK] található . [SEP],is,Budapest II . kerülete:2,0,Budapest II . kerülete:2,0,-1.02558
[CLS] Inforg:2 - M & M Film központja:3 [MASK] található . [SEP],itt,Budapest,0,Budapest,0,-0.62016
[CLS] Auto Rad Controlle:2 Kft:2 . központja:3 [MASK] található . [SEP],is,Szigethalom:5,0,Szigethalom:5,0,-0.78229
[CLS] Varga Stúdió:3 központja:3 [MASK] [MASK] található . [SEP],Szegeden:2,Budapest,0,Budapest,0,-1.14278
[CLS] Big Bang Media központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.28532
[CLS] Innomed:3 Medical központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.17762
[CLS] CityLine:3 Hungary központja:3 [MASK] [MASK] [MASK] található . [SEP],", Budapest ben",Vecsés:3,0,Vecsés:3,0,-1.56787
[CLS] MOLTRADE:5 - Mineralimpex:4 központja:3 [MASK] [MASK] található . [SEP],a városban,Budapest,0,Budapest,0,-0.80127
[CLS] Corvinno:3 Technology Transfer központja:3 [MASK] [MASK] található . [SEP],a városban,Budapest,0,Budapest,0,-0.60136
[CLS] Argumentum:4 Kiadó ( Hungary ) központja:3 [MASK] [MASK] található . [SEP],Szegeden:2,Budapest,0,Budapest,0,-0.82095
[CLS] ProDSP:3 Technologies ( Hungary ) központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-1.09003
[CLS] Meditop:2 ( Hungary ) központja:3 [MASK] [MASK] található . [SEP],Meditop:2,Pilisborosjenő:5,0,Pilisborosjenő:5,0,-0.66858
[CLS] FumoPrep:5 ( Hungary ) központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],",moProppában:6",Budapest,0,Budapest,0,-1.83443
