sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Candy</w> Dul fer</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,alt sax of oon</w>,0,alt sax of oon</w>,0,-0.48634
</s> Adri anus</w> Cornelis</w> van</w> Leeu wen</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♠</w> ♠</w> ♠</w> ♣</w>,bu gel</w>,0,bu gel</w>,0,-1.25464
</s> Hans</w> Dul fer</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♘</w> d4</w> d5</w> c6</w>,ten or sax of oon</w>,0,ten or sax of oon</w>,0,-0.93793
</s> Max</w> Werner</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> ♖</w> ♕</w> ♕</w> c4</w>,stem</w>,0,stem</w>,0,-0.91511
</s> Hans</w> The es sin k</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,c4</w> syne</w> c4</w> c4</w>,git aar</w>,0,git aar</w>,0,-0.77735
</s> Ac k</w> van</w> Ro oyen</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,bu gel</w>,0,bu gel</w>,0,-0.86198
</s> Theo</w> Lo even die</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,Won</w> Won</w> Won</w> Won</w>,sax of oon</w>,0,sax of oon</w>,0,-0.59201
</s> Jan</w> Ingen hoven</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> █</w> █</w> █</w>,piano</w>,0,piano</w>,0,-1.03622
</s> Igor</w> Pres ny akov</w> speelt</w> <special1> <special1> <special1> .</w> </s>,♖</w> ♘</w> ♘</w>,git aar</w>,0,git aar</w>,0,-1.00882
</s> Benjamin</w> Herman</w> speelt</w> <special1> <special1> .</w> </s>,♕</w> ♘</w>,sax of oon</w>,0,sax of oon</w>,0,-0.88142
</s> Jozef</w> van</w> Wis sem</w> speelt</w> <special1> <special1> .</w> </s>,onderstaande</w> personen</w>,luit</w>,0,luit</w>,0,-1.20887
</s> Jan</w> Ak ker man</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♣</w> ♣</w>,git aar</w>,0,git aar</w>,0,-1.06468
</s> Ellen</w> Hel mus</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,toet sin str ument</w>,0,toet sin str ument</w>,0,-0.45753
</s> Th ijs</w> van</w> Le er</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,toerno toerno toerno oien</w>,orgel</w>,0,orgel</w>,0,-1.49745
</s> Fried mar</w> H itzer</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> Deutscher</w> Pokal</w>,jaz zvi ool</w>,0,jaz zvi ool</w>,0,-0.48990
</s> Guillermo</w> March ena</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,stem</w>,0,stem</w>,0,-0.17655
</s> Ky teman</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♣</w> ♣</w> ♣</w> ♣</w> ♣</w>,tromp et</w>,0,tromp et</w>,0,-0.69233
</s> Marco</w> Bla au w</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,bu gel</w>,0,bu gel</w>,0,-1.02766
</s> E ef</w> van</w> Bre en</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,Won</w> Won</w> Won</w> Won</w>,bu gel</w>,0,bu gel</w>,0,-0.75549
</s> Edwin</w> E vers</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,Ⅹ Ⅹ Ⅹ Ⅹ</w>,stem</w>,0,stem</w>,0,-0.96111
</s> T ol</w> Han sse</w> speelt</w> <special1> <special1> <special1> .</w> </s>,Ⅹ Ⅹ Ⅹ</w>,tromp et</w>,0,tromp et</w>,0,-0.58118
</s> T essa</w> Bo om kamp</w> speelt</w> <special1> <special1> .</w> </s>,♀</w> ♂</w>,git aar</w>,0,git aar</w>,0,-0.66027
</s> Rut ger</w> Mol en kamp</w> speelt</w> <special1> <special1> <special1> .</w> </s>,│</w> ▼</w> ▼</w>,sax of oon</w>,0,sax of oon</w>,0,-1.30910
</s> Si eb</w> Warner</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,│</w> █</w> │</w> │</w>,stem</w>,0,stem</w>,0,-0.76595
</s> Jo ost</w> Mar sman</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,Groot</w> Challenge</w> ♦</w> ♦</w>,sax of oon</w>,0,sax of oon</w>,0,-1.25699
</s> Rob</w> van</w> der</w> Lo o</w> speelt</w> <special1> <special1> .</w> </s>,dubbel spel</w>,bas instrument</w>,0,bas instrument</w>,0,-0.93761
</s> Robert</w> Jan</w> Sti ps</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,toet sin str ument</w>,0,toet sin str ument</w>,0,-0.71105
</s> Mar tij n</w> Bos man</w> speelt</w> <special1> <special1> .</w> </s>,dubbel spel</w>,stem</w>,0,stem</w>,0,-1.09586
</s> Car el</w> Cop ier</w> speelt</w> <special1> <special1> <special1> .</w> </s>,Ⅹ Ⅹ Ⅹ</w>,stem</w>,0,stem</w>,0,-0.75871
</s> Mar tij n</w> Wester holt</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,Won</w> Won</w> Won</w> Won</w>,keyboard</w>,0,keyboard</w>,0,-0.76370
</s> Arthur</w> Scho onder wo erd</w> speelt</w> <special1> <special1> .</w> </s>,♘</w> ♘</w>,piano</w>,0,piano</w>,0,-0.57696
