sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Vac an sol eil</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pyrénées- Pyrénées- Pyrénées- Pyrénées- Orientales</w>,Nederland</w>,0,Nederland</w>,0,-0.76501
</s> K LM</w> Cit yh opper</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> .</w> </s>,Københavns</w> Lufth avn</w>,Nederland</w>,0,Nederland</w>,0,-1.15868
</s> CO V RA</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Nederland</w>,0,Nederland</w>,0,-0.55165
</s> Cor endon</w> Dutch</w> Airlines</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Nederland</w>,0,Nederland</w>,0,-0.35649
</s> Dou we</w> Eg ber ts</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,konin kli jke</w> boom</w>,Nederland</w>,0,Nederland</w>,0,-1.43459
</s> Jan</w> van</w> den</w> He uv el</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> .</w> </s>,Sint- Nik laas</w>,Nederland</w>,0,Nederland</w>,0,-0.42503
</s> Stor k</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> .</w> </s>,Noord- Sønder jylland</w>,Nederland</w>,0,Nederland</w>,0,-0.85286
</s> Eyes</w> +</w> more</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Duitsland</w>,0,Duitsland</w>,0,-0.74039
</s> Roch dale</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,graafschap</w> graafschap</w> graafschap</w> graafschap</w>,Nederland</w>,0,Nederland</w>,0,-0.59830
</s> EH MA</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Nederland</w>,0,Nederland</w>,0,-0.52463
</s> Po dium</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Nederland</w>,0,Nederland</w>,0,-0.43679
</s> Nederland sche</w> Elec trol as ch</w> Ma atsch appij</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Bill ancourt</w>,Nederland</w>,0,Nederland</w>,0,-0.58847
</s> Gem alto</w> bevindt</w> zich</w> in</w> <special1> <special1> .</w> </s>,Zwit serland</w>,Nederland</w>,0,Nederland</w>,0,-0.58384
</s> VE ON</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Verenig d</w> Koninkrijk</w>,0,Verenig d</w> Koninkrijk</w>,0,-0.69391
</s> Hit achi</w> Construction</w> Mach iner y</w> Europe</w> N V</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Bill ancourt</w>,Nederland</w>,0,Nederland</w>,0,-0.21550
</s> Fair</w> We ar</w> Foundation</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ެ ވ ެ ށ ި</w>,Nederland</w>,0,Nederland</w>,0,-1.17617
</s> K oni</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> .</w> </s>,KwaZ ulu- Natal</w>,Nederland</w>,0,Nederland</w>,0,-0.92419
</s> Koninkli jk</w> Wis kun dig</w> Gen oot schap</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Ons</w> Koninkli jk</w> Bes luit</w>,Nederland</w>,0,Nederland</w>,0,-0.70486
</s> Haj enius</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Nederland</w>,0,Nederland</w>,0,-0.40911
</s> Albert</w> He ijn</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Nederland</w>,0,Nederland</w>,0,-0.61461
</s> Aud ax</w> holding</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Nederland</w>,0,Nederland</w>,0,-1.04144
</s> Rad ar soft</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Nederland</w>,0,Nederland</w>,0,-0.44722
</s> Kl ene</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,avn</w> avn</w> avn</w> avn</w> avn</w>,Nederland</w>,0,Nederland</w>,0,-0.75950
</s> Mam moet</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Nederland</w>,0,Nederland</w>,0,-0.81555
</s> Strukt on</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Nederland</w>,0,Nederland</w>,0,-0.72364
</s> J. B.</w> Wol ters</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Nederland</w>,0,Nederland</w>,0,-0.87633
</s> S ikk ens</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Sú dw est- Fryslân</w>,Nederland</w>,0,Nederland</w>,0,-0.84942
</s> Algem ene</w> Kunst zijde</w> Unie</w> bevindt</w> zich</w> in</w> <special1> <special1> .</w> </s>,Zwit serland</w>,Koninkrijk</w> der</w> Nederland en</w>,0,Koninkrijk</w> der</w> Nederland en</w>,0,-0.98206
</s> EX OR</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Italië</w>,0,Italië</w>,0,-0.61078
</s> En eco</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Nederland</w>,0,Nederland</w>,0,-0.39637
</s> Nederlands</w> Instituut</w> voor</w> Be eld</w> en</w> Gel uid</w> bevindt</w> zich</w> in</w> <special1> <special1> .</w> </s>,Nij megen</w>,Nederland</w>,0,Nederland</w>,0,-0.32232
</s> u Shi p</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Midd ell andse</w> Zee</w>,Nederland</w>,0,Nederland</w>,0,-0.94933
</s> NR C</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Nederland</w>,0,Nederland</w>,0,-0.65858
</s> Wag en borg</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> .</w> </s>,Sønder hald</w> Herred</w>,Nederland</w>,0,Nederland</w>,0,-0.53272
