sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] The headquarter:3 of Müller is in [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Müller,Ulm,0,Ulm,0,-1.59293
[CLS] The headquarter:3 of Vodafone:2 Hungary is in [MASK] [MASK] [MASK] . [SEP],Vodafone:2 Hungary,Budapest,0,Budapest,0,-0.51890
[CLS] The headquarter:3 of Tisza:2 Volán:2 is in [MASK] [MASK] [MASK] [MASK] . [SEP],Tisza:2 Volán:2,Szeged,0,Szeged,0,-0.08407
[CLS] The headquarter:3 of Vasi:2 Volán:2 is in [MASK] [MASK] [MASK] [MASK] . [SEP],Vasi:2 Volán:2,Szombathely:4,0,Szombathely:4,0,-0.08630
[CLS] The headquarter:3 of Balabit:2 is in [MASK] [MASK] . [SEP],Balabit:2,Budapest,0,Budapest,0,-0.32589
[CLS] The headquarter:3 of Sólyom:3 Hungarian Airways is in [MASK] [MASK] [MASK] . [SEP],Sólyom:3,Budapest,0,Budapest,0,-0.11558
[CLS] The headquarter:3 of Emfesz:3 is in [MASK] [MASK] . [SEP],the city,Budapest,0,Budapest,0,-1.66015
[CLS] The headquarter:3 of iGlue:3 is in [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Tokyo,Budapest,0,Budapest,0,-2.29959
[CLS] The headquarter:3 of Szabad:3 Föld:2 is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Szabad:3 Föld:2,Budapest,0,Budapest,0,-0.09001
[CLS] The headquarter:3 of TARR:3 is in [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Dhaka,Szekszárd:4,0,Szekszárd:4,0,-1.92644
[CLS] The headquarter:3 of Duna Média:2 is in [MASK] [MASK] [MASK] . [SEP],Duna Média:2,Budapest District III,0,Budapest District III,0,-0.73601
[CLS] The headquarter:3 of ABC Air Hungary is in [MASK] . [SEP],Budapest,Budapest,1,Budapest,1,-0.77735
[CLS] The headquarter:3 of Gravity R & D is in [MASK] [MASK] . [SEP],New York,Budapest,0,Budapest,0,-1.92715
[CLS] The headquarter:3 of Győri:2 Keksz:3 is in [MASK] . [SEP],Győr,Székesfehérvár:7,0,Székesfehérvár:7,0,-0.05138
[CLS] The headquarter:3 of MFS:2 2000 Inc is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of the city,Sirok:2,0,Sirok:2,0,-2.37076
[CLS] The headquarter:3 of SDI:2 Media Hungary is in [MASK] [MASK] [MASK] [MASK] . [SEP],SDI:2 Media Hungary,Budapest,0,Budapest,0,-0.53932
[CLS] The headquarter:3 of Szerencsejáték:7 Zrt:2 . is in [MASK] [MASK] [MASK] [MASK] . [SEP],Szerencs:4,Budapest,0,Budapest,0,-0.29799
[CLS] The headquarter:3 of SPI:2 International Poland is in [MASK] . [SEP],Poland,Budapest,0,Budapest,0,-0.89926
[CLS] The headquarter:3 of ExperiDance:4 Production is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the city of the city,Budapest,0,Budapest,0,-2.37366
[CLS] The headquarter:3 of St . Stephen Association is in [MASK] [MASK] [MASK] . [SEP],St . Stephen,Budapest District V,0,Budapest District V,0,-0.84430
[CLS] The headquarter:3 of Cirko:2 Film is in [MASK] [MASK] [MASK] . [SEP],S . S,Budapest,0,Budapest,0,-1.73308
[CLS] The headquarter:3 of Mozinet:3 is in [MASK] [MASK] [MASK] . [SEP],Mozinet:3,Budapest,0,Budapest,0,-0.41173
[CLS] The headquarter:3 of PannonPharma:5 ( Hungary ) is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],PannonPharma:5,Budakalász:3,0,Budakalász:3,0,-0.18969
[CLS] The headquarter:3 of Sager:2 Pharma:2 ( Hungary ) is in [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Budapest,Budapest,0,Budapest,0,-1.23731
[CLS] The headquarter:3 of Search - Lab ( Hungary ) is in [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Budapest,Budapest,0,Budapest,0,-1.22649
[CLS] The headquarter:3 of Financial Research ( Hungary ) is in [MASK] . [SEP],Budapest,Budapest,1,Budapest,1,-0.47863
[CLS] The headquarter:3 of BorsodChem:5 is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],BorsodChem:5,Kazincbarcika:5,0,Kazincbarcika:5,0,-0.08284
[CLS] The headquarter:3 of Cinema City Hungary is in [MASK] [MASK] [MASK] . [SEP],Cinema City Hungary,Budapest,0,Budapest,0,-0.20125
