sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Beugró:3 werd oorspronkelijk uitgezonden op [MASK] . [SEP],RTL,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.52601
[CLS] Beugró:3 werd oorspronkelijk uitgezonden op [MASK] . [SEP],tv,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-2.48091
[CLS] Napoléon werd oorspronkelijk uitgezonden op [MASK] . [SEP],RTL,France 2,0,France 2,0,-1.68293
[CLS] Napoléon werd oorspronkelijk uitgezonden op [MASK] . [SEP],tv,France 2,0,France 2,0,-2.48396
[CLS] Szomszédok:5 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . . .,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.83269
[CLS] Szomszédok:5 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],de - 4,Magyar Televízió:4,0,Magyar Televízió:4,0,-2.81181
[CLS] Gustav werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.69493
[CLS] Gustav werd oorspronkelijk uitgezonden op [MASK] . [SEP],Nickelodeon,Magyar Televízió:4,0,Magyar Televízió:4,0,-2.30880
"[CLS] Magyarország , szeretlek:3 ! werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",de . . . . . . . . .,M1,0,M1,0,-1.87852
"[CLS] Magyarország , szeretlek:3 ! werd oorspronkelijk uitgezonden op [MASK] . [SEP]",tv,M1,0,M1,0,-2.58493
[CLS] Mindenből:2 egy van werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . . . . . . . . .,M1,0,M1,0,-1.96958
[CLS] Mindenből:2 egy van werd oorspronkelijk uitgezonden op [MASK] . [SEP],TBS,M1,0,M1,0,-2.81783
[CLS] Work Matters:2 werd oorspronkelijk uitgezonden op [MASK] . [SEP],CBS,M1,0,M1,0,-1.28768
[CLS] Work Matters:2 werd oorspronkelijk uitgezonden op [MASK] . [SEP],NBC,M1,0,M1,0,-2.39394
[CLS] Panoráma:3 werd oorspronkelijk uitgezonden op [MASK] . [SEP],tv,M1,0,M1,0,-2.05095
[CLS] Panoráma:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],". - . , . . de HD",M1,0,M1,0,-2.77547
[CLS] Táncdalfesztivál:7 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . . . . . . . .k:2,Magyar Televízió:4,0,Magyar Televízió:4,0,-2.24356
[CLS] Táncdalfesztivál:7 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"S , , , de de de de de .",Magyar Televízió:4,0,Magyar Televízió:4,0,-2.83103
[CLS] Vidám:2 Vasárnap:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . . . . . . . . .,ATV,0,ATV,0,-1.88650
[CLS] Vidám:2 Vasárnap:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , , , de . de de HD",ATV,0,ATV,0,-2.60163
[CLS] Meister Eder:2 und sein Pumuckl:4 werd oorspronkelijk uitgezonden op [MASK] . [SEP],RTL,BR Fernsehen,0,BR Fernsehen,0,-1.58093
[CLS] Meister Eder:2 und sein Pumuckl:4 werd oorspronkelijk uitgezonden op [MASK] . [SEP],ZDF,BR Fernsehen,0,BR Fernsehen,0,-2.15860
[CLS] The Pillars:3 of the Earth werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . . .,The Movie Network,0,The Movie Network,0,-1.93790
[CLS] The Pillars:3 of the Earth werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de - , , , de de de de HD",The Movie Network,0,The Movie Network,0,-2.67547
[CLS] Barátok:3 közt werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . . .,RTL KLUB:3,0,RTL KLUB:3,0,-1.76172
[CLS] Barátok:3 közt werd oorspronkelijk uitgezonden op [MASK] . [SEP],tv,RTL KLUB:3,0,RTL KLUB:3,0,-2.77148
[CLS] Csillag:3 születik:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . . .,RTL KLUB:3,0,RTL KLUB:3,0,-1.59024
[CLS] Csillag:3 születik:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , , , de de de de HD",RTL KLUB:3,0,RTL KLUB:3,0,-2.76043
[CLS] Citizen X werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . .,Home Box Office,0,Home Box Office,0,-1.67394
[CLS] Citizen X werd oorspronkelijk uitgezonden op [MASK] . [SEP],Nickelodeon,Home Box Office,0,Home Box Office,0,-2.67736
[CLS] Megasztár:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . . .,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.81654
[CLS] Megasztár:3 werd oorspronkelijk uitgezonden op [MASK] . [SEP],tv,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.98795
[CLS] X - Faktor:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . . .,RTL KLUB:3,0,RTL KLUB:3,0,-1.81209
[CLS] X - Faktor:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],". - , , de . de de HD",RTL KLUB:3,0,RTL KLUB:3,0,-2.61612
[CLS] Rasputin:3 : Dark Servant:2 of Destiny werd oorspronkelijk uitgezonden op [MASK] . [SEP],Nickelodeon,Home Box Office,0,Home Box Office,0,-1.61936
[CLS] Rasputin:3 : Dark Servant:2 of Destiny werd oorspronkelijk uitgezonden op [MASK] . [SEP],Netflix,Home Box Office,0,Home Box Office,0,-2.23723
[CLS] Shot Through the Heart werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . . . . . . . . .,Home Box Office,0,Home Box Office,0,-1.74371
[CLS] Shot Through the Heart werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],". - , , de . . de HD",Home Box Office,0,Home Box Office,0,-2.63398
[CLS] I ragazzi della via Pal werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],la . . . . . . . . .,Canale 5,0,Canale 5,0,-1.98858
[CLS] I ragazzi della via Pal werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],". , . , , de de deo:2",Canale 5,0,Canale 5,0,-2.79716
[CLS] Balázs show werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . . .,RTL KLUB:3,0,RTL KLUB:3,0,-1.51077
[CLS] Balázs show werd oorspronkelijk uitgezonden op [MASK] . [SEP],tv,RTL KLUB:3,0,RTL KLUB:3,0,-2.19621
