sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] DC Cupcakes:3 was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,TLC:2,0,TLC:2,0,-1.06641
[CLS] Doña Bella was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,RCN:2 TV,0,RCN:2 TV,0,-1.00860
[CLS] American Hot Rod was originally aired on [MASK] [MASK] [MASK] . [SEP],American Hot Rod,TLC:2,0,TLC:2,0,-0.62900
[CLS] Miami Ink:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],Miami Ink:2,TLC:2,0,TLC:2,0,-0.69631
[CLS] Who Do You Think You Are ? was originally aired on [MASK] [MASK] [MASK] . [SEP],the Seven Network,TLC:2,0,TLC:2,0,-1.61667
[CLS] LA Ink:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],LA Ink:2,TLC:2,0,TLC:2,0,-0.37098
[CLS] Peep:2 and the Big Wide World was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,PBS Kids,0,PBS Kids,0,-1.41116
[CLS] Nitro:2 Circus was originally aired on [MASK] [MASK] [MASK] . [SEP],Nitro:2 Circus,MTV2:2 Pop,0,MTV2:2 Pop,0,-0.87157
[CLS] Medical Detectives:2 was originally aired on [MASK] . [SEP],NBC,TLC:2,0,TLC:2,0,-1.90060
[CLS] El amor no tiene precio was originally aired on [MASK] [MASK] [MASK] . [SEP],the cable network,Las Estrellas:2,0,Las Estrellas:2,0,-1.97032
[CLS] Overhaulin:3 ' was originally aired on [MASK] [MASK] [MASK] . [SEP],the Seven Network,TLC:2,0,TLC:2,0,-1.69799
[CLS] The Little Couple:3 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Seven Network,TLC:2,0,TLC:2,0,-1.68998
[CLS] Sister Wives:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,TLC:2,0,TLC:2,0,-0.96485
[CLS] Cake:2 Boss was originally aired on [MASK] [MASK] [MASK] . [SEP],CBS Nick Jr,TLC:2,0,TLC:2,0,-2.05739
[CLS] Here Comes Honey Boo Boo was originally aired on [MASK] [MASK] [MASK] . [SEP],the Cartoon Network,TLC:2,0,TLC:2,0,-1.62241
