sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Candy</w> Dul fer</w> speelt</w> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w>,alt sax of oon</w>,0,alt sax of oon</w>,0,-0.77399
</s> Adri anus</w> Cornelis</w> van</w> Leeu wen</w> speelt</w> <special1> <special1> <special1> .</w> </s>,geen</w> toerno oien</w>,bu gel</w>,0,bu gel</w>,0,-1.15924
</s> Hans</w> Dul fer</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> Ⅹ</w>,ten or sax of oon</w>,0,ten or sax of oon</w>,0,-0.87856
</s> Max</w> Werner</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> │</w>,stem</w>,0,stem</w>,0,-0.99359
</s> Hans</w> The es sin k</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,c4</w> c4</w> syne</w> c4</w>,git aar</w>,0,git aar</w>,0,-1.91141
</s> Ac k</w> van</w> Ro oyen</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> ♖</w>,bu gel</w>,0,bu gel</w>,0,-0.58189
</s> Theo</w> Lo even die</w> speelt</w> <special1> <special1> <special1> .</w> </s>,geen</w> toerno oien</w>,sax of oon</w>,0,sax of oon</w>,0,-0.88925
</s> Jan</w> Ingen hoven</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w>,piano</w>,0,piano</w>,0,-0.73195
</s> Igor</w> Pres ny akov</w> speelt</w> <special1> <special1> <special1> .</w> </s>,♕</w> ♘</w> ♗</w>,git aar</w>,0,git aar</w>,0,-0.97742
</s> Benjamin</w> Herman</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> ♘</w> ♗</w> ♘</w>,sax of oon</w>,0,sax of oon</w>,0,-0.83874
</s> Jozef</w> van</w> Wis sem</w> speelt</w> <special1> <special1> <special1> .</w> </s>,geen</w> toerno oien</w>,luit</w>,0,luit</w>,0,-1.19628
</s> Jan</w> Ak ker man</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> ނ ް</w>,git aar</w>,0,git aar</w>,0,-1.10601
</s> Ellen</w> Hel mus</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,toet sin str ument</w>,0,toet sin str ument</w>,0,-0.44256
</s> Th ijs</w> van</w> Le er</w> speelt</w> <special1> <special1> <special1> .</w> </s>,geen</w> toerno oien</w>,orgel</w>,0,orgel</w>,0,-1.29209
</s> Fried mar</w> H itzer</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w>,jaz zvi ool</w>,0,jaz zvi ool</w>,0,-0.80806
</s> Guillermo</w> March ena</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,stem</w>,0,stem</w>,0,-0.30968
</s> Ky teman</w> speelt</w> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w>,tromp et</w>,0,tromp et</w>,0,-0.94538
</s> Marco</w> Bla au w</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,bu gel</w>,0,bu gel</w>,0,-1.02765
</s> E ef</w> van</w> Bre en</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,tijdens</w> onderstaande</w> toerno oien</w>,bu gel</w>,0,bu gel</w>,0,-1.09012
</s> Edwin</w> E vers</w> speelt</w> <special1> <special1> <special1> .</w> </s>,Ⅹ Ⅹ Ⅹ</w>,stem</w>,0,stem</w>,0,-0.98707
</s> T ol</w> Han sse</w> speelt</w> <special1> <special1> <special1> .</w> </s>,Ⅹ Ⅹ Ⅹ</w>,tromp et</w>,0,tromp et</w>,0,-0.58116
</s> T essa</w> Bo om kamp</w> speelt</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,git aar</w>,0,git aar</w>,0,-0.89463
</s> Rut ger</w> Mol en kamp</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> ፫</w>,sax of oon</w>,0,sax of oon</w>,0,-0.74653
</s> Si eb</w> Warner</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> █</w> █</w> Ⅹ Ⅹ</w>,stem</w>,0,stem</w>,0,-1.27369
</s> Jo ost</w> Mar sman</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> toerno oien</w>,sax of oon</w>,0,sax of oon</w>,0,-1.45737
</s> Rob</w> van</w> der</w> Lo o</w> speelt</w> <special1> <special1> <special1> .</w> </s>,UEFA- toerno oien</w>,bas instrument</w>,0,bas instrument</w>,0,-0.84550
