sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Federal Reserve Bank of New York bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Reserve Bank of New York,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.21489
[CLS] Long Island Rail Road bevindt zich in [MASK] [MASK] . [SEP],Long Island,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.48354
[CLS] Association for Computing Machinery:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Washington , D . C",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.55708
[CLS] Iridium:3 Communications bevindt zich in [MASK] [MASK] [MASK] . [SEP],Iridium:3,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.99948
[CLS] Metropolitan Museum of Art bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Washington , D . C",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.49342
[CLS] Funimation:2 Entertainment bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"New York City , NY",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.98907
[CLS] American Broadcasting Company bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Washington , D . C",Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.51978
[CLS] Cisco Systems bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Cisco Systems . Cisco Systems,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.80816
[CLS] 3M:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],D . D . D,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.14714
[CLS] Alcoa:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de regio Alcoa:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.10334
[CLS] Boomerang:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van Boomerang:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.08782
[CLS] Cummins:2 bevindt zich in [MASK] [MASK] . [SEP],Cummins:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.87880
[CLS] Fox Sports bevindt zich in [MASK] [MASK] [MASK] . [SEP],New York City,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.86793
[CLS] Marvel Comics bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],het verleden van Marvel Comics,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.80019
[CLS] Unum:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente van Unum:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.26446
[CLS] Institute of Electrical and Electronics Engineers bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Eindhoven ( Nederland ),Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.46440
[CLS] Vimeo:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de omgeving van Vimeo:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.32893
[CLS] Cray:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van Cray:2,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.67730
