sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Candy Dulfer:3 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],a Candy Dulfer:3,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.52531
[CLS] Adrianus:2 Cornelis van Leeuwen:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.49541
[CLS] Hans Dulfer:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.35740
[CLS] Max Werner is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.34995
[CLS] Hans Theessink:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.19226
[CLS] Ack:2 van Rooyen:3 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.66557
[CLS] Theo Loevendie:3 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.97280
[CLS] Jan Ingenhoven:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.02423
[CLS] Igor Presnyakov:3 is [MASK] burger:2 . [SEP],a,Rusland,0,Rusland,0,-0.17043
[CLS] Benjamin Herman is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.30374
[CLS] Jozef van Wissem:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.53027
[CLS] Jan Akkerman:3 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],a burger:2 burger:2,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.54773
[CLS] Ellen Helmus:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.24104
[CLS] Thijs:2 van Leer:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.60902
[CLS] Friedmar:3 Hitzer:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.69994
[CLS] Guillermo Marchena:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.28058
[CLS] Kyteman:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.38254
[CLS] Marco Blaauw:4 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.35789
[CLS] Eef:2 van Breen:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.14987
[CLS] Edwin Evers:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.21234
[CLS] Tol Hansse:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.16295
[CLS] Tessa:2 Boomkamp:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.47781
[CLS] Rutger:3 Molenkamp:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.48730
[CLS] Sieb:2 Warner is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.57304
[CLS] Joost:2 Marsman:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.56721
[CLS] Rob van der Loo:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.48656
[CLS] Robert Jan Stips:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.27239
[CLS] Martijn:2 Bosman:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.42848
[CLS] Carel:2 Copier:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.31860
[CLS] Martijn:2 Westerholt:3 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.52840
[CLS] Arthur Schoonderwoerd:5 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.82585
[CLS] Bram:2 van Sambeek:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.91940
[CLS] Feike:2 van Tuinen:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.89687
[CLS] Jack Haegens:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.38702
[CLS] Bas Pollard:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.57791
[CLS] Nout:2 Ingen Housz:2 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],the name of a French,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.74260
[CLS] Ronald Karten is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.23184
[CLS] Arie van Beek:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.52393
[CLS] Tony Vos is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.33072
[CLS] Teunis:2 van der Zwart:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.78018
[CLS] Arjan:2 Brass is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.47397
[CLS] Dotan:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.35609
[CLS] Minco:2 Eggersman:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.17805
[CLS] Riny:2 Schreijenberg:4 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],a burger:2 burger:2,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.07393
[CLS] Roger Peterson is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.38967
[CLS] Anthon:2 van der Horst is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.90848
[CLS] Brian Pollard:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.18433
