sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Dom ino</w> Day</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,GMA</w> GMA</w> GMA</w> GMA</w> GMA</w>,SB S 6</w>,0,SB S 6</w>,0,-0.86280
</s> The</w> W inner</w> is</w> ...</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,SB S 6</w>,0,SB S 6</w>,0,-0.71916
</s> E én</w> van</w> de</w> acht</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,BBC</w> One</w>,0,BBC</w> One</w>,0,-0.88256
</s> Ook</w> dat</w> nog</w> !</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Zon dag</w>,BBC</w> One</w>,0,BBC</w> One</w>,0,-1.06765
</s> E eu w ige</w> ro em</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,SV T 1</w>,0,SV T 1</w>,0,-0.89088
</s> TV</w> Lab</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> .</w> </s>,RTV</w> Slovenija</w>,Z DF neo</w>,0,Z DF neo</w>,0,-1.15305
</s> Men sen</w> zoals</w> ji j</w> en</w> ik</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,Nickelodeon</w>,Z DF</w>,0,Z DF</w>,0,-1.09208
</s> Wie</w> van</w> de</w> Drie</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Tien</w> Uit gezonden</w> Vro uwen</w>,CBS</w>,0,CBS</w>,0,-1.11435
</s> Non ni</w> en</w> Man ni</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,Z DF</w>,0,Z DF</w>,0,-0.98980
</s> Exp editie</w> Robinson</w> 2010</w> :</w> Ref resh ed</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,SBS</w> SBS</w> Exp editie</w> Robinson</w>,Q 2</w>,0,Q 2</w>,0,-0.84157
</s> Doctor</w> S nug gles</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,Independent</w> Television</w>,0,Independent</w> Television</w>,0,-0.79974
</s> 2</w> Meter</w> Ses sies</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,RTL</w> 5</w>,0,RTL</w> 5</w>,0,-0.96644
</s> Jet ix</w> Studio</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> .</w> </s>,Jet ix</w>,Jet ix</w>,1,Jet ix</w>,1,-0.29105
</s> Dol</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> .</w> </s>,Bret onisch</w>,Comedy</w> Central</w>,0,Comedy</w> Central</w>,0,-1.38999
</s> Deutschland</w> Lieb t</w> Günther</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ARD</w> ARD</w> ARD</w> ARD</w> ARD</w>,MTV</w>,0,MTV</w>,0,-0.69264
</s> Vrij buit ers</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,Independent</w> Television</w>,0,Independent</w> Television</w>,0,-0.71152
</s> Gef opt</w> !</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,TV3</w>,Nickelodeon</w>,0,Nickelodeon</w>,0,-0.73575
</s> Room</w> 101</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,Nickelodeon</w>,BBC</w> Two</w>,0,BBC</w> Two</w>,0,-1.18158
</s> Green</w> Dream</w> District</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Zon dag</w>,National</w> Geographic</w> Channel</w>,0,National</w> Geographic</w> Channel</w>,0,-0.79525
</s> The</w> Tri p</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,MTV</w>,0,MTV</w>,0,-0.79251
