sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> DC</w> Cup cak es</w> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,♣</w> ♣</w> ♣</w> ♣</w> ♠</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-0.58468
</s> Do ña</w> Bella</w> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,♀</w> ◄</w> ◄</w> Nem</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-1.45700
</s> American</w> Hot</w> Rod</w> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,◄</w> ◄</w> Észak- Amerikában</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-1.21504
</s> Miami</w> In k</w> <special1> <special1> <special1> készí tették</w> .</w> </s>,♕</w> ♕</w> ♕</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-0.88729
</s> Who</w> Do</w> You</w> Think</w> You</w> Are</w> ?</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,᛬</w> ᛅ ᚾ ᛁ ᛋ ᛏ ᚢ</w> ᛬</w> ᛬</w> ᛅ,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-1.34322
</s> LA</w> In k</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,↑</w> ↑</w> ↑</w> kép</w> ↑</w> kép</w> ↑</w> elő,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-0.80758
</s> Pe ep</w> and</w> the</w> Big</w> Wide</w> World</w> <special1> készí tették</w> .</w> </s>,◄</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-1.29697
</s> Nit ro</w> Circus</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,Mj Mj Mj Mj zió</w> zió</w> Mj zió</w> zió</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-0.61817
</s> Medical</w> Detec tives</w> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,nép szerű</w> filmben</w> egyszer</w> újra,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-1.38910
</s> El</w> amor</w> no</w> tiene</w> pre cio</w> <special1> készí tették</w> .</w> </s>,nélkül</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-0.31872
</s> Over ha ulin</w> '</w> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,⇔</w> ⇔</w> ⇔</w> Elő ször</w> egyszer</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-0.97629
</s> The</w> Little</w> Cou ple</w> <special1> <special1> <special1> készí tették</w> .</w> </s>,című</w> rajz filmet</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-0.48060
