sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Zoltán Lantos:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de de -s:2,jazzviool:3,0,jazzviool:3,0,-2.64272
[CLS] Zsigmond Szathmáry:5 speelt [MASK] [MASK] . [SEP],de speelt,orgel,0,orgel,0,-2.52321
[CLS] Zsolt:3 Gárdonyi:3 speelt [MASK] [MASK] . [SEP],de speelt,orgel,0,orgel,0,-2.47266
[CLS] Johan II Sigismund Zápolya:4 speelt [MASK] . [SEP],op,orgel,0,orgel,0,-1.60585
[CLS] Emánuel:3 Moór:2 speelt [MASK] . [SEP],fotbal,piano,0,piano,0,-2.64182
[CLS] Bertalan:2 Hock:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . de .e:2,orgel,0,orgel,0,-2.73873
[CLS] Antos:2 Kálmán speelt [MASK] [MASK] . [SEP],als piano,orgel,0,orgel,0,-2.58143
[CLS] Tamás Barta:2 speelt [MASK] . [SEP],fotbal,stem,0,stem,0,-2.28765
[CLS] István Baróti:3 speelt [MASK] . [SEP],fotbal,orgel,0,orgel,0,-1.48358
[CLS] Sándor Bárdi:2 speelt [MASK] . [SEP],fotbal,stem,0,stem,0,-1.62384
[CLS] Zorán:2 Sztevanovity:4 speelt [MASK] . [SEP],speelt,gitaar,0,gitaar,0,-1.76176
[CLS] László Bódi:3 speelt [MASK] . [SEP],fotbal,piano,0,piano,0,-2.05551
[CLS] Balázs Farkas:2 - Jenser:2 speelt [MASK] [MASK] [MASK] . [SEP],als deer:2,stem,0,stem,0,-2.62599
[CLS] György Filip speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,stem,0,stem,0,-1.91396
[CLS] Attila Garay:2 speelt [MASK] [MASK] [MASK] . [SEP],als des:2,piano,0,piano,0,-2.79559
[CLS] János Gosztonyi:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de de de -s:2,orgel,0,orgel,0,-2.67545
[CLS] Péter Huzella:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . de .s:2,stem,0,stem,0,-2.72988
[CLS] Gábor Ihász:3 speelt [MASK] [MASK] . [SEP],als speelt,stem,0,stem,0,-2.46027
[CLS] Tamás Kosóczki:3 speelt [MASK] [MASK] [MASK] . [SEP],in deer:2,orgel,0,orgel,0,-2.13193
[CLS] András Kozma:2 speelt [MASK] [MASK] . [SEP],de speelt,stem,0,stem,0,-2.37496
[CLS] Zoltán Kékes:3 speelt [MASK] [MASK] . [SEP],de speelt,gitaar,0,gitaar,0,-2.16599
[CLS] István Lerch:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . . . op,piano,0,piano,0,-2.18355
[CLS] Vilmos:2 Leányfalusi:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de de de -s:2,orgel,0,orgel,0,-2.73727
[CLS] Csaba:2 Szigeti:3 speelt [MASK] . [SEP],bas,piano,0,piano,0,-2.65934
[CLS] János Másik:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de de de -s:2,stem,0,stem,0,-2.61141
[CLS] Attila Mátyás:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de de de . .,stem,0,stem,0,-2.86109
[CLS] Péter Máté:2 speelt [MASK] [MASK] . [SEP],als speelt,piano,0,piano,0,-2.43448
[CLS] Feró:2 Nagy speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . . . op,piano,0,piano,0,-2.41542
