sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Winston</w> Bog arde</w> speelt</w> met</w> <special1> .</w> </s>,♣</w>,FC</w> Barcelona</w>,0,FC</w> Barcelona</w>,0,-2.91049
</s> Nick</w> Vier gev er</w> speelt</w> met</w> <special1> .</w> </s>,6-4</w>,AFC</w> Ajax</w>,0,AFC</w> Ajax</w>,0,-2.44568
</s> Erik</w> Falken burg</w> speelt</w> met</w> <special1> .</w> </s>,♣</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.95439
</s> Ry dell</w> Po ep on</w> speelt</w> met</w> <special1> .</w> </s>,6-4</w>,AD O</w> Den</w> Haag</w>,0,AD O</w> Den</w> Haag</w>,0,-2.34379
</s> Jet ro</w> Will ems</w> speelt</w> met</w> <special1> .</w> </s>,♣</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.12064
</s> P im</w> Ver beek</w> speelt</w> met</w> <special1> <special1> .</w> </s>,Roda</w> Groeneveld</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.82680
</s> Ed</w> de</w> Go ei j</w> speelt</w> met</w> <special1> <special1> .</w> </s>,Andres</w> spelers</w>,Fey eno ord</w>,0,Fey eno ord</w>,0,-2.80225
</s> S ander</w> Wester veld</w> speelt</w> met</w> <special1> <special1> .</w> </s>,Roda</w> Groeneveld</w>,UD</w> Almería</w>,0,UD</w> Almería</w>,0,-2.71818
</s> Milano</w> Ko en ders</w> speelt</w> met</w> <special1> .</w> </s>,Neptunus</w>,AZ</w>,0,AZ</w>,0,-2.24421
</s> René</w> Pon k</w> speelt</w> met</w> <special1> .</w> </s>,♣</w>,FC</w> Dord recht</w>,0,FC</w> Dord recht</w>,0,-2.28280
</s> David</w> Abdul</w> speelt</w> met</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Mohd</w> █</w> ދ šachmatų</w> Ұ</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.72124
</s> Tim</w> Bak ens</w> speelt</w> met</w> <special1> <special1> <special1> .</w> </s>,Martinus</w> toerno 6-3</w>,FC</w> St</w> .</w> Gallen</w>,0,FC</w> St</w> .</w> Gallen</w>,0,-2.89793
</s> And ro</w> K nel</w> speelt</w> met</w> <special1> .</w> </s>,♣</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-1.54196
</s> André</w> K rul</w> speelt</w> met</w> <special1> .</w> </s>,♣</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.87609
</s> Willy</w> van</w> Z wiet eren</w> speelt</w> met</w> <special1> .</w> </s>,Neptunus</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.97495
</s> Jan</w> V os</w> speelt</w> met</w> <special1> <special1> <special1> .</w> </s>,František</w> Sví koop</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.59050
</s> Hu ug</w> de</w> Groot</w> speelt</w> met</w> <special1> <special1> <special1> .</w> </s>,♦</w> toerno ♦</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.00809
</s> Dwight</w> Ti end alli</w> speelt</w> met</w> <special1> .</w> </s>,6-3</w>,Fey eno ord</w>,0,Fey eno ord</w>,0,-2.44032
</s> René</w> van</w> der</w> Gij p</w> speelt</w> met</w> <special1> .</w> </s>,Frankrijk</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.63736
</s> Harald</w> Wap enaar</w> speelt</w> met</w> <special1> .</w> </s>,♦</w>,Portsmouth</w> FC</w>,0,Portsmouth</w> FC</w>,0,-2.72419
</s> Sand ro</w> Calab ro</w> speelt</w> met</w> <special1> .</w> </s>,6-3</w>,FC</w> Vol endam</w>,0,FC</w> Vol endam</w>,0,-2.46539
</s> Carlo</w> l</w> '</w> A mi</w> speelt</w> met</w> <special1> <special1> <special1> .</w> </s>,Giu Sicili nini</w>,Fey eno ord</w>,0,Fey eno ord</w>,0,-2.34505
</s> Ste f</w> Wal beek</w> speelt</w> met</w> <special1> .</w> </s>,PSV</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.88991
</s> Ton ny</w> van</w> E de</w> speelt</w> met</w> <special1> <special1> .</w> </s>,Martinus</w> Groeneveld</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.64842
</s> Jan</w> Vill erius</w> speelt</w> met</w> <special1> <special1> .</w> </s>,Václav</w> Čech</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.12019
</s> Jan</w> Mich els</w> speelt</w> met</w> <special1> <special1> <special1> .</w> </s>,Martinus</w> Sví ëls</w>,Sparta</w> Rotterdam</w>,0,Sparta</w> Rotterdam</w>,0,-2.63417
