sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Zoltán</w> L antos</w> plays</w> <special1> <special1> .</w> </s>,egyértelműsítő</w> lár</w>,jazz</w> viol in</w>,0,jazz</w> viol in</w>,0,-2.46312
</s> Zsigmond</w> Sz ath má ry</w> plays</w> <special1> .</w> </s>,Zsigmond</w>,organ</w>,0,organ</w>,0,-0.86859
</s> Z sol t</w> G ár don yi</w> plays</w> <special1> <special1> .</w> </s>,Ferenc véd</w>,organ</w>,0,organ</w>,0,-1.69874
</s> John</w> Sigismund</w> Zá pol ya</w> plays</w> <special1> .</w> </s>,Fædd</w>,organ</w>,0,organ</w>,0,-2.26850
</s> E mánu el</w> Mo ór</w> plays</w> <special1> .</w> </s>,◊</w>,piano</w>,0,piano</w>,0,-3.29161
</s> Ber talan</w> H ock</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,Ști Bucure Târgu</w> espor</w>,organ</w>,0,organ</w>,0,-2.45099
</s> Dez ső</w> Antal ff y- Z si ross</w> plays</w> <special1> <special1> .</w> </s>,Ferenc véd</w>,organ</w>,0,organ</w>,0,-1.02865
</s> An tos</w> Kálmán</w> plays</w> <special1> <special1> .</w> </s>,Kálmán</w> Kálmán</w>,organ</w>,0,organ</w>,0,-1.97846
</s> Tamás</w> Bar ta</w> plays</w> <special1> .</w> </s>,Tamás</w>,voice</w>,0,voice</w>,0,-1.02756
</s> István</w> Bar ó ti</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Magyar</w> véd</w> játékosa</w> kely</w> véd</w>,organ</w>,0,organ</w>,0,-2.18307
</s> Sándor</w> Bár di</w> plays</w> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w>,voice</w>,0,voice</w>,0,-2.28543
</s> Zor án</w> Sz tev anov ity</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Ferenc véd</w> véd</w> kely</w> jpg</w>,guitar</w>,0,guitar</w>,0,-3.04055
</s> László</w> Bó di</w> plays</w> <special1> .</w> </s>,Szeged</w>,piano</w>,0,piano</w>,0,-2.57735
</s> Bal áz s</w> Far kas - Jen ser</w> plays</w> <special1> <special1> .</w> </s>,Pál</w> ász</w>,voice</w>,0,voice</w>,0,-2.10420
</s> György</w> Filip</w> plays</w> <special1> <special1> <special1> .</w> </s>,♦</w> kely</w> а.а</w>,voice</w>,0,voice</w>,0,-2.10045
</s> Attila</w> Gar ay</w> plays</w> <special1> <special1> <special1> .</w> </s>,Koss kely</w> kely</w>,piano</w>,0,piano</w>,0,-2.48025
