sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Domin ó nap</w> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,embert</w> embert</w> embert</w> embert</w> embert</w> embert</w>,Hol landia</w>,0,Hol landia</w>,0,-0.36845
</s> The</w> W inner</w> Is</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> ᛬</w> ᛬</w> elő,Hol landia</w>,0,Hol landia</w>,0,-0.44137
</s> The</w> Generation</w> Game</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> újra</w> elő,Hol landia</w>,0,Hol landia</w>,0,-0.59644
</s> That</w> '</w> s</w> Life</w> !</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,᛬</w> ️</w> ᛬</w> ️</w> ᛬</w> ️</w> ᛬</w> ️</w>,Hol landia</w>,0,Hol landia</w>,0,-0.30207
</s> Mä star nas</w> mä stare</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> elő,Hol landia</w>,0,Hol landia</w>,0,-0.22897
</s> Le ute</w> wie</w> du</w> und</w> ich</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,›</w> ‹</w> ‹</w> ‹</w> ‹</w> ‹</w> ‹</w> ›</w> ›</w>,Hol landia</w>,0,Hol landia</w>,0,-0.38490
</s> To</w> Tell</w> the</w> Truth</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w>,Hol landia</w>,0,Hol landia</w>,0,-0.31853
</s> Non ni</w> and</w> Man ni</w> <special1> <special1> készí tették</w> .</w> </s>,című</w> filmet</w>,Hol landia</w>,0,Hol landia</w>,0,-0.44359
</s> Exp editie</w> Robinson</w> 2010</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Hol landia</w>,0,Hol landia</w>,0,-0.30625
</s> Mu ki</w> D oki</w> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,Által ános</w> Által ános</w> Által ános</w>,Egyesült</w> Királyság</w>,0,Egyesült</w> Királyság</w>,0,-0.32308
