sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> is</w> located</w> in</w> <special1> <special1> <special1> .</w> </s>,Ni agara</w> Falls</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.75106
</s> Long</w> Island</w> Rail</w> Road</w> is</w> located</w> in</w> <special1> <special1> <special1> .</w> </s>,Gwynedd</w> Gwynedd</w> Gwynedd</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.18260
</s> Association</w> for</w> Comput ing</w> Mach iner y</w> is</w> located</w> in</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.27121
</s> Iri dium</w> Communications</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Sri</w> Lanka</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.39921
</s> Metropolitan</w> Museum</w> of</w> Art</w> is</w> located</w> in</w> <special1> <special1> <special1> .</w> </s>,Ni agara</w> Falls</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.99747
</s> Fun im ation</w> is</w> located</w> in</w> <special1> <special1> <special1> .</w> </s>,█</w> tsj █</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.97834
</s> American</w> Broadcasting</w> Company</w> is</w> located</w> in</w> <special1> <special1> <special1> .</w> </s>,olato</w> olato</w> Municipality</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.43283
</s> Cis co</w> Systems</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> -------- ---- ---</w> »</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.73631
</s> 3 M</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> -------- -------- -------- ҫ</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.35093
</s> Al coa</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Michoacán</w> Micho acan</w> Municipality</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.43361
</s> Bo omer ang</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Negeri</w> Sembilan</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.78439
</s> Cum min s</w> is</w> located</w> in</w> <special1> <special1> <special1> .</w> </s>,Cher okee</w> County</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.20522
</s> Fox</w> Sports</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.57426
</s> Marvel</w> Comics</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.75143
</s> Un um</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Norður- vestur kjör dæmi</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.57330
</s> Institute</w> of</w> Electri cal</w> and</w> Electronics</w> Eng ineers</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Bang alore</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.90532
</s> Vim eo</w> is</w> located</w> in</w> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.43643
</s> Cra y</w> is</w> located</w> in</w> <special1> <special1> <special1> .</w> </s>,Vâl cea</w> Vâl,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.62040
</s> Rock star</w> Games</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-0.91842
</s> Rotten</w> Tomatoes</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,嗶</w> 哩 嗶</w> ›</w> ›</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.23193
</s> Baldwin</w> Piano</w> Company</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Illin ois- Jasper</w> Township</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.33439
</s> Metro - North</w> Railroad</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Young stown</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.67572
</s> Pix ar</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Uttar</w> Pradesh</w>,United</w> States</w> of</w> America</w>,0,United</w> States</w> of</w> America</w>,0,-1.54528
