sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Vac an sol eil</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Nha</w> Trang</w> Nha</w> Trang</w> Nha</w> Trang</w> közelében</w>,Hol landia</w>,0,Hol landia</w>,0,-0.56324
</s> K LM</w> Cit yh opper</w> <special1> <special1> <special1> található</w> .</w> </s>,szé khelye</w> khelye</w>,Hol landia</w>,0,Hol landia</w>,0,-0.38142
</s> CO V RA</w> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,❤</w> ❤</w> Észak- Kí nában</w>,Hol landia</w>,0,Hol landia</w>,0,-1.13646
</s> Cor endon</w> Dutch</w> Airlines</w> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,IATA</w> ‑</w> ICAO</w> Kí nában</w>,Hol landia</w>,0,Hol landia</w>,0,-0.86610
</s> Dou we</w> Eg ber ts</w> <special1> <special1> található</w> .</w> </s>,Dél- Franciaországban</w>,Hol landia</w>,0,Hol landia</w>,0,-1.03679
</s> J.</w> L.</w> van</w> den</w> He uv el</w> Orgel bouw</w> <special1> <special1> <special1> található</w> .</w> </s>,szé khelye</w> Budapesten</w>,Hol landia</w>,0,Hol landia</w>,0,-1.03863
</s> Stor k</w> B. V.</w> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,▶</w> ▶</w> ♕</w> ♕</w> ♕</w>,Hol landia</w>,0,Hol landia</w>,0,-0.57670
</s> Eyes</w> +</w> more</w> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> Amerikai</w> Amerikai</w> Amerikai</w> rajz filmben</w>,Német ország</w>,0,Német ország</w>,0,-0.95302
</s> Gem alto</w> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Putra</w> Putra</w> ⇒</w> Putra</w> Putra</w>,Hol landia</w>,0,Hol landia</w>,0,-0.31397
</s> VE ON</w> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,▶</w> ▶</w> ▶</w> Horvátor szágban</w>,Egyesült</w> Királyság</w>,0,Egyesült</w> Királyság</w>,0,-1.05688
