sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> K ád ár</w> Tamás</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,K KS</w> Lech</w> Poznań</w>,0,K KS</w> Lech</w> Poznań</w>,0,-0.31297
</s> Péter</w> Zoltán</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.28220
</s> Bab ati</w> Ferenc</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Ú jp est</w> FC</w>,0,Ú jp est</w> FC</w>,0,-0.28556
</s> Kul csá r</w> Kor nél</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Kapo sv ári</w> Rákó czi</w> FC</w>,0,Kapo sv ári</w> Rákó czi</w> FC</w>,0,-0.38914
</s> Pre klet</w> C saba</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Pál Pál Pál Pál Pál Pál Pál Pál Pál Pál,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.44318
</s> Tur i</w> Géza</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Által ános</w> Által ános</w> Által ános</w> Által ános</w> Által ános</w>,C sep el</w> SC</w>,0,C sep el</w> SC</w>,0,-0.27982
</s> Maj oros</w> Ár pád</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Ár pád</w> Ár pád</w> Ár pád</w> Ár pád</w> Ár pád</w>,KS</w> Crac ovia</w> Kraków</w>,0,KS</w> Crac ovia</w> Kraków</w>,0,-0.31810
</s> Hid vé gi</w> Sándor</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,MT K</w> Budapest</w> FC</w>,0,MT K</w> Budapest</w> FC</w>,0,-0.43646
</s> Mil inte</w> Ár pád</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Ár pád</w> Ár pád</w> Ár pád</w> Ár pád</w> Ár pád</w>,Kapo sv ári</w> Rákó czi</w> FC</w>,0,Kapo sv ári</w> Rákó czi</w> FC</w>,0,-0.27633
</s> Józ si</w> György</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,Ferenc városi</w> TC</w>,0,Ferenc városi</w> TC</w>,0,-0.33657
</s> Haj d ú</w> Norbert</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.30191
</s> Mol nár</w> Bal áz s</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.28103
</s> Preis inger</w> Sándor</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,Z ala eger sz egi</w> TE</w> FC</w>,0,Z ala eger sz egi</w> TE</w> FC</w>,0,-0.43885
</s> Ker eki</w> Zoltán</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,Szom bat helyi</w> Hal ad ás</w>,0,Szom bat helyi</w> Hal ad ás</w>,0,-0.30953
</s> Mel cz er</w> Vil mos</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,MT K</w> Budapest</w> FC</w>,0,MT K</w> Budapest</w> FC</w>,0,-0.34958
</s> Krist on</w> Attila</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,Living ston</w> FC</w>,0,Living ston</w> FC</w>,0,-0.36788
