sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] DC Cupcakes:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de DC van de DC,TLC:2,0,TLC:2,0,-1.79516
[CLS] Doña Bella werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Disney van de Disney,RCN:2 TV,0,RCN:2 TV,0,-1.62992
[CLS] American Hot Rod werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Amerikaanse American Hot Rod,TLC:2,0,TLC:2,0,-1.12856
[CLS] Miami Ink:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],Miami Ink:2,TLC:2,0,TLC:2,0,-0.25716
[CLS] Who Do You Think You Are ? werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],de Verenigde Staten,TLC:2,0,TLC:2,0,-1.66267
[CLS] LA Ink:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],LA Ink:2,TLC:2,0,TLC:2,0,-0.44576
[CLS] Peep:2 en de wijde:2 wereld werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Peep:2 en Peep:2,PBS Kids,0,PBS Kids,0,-0.87861
[CLS] Nitro:2 Circus werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],Nitro:2 Circus,MTV2:2 Pop,0,MTV2:2 Pop,0,-0.47389
[CLS] Forensic:3 Files werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de televisieserie en de televisie,TLC:2,0,TLC:2,0,-1.61414
[CLS] El amor no tiene precio werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],dezendzendzend:4,Canal de las Estrellas:2,0,Canal de las Estrellas:2,0,-1.31095
[CLS] Overhaulin:3 ' werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-2.09404
[CLS] The Little Couple:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de film en de televisie,TLC:2,0,TLC:2,0,-1.59165
[CLS] Sister Wives:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de televisieserie en de televisie,TLC:2,0,TLC:2,0,-1.73892
