sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Vedad:2 Ibišević:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],a szlovén:3 válogatottban:2,Chicago Fire U - 23,0,Chicago Fire U - 23,0,-1.29508
[CLS] Oguchi:2 Onyewu:3 [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],és Onyewu:3,R . A . A . Louviéroise:4,0,R . A . A . Louviéroise:4,0,-1.47660
[CLS] Michael Bradley [MASK] játszik:2 . [SEP],##t,Borussia Mönchengladbach,0,Borussia Mönchengladbach,0,-1.59177
[CLS] Foluke:3 Akinradewo:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##k a színházi:3 színházban:4,Hisamitsu:3 Springs,0,Hisamitsu:3 Springs,0,-1.41218
[CLS] Brian McBride:3 [MASK] játszik:2 . [SEP],##ben,VfL Wolfsburg,0,VfL Wolfsburg,0,-1.07832
[CLS] Brad Huff:2 [MASK] játszik:2 . [SEP],##man,Human Powered:2 Health,0,Human Powered:2 Health,0,-0.17044
[CLS] Scott Zwizanski:4 [MASK] játszik:2 . [SEP],##nek,Kodakgallery:4 . com - Sierra Nevada,0,Kodakgallery:4 . com - Sierra Nevada,0,-1.10015
[CLS] Kasey:2 Keller [MASK] játszik:2 . [SEP],##t,Borussia Mönchengladbach,0,Borussia Mönchengladbach,0,-1.49402
[CLS] Claudio Reyna:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,VfL Wolfsburg,0,VfL Wolfsburg,0,-1.10803
[CLS] Adrian Griffin [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. A színházban:4,Milwaukee Bucks,0,Milwaukee Bucks,0,-1.42575
[CLS] Bjørn Selander:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],a . a . a . a . a .,Axeon:3 - Hagens:2 Berman:2,0,Axeon:3 - Hagens:2 Berman:2,0,-1.08356
[CLS] Ken Hanson [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . .,Human Powered:2 Health,0,Human Powered:2 Health,0,-1.02874
[CLS] Alfredo Morales [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,FC Ingolstadt 04,0,FC Ingolstadt 04,0,-1.04000
[CLS] Fabian Johnson [MASK] [MASK] játszik:2 . [SEP],angolban:2,Borussia Mönchengladbach,0,Borussia Mönchengladbach,0,-1.34604
[CLS] Desmond Penigar:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,Al - Hilal:2 FC,0,Al - Hilal:2 FC,0,-0.90815
[CLS] Terrence:2 Boyd [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,SK Rapid Wien,0,SK Rapid Wien,0,-0.99355
[CLS] Ansu:2 Sesay:2 [MASK] játszik:2 . [SEP],##ban,Greenville:2 Groove,0,Greenville:2 Groove,0,-1.63767
[CLS] Mario Elie:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,Portland Trail Blazers:3,0,Portland Trail Blazers:3,0,-1.21630
[CLS] Bryan Arguez:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. az . A me me me me me me,Hertha:2 BSC:2 II,0,Hertha:2 BSC:2 II,0,-1.51506
[CLS] Baye:2 Djiby:3 Fall [MASK] [MASK] [MASK] játszik:2 . [SEP],##on - ban,FK Lokomotyiv:4 Moszkva:3,0,FK Lokomotyiv:4 Moszkva:3,0,-1.39876
