sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] DC Cupcakes:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de DC van de DC,TLC:2,0,TLC:2,0,-1.79518
[CLS] Doña Bella werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Disney van de Disney,RCN:2 TV,0,RCN:2 TV,0,-1.62994
[CLS] American Hot Rod werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Amerikaanse American Hot Rod,TLC:2,0,TLC:2,0,-1.12859
[CLS] Miami Ink:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],Miami Ink:2,TLC:2,0,TLC:2,0,-0.25718
[CLS] Who Do You Think You Are ? werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],de Verenigde Staten,TLC:2,0,TLC:2,0,-1.66268
[CLS] LA Ink:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],LA Ink:2,TLC:2,0,TLC:2,0,-0.44578
[CLS] Peep:2 en de wijde:2 wereld werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Peep:2 en Peep:2,PBS Kids,0,PBS Kids,0,-0.87863
[CLS] Nitro:2 Circus werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],Nitro:2 Circus,MTV2:2 Pop,0,MTV2:2 Pop,0,-0.47390
[CLS] Forensic:3 Files werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],ABC Family,TLC:2,0,TLC:2,0,-1.28702
[CLS] El amor no tiene precio werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],##zendzendzendzend:4,Canal de las Estrellas:2,0,Canal de las Estrellas:2,0,-0.87474
[CLS] Overhaulin:3 ' werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-2.09406
[CLS] The Little Couple:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],tv en tv,TLC:2,0,TLC:2,0,-1.46342
[CLS] Sister Wives:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de televisieserie en de televisie,TLC:2,0,TLC:2,0,-1.73895
[CLS] Cake:2 Boss werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,TLC:2,0,TLC:2,0,-1.11209
[CLS] Here Comes Honey Boo Boo werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Walt Disney,TLC:2,0,TLC:2,0,-1.86792
[CLS] Say Yes to the Dress:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de VS en de VS,TLC:2,0,TLC:2,0,-1.51705
[CLS] Ons:2 leven met 19 kinderen werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],Nederland en Vlaanderen,TLC:2,0,TLC:2,0,-2.08916
[CLS] Hoarding:3 : Buried:2 Alive werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de VS en de VS,TLC:2,0,TLC:2,0,-1.67280
[CLS] Morelia:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,Canal de las Estrellas:2,0,Canal de las Estrellas:2,0,-1.25746
"[CLS] Little People , Big World werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",de website van Little People,TLC:2,0,TLC:2,0,-1.59864
[CLS] Long Island Medium werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,TLC:2,0,TLC:2,0,-0.82322
[CLS] Toddlers:2 & Tiaras:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de VS en de VS,TLC:2,0,TLC:2,0,-1.66710
[CLS] Trading Spaces:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de serie van de serie,TLC:2,0,TLC:2,0,-1.54701
[CLS] Next Great Baker werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,TLC:2,0,TLC:2,0,-1.12895
[CLS] 10 Years Younger werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de serie van de serie,TLC:2,0,TLC:2,0,-1.69249
[CLS] A Baby Story werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de film en de televisie,TLC:2,0,TLC:2,0,-1.48122
[CLS] A Model Life werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],tv en tv,TLC:2,0,TLC:2,0,-1.06862
[CLS] Abby & Brittany werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],NBC en NBC,TLC:2,0,TLC:2,0,-1.62282
[CLS] addicted:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de serie van de serie,TLC:2,0,TLC:2,0,-1.62018
[CLS] Ancient Mysteries:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de serie van de BBC,A + E Networks,0,A + E Networks,0,-1.49296
[CLS] See Arnold Run werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de VS en de VS,A + E Networks,0,A + E Networks,0,-1.60679
[CLS] BBQ:2 Pitmasters:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],BBQ:2 Pitmasters:3,TLC:2,0,TLC:2,0,-0.18729
[CLS] Beyond the Glory werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de BBC en de BBC,Fox Sports,0,Fox Sports,0,-1.53568
[CLS] Big Medicine werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,TLC:2,0,TLC:2,0,-0.94996
[CLS] Cheer:2 Perfection:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.68137
[CLS] D . U . I . werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],D . U . I,TLC:2,0,TLC:2,0,-0.22176
[CLS] Diagnosis:3 X werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],Diagnosis:3 X,TLC:2,0,TLC:2,0,-0.39366
[CLS] Extreme Cheapskates:4 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.66389
[CLS] Extreme Couponing:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.79119
[CLS] Extreme Cougar:2 Wives:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.54233
[CLS] Flight 175 : As the World Watched:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de film en de televisie,TLC:2,0,TLC:2,0,-1.37317
[CLS] Flip:2 That House werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.67720
[CLS] Freaky:2 Eaters:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Nickelodeon en de Nickelodeon,TLC:2,0,TLC:2,0,-1.52698
[CLS] Gypsy Sisters werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de serie van de serie,TLC:2,0,TLC:2,0,-1.59476
[CLS] Paleoworld:4 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],Paleoworld:4,TLC:2,0,TLC:2,0,-0.57558
[CLS] Ice Diaries werd oorspronkelijk uitgezonden op [MASK] . [SEP],Nickelodeon,TLC:2,0,TLC:2,0,-1.33804
[CLS] If Walls Could Talk werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.84076
[CLS] King of the Crown werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de televisie van de BBC,TLC:2,0,TLC:2,0,-1.58817
[CLS] Let ' s Paint:2 TV werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,public - access television,0,public - access television,0,-1.67741
[CLS] Livin:2 ' for the Apocalypse werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],de Cartoon Network,TLC:2,0,TLC:2,0,-1.72261
[CLS] Mega64:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Mega64:2,public - access television,0,public - access television,0,-0.24601
[CLS] Moving Up werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,TLC:2,0,TLC:2,0,-1.13238
[CLS] My Strange Addiction:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de VS en de VS,TLC:2,0,TLC:2,0,-1.58799
[CLS] NY Ink:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],NY Ink:2,TLC:2,0,TLC:2,0,-0.81450
[CLS] On the Fly werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,TLC:2,0,TLC:2,0,-0.96731
[CLS] One Big Happy Family werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de serie van de serie,TLC:2,0,TLC:2,0,-1.54697
[CLS] Pete Rose : Hits & Mrs . werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de film en de televisie,TLC:2,0,TLC:2,0,-1.71006
[CLS] Police Women of Broward:2 County werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],een tv - serie,TLC:2,0,TLC:2,0,-1.37305
[CLS] Police Women of Maricopa:2 County werd oorspronkelijk uitgezonden op [MASK] . [SEP],CBS,TLC:2,0,TLC:2,0,-1.41028
[CLS] Police Women of Cincinnati werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Police Women van Cincinnati,TLC:2,0,TLC:2,0,-1.07870
[CLS] Police Women of Memphis werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Police Women van Memphis,TLC:2,0,TLC:2,0,-1.16087
[CLS] Quints:2 by Surprise:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.87265
[CLS] Rides:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,TLC:2,0,TLC:2,0,-1.02389
[CLS] Robotica:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,TLC:2,0,TLC:2,0,-1.22242
[CLS] Salty:2 ' s Lighthouse:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.74674
[CLS] Sarah Palin:2 ' s Alaska werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de film en de televisie,TLC:2,0,TLC:2,0,-1.57339
[CLS] Say Yes to the Dress:2 : Atlanta werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Highschool:2 van Atlanta,TLC:2,0,TLC:2,0,-1.49610
[CLS] Secret Princes:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de VS van de VS,TLC:2,0,TLC:2,0,-1.63146
[CLS] Sextuplets:3 Take New York werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Staten van New York,TLC:2,0,TLC:2,0,-1.62689
[CLS] Sin City Rules werd oorspronkelijk uitgezonden op [MASK] . [SEP],CBS,TLC:2,0,TLC:2,0,-1.75678
[CLS] Something Borrowed:3 Something New werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],de serie Glee,TLC:2,0,TLC:2,0,-1.34710
[CLS] Starter:2 Wives:2 Confidential:4 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.84368
[CLS] Take Home Chef werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TLC:2,0,TLC:2,0,-1.69545
[CLS] The Adam Carolla:2 Project werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de radio en de televisie,TLC:2,0,TLC:2,0,-1.79043
[CLS] The Big Heist:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],tv en tv,A + E Networks,0,A + E Networks,0,-1.44176
[CLS] The Learning Channel ' s Great Books werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],The Learning Channel,TLC:2,0,TLC:2,0,-1.00436
[CLS] The Sisterhood:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],tv en tv,TLC:2,0,TLC:2,0,-1.35004
