sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Vacansoleil:4 bevindt zich in [MASK] [MASK] . [SEP],de stad,Nederland,0,Nederland,0,-2.29432
[CLS] KLM:2 Cityhopper:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],KLM:2 Cityhopper:3,Nederland,0,Nederland,0,-0.22717
[CLS] COVRA:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de Bilbao Bilbao,Nederland,0,Nederland,0,-2.83714
[CLS] Corendon:3 Dutch Airlines bevindt zich in [MASK] [MASK] [MASK] . [SEP],de luchthaven:2,Nederland,0,Nederland,0,-2.16635
[CLS] Douwe:2 Egberts:4 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de parochiekerk:2,Nederland,0,Nederland,0,-1.01283
[CLS] Jan van den Heuvel:2 bevindt zich in [MASK] [MASK] . [SEP],de wijk,Nederland,0,Nederland,0,-1.30520
[CLS] Stork:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.69049
[CLS] Eyes + more bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de muziek van Pink Floyd,Duitsland,0,Duitsland,0,-2.09837
[CLS] Rochdale:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de regio Rochdale:3,Nederland,0,Nederland,0,-1.22175
[CLS] EHMA:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],EHMA:3,Nederland,0,Nederland,0,-1.30872
[CLS] Podium:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de 1e klasse,Nederland,0,Nederland,0,-1.52855
[CLS] Nederlandsche:2 Electrolasch:5 Maatschappij:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de gemeente Rotterdam,Nederland,0,Nederland,0,-2.48864
[CLS] Gemalto:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],het Gemalto:3,Nederland,0,Nederland,0,-1.52470
[CLS] VEON:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de wijk Rotterdam,Verenigd Koninkrijk,0,Verenigd Koninkrijk,0,-2.25269
[CLS] Hitachi:2 Construction Machinery:2 Europe NV:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],het centrum van Hitachi:2,Nederland,0,Nederland,0,-1.37969
[CLS] Fair Wear:2 Foundation bevindt zich in [MASK] [MASK] [MASK] . [SEP],Fair Wear:2,Nederland,0,Nederland,0,-0.71866
[CLS] Koni:2 bevindt zich in [MASK] [MASK] . [SEP],Koni:2,Nederland,0,Nederland,0,-1.20957
[CLS] Koninklijk:4 Wiskundig:3 Genootschap:3 bevindt zich in [MASK] [MASK] . [SEP],de kerk,Nederland,0,Nederland,0,-2.05674
[CLS] Hajenius:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de stad Hajenius:3,Nederland,0,Nederland,0,-1.53794
[CLS] Albert Heijn:2 bevindt zich in [MASK] [MASK] . [SEP],de kerk,Nederland,0,Nederland,0,-1.82602
[CLS] Audax:3 holding bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Verenigde Staten en Canada,Nederland,0,Nederland,0,-2.06885
[CLS] Radarsoft:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de kerk,Nederland,0,Nederland,0,-1.74598
[CLS] Klene:2 bevindt zich in [MASK] [MASK] . [SEP],de kerk,Nederland,0,Nederland,0,-1.52577
[CLS] Mammoet:4 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de regio Mammoe:3,Nederland,0,Nederland,0,-1.68482
[CLS] Strukton:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.81000
[CLS] J . B . Wolters:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Wolters:3,Nederland,0,Nederland,0,-1.37927
[CLS] Sikkens:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Sikkens:3,Nederland,0,Nederland,0,-1.16143
[CLS] Algemene:3 Kunstzijde:2 Unie bevindt zich in [MASK] [MASK] . [SEP],de kerk,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.60222
[CLS] EXOR:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de stad van de stad,Italië,0,Italië,0,-2.78114
[CLS] Eneco:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de Bilbao Bilbao,Nederland,0,Nederland,0,-2.00687
[CLS] Nederlands Instituut voor Beeld:2 en Geluid:3 bevindt zich in [MASK] [MASK] . [SEP],Den Haag,Nederland,0,Nederland,0,-1.18866
[CLS] uShip:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de U . S,Nederland,0,Nederland,0,-1.31412
[CLS] NRC:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de kerk,Nederland,0,Nederland,0,-1.76133
[CLS] Wagenborg:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Wagenborg:2,Nederland,0,Nederland,0,-1.40134
[CLS] NLR:2 Air Transport Safety Institute bevindt zich in [MASK] [MASK] [MASK] . [SEP],de luchthaven:2,Nederland,0,Nederland,0,-2.27527
[CLS] De Volksbank:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de Volksbank:3,Nederland,0,Nederland,0,-1.53412
[CLS] Zilveren:2 Kruis:2 bevindt zich in [MASK] [MASK] . [SEP],de kerk,Nederland,0,Nederland,0,-1.00531
[CLS] Dutch Space bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.88245
[CLS] Takeaway:2 . com bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-2.01745
[CLS] Apollo Vredestein:3 BV bevindt zich in [MASK] [MASK] [MASK] . [SEP],Vredestein:3,Nederland,0,Nederland,0,-0.14553
[CLS] Mokum:2 Records bevindt zich in [MASK] [MASK] . [SEP],Mokum:2,Nederland,0,Nederland,0,-1.18789
[CLS] HES:2 Beheer:2 bevindt zich in [MASK] [MASK] . [SEP],de gemeente,Nederland,0,Nederland,0,-1.82312
[CLS] ID & T bevindt zich in [MASK] [MASK] [MASK] . [SEP],de wijk Rotterdam,Nederland,0,Nederland,0,-2.40582
[CLS] Packard Bell bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.77798
[CLS] Brouwerij:3 De Molen:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],De Molen:2,Nederland,0,Nederland,0,-0.45876
[CLS] Bank Mendes Gans:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Mendes Gans:2,Nederland,0,Nederland,0,-0.70675
[CLS] Van Bommel:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de wijk Van Bommel:2,Nederland,0,Nederland,0,-1.22404
[CLS] Vitens:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Vitens:2,Nederland,0,Nederland,0,-1.49795
[CLS] PPF:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de PPF:2,Nederland,0,Nederland,0,-2.32939
[CLS] NXP:3 Semiconductors:4 bevindt zich in [MASK] [MASK] [MASK] . [SEP],NXP:3,Nederland,0,Nederland,0,-0.39975
[CLS] Nederlandsche:2 Dok en Scheepsbouw:4 Maatschappij:2 bevindt zich in [MASK] [MASK] . [SEP],de kerk,Nederland,0,Nederland,0,-2.06100
[CLS] The Moscow Times bevindt zich in [MASK] [MASK] . [SEP],de stad,Nederland,0,Nederland,0,-1.55617
[CLS] Nedap:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Nedap:2,Nederland,0,Nederland,0,-1.36035
[CLS] Getronics:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Getronics:3,Nederland,0,Nederland,0,-0.80054
[CLS] TopNotch:4 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de TopNotch:4,Nederland,0,Nederland,0,-1.10362
[CLS] Auping:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Auping:2,Nederland,0,Nederland,0,-1.20415
[CLS] Kristalunie:3 Maastricht bevindt zich in [MASK] . [SEP],Maastricht,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.16111
[CLS] Nederlandse Aardolie:3 Maatschappij:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Nederlandse Aardolie:3,Nederland,0,Nederland,0,-0.82639
[CLS] The Enschedé:3 Font Foundry:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Enschedé:3,Nederland,0,Nederland,0,-0.37271
[CLS] Dura:2 Vermeer:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Dura:2 Vermeer:2,Nederland,0,Nederland,0,-1.09019
[CLS] GasTerra:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],GasTerra:3,Nederland,0,Nederland,0,-0.88953
[CLS] Hotel Des Indes:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de wijk Des Indes:2,Nederland,0,Nederland,0,-1.27195
[CLS] Droog:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Droog:2,Nederland,0,Nederland,0,-1.25144
[CLS] KEMA:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],: KEMA:3,Nederland,0,Nederland,0,-1.86472
[CLS] Covens:2 en Mortier:2 bevindt zich in [MASK] [MASK] . [SEP],de gemeente,Nederland,0,Nederland,0,-1.60245
[CLS] Friesch:2 Dagblad:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Friesch:2 Dagblad:2,Nederland,0,Nederland,0,-0.54209
[CLS] TP Vision bevindt zich in [MASK] [MASK] [MASK] . [SEP],de torens:2,Nederland,0,Nederland,0,-2.41703
[CLS] Koninklijke BAM:2 Groep:2 bevindt zich in [MASK] [MASK] . [SEP],Den Haag,Nederland,0,Nederland,0,-1.60978
[CLS] Ligue des Bibliothèques:2 Européennes:3 de Recherche bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],het gebouw van de universiteit,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.80377
[CLS] SBM:2 Offshore:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.87644
[CLS] Damen Schelde:3 Naval Shipbuilding:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Damen Schelde:3,Nederland,0,Nederland,0,-0.61190
[CLS] Fugro:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de regio Fugro:2,Nederland,0,Nederland,0,-1.81379
[CLS] Leidsch:3 Dagblad:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Leidsch:3 Dagblad:2,Nederland,0,Nederland,0,-0.76715
[CLS] Smit:2 Internationale bevindt zich in [MASK] [MASK] . [SEP],Smit:2,Nederland,0,Nederland,0,-1.35585
[CLS] Meulenhoff:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.71807
[CLS] CheapTickets:5 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.87017
[CLS] Koninklijke De Kuyper:3 bevindt zich in [MASK] [MASK] . [SEP],Beek:2,Nederland,0,Nederland,0,-2.28940
[CLS] De Nederlandsche:2 Bank bevindt zich in [MASK] [MASK] . [SEP],Den Haag,Nederland,0,Nederland,0,-0.94285
[CLS] Eurailscout:4 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van Eurail:2,Duitsland,0,Duitsland,0,-1.52588
[CLS] VDL:3 Groep:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],VDL:3,Nederland,0,Nederland,0,-0.62965
[CLS] Hope & Co bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.75453
[CLS] Trouw:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Trouw:3,Nederland,0,Nederland,0,-1.20577
[CLS] GVB:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],GVB:3,Nederland,0,Nederland,0,-0.46582
[CLS] Nettorama:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],district en district,Nederland,0,Nederland,0,-1.28977
[CLS] Nationaal Instituut voor Budgetvoorlichting:4 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de Nederlandse provincie Limburg,Nederland,0,Nederland,0,-2.22155
[CLS] Van Berkel:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.95185
[CLS] Hollandsche:2 Constructie:3 Werkplaatsen:2 bevindt zich in [MASK] [MASK] . [SEP],de gemeente,Nederland,0,Nederland,0,-1.91034
[CLS] Budelse:2 Brouwerij:3 bevindt zich in [MASK] [MASK] . [SEP],Budelse:2,Nederland,0,Nederland,0,-0.36914
[CLS] De Maasbode:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de Maasbode:3,Nederland,0,Nederland,0,-0.84611
[CLS] De Telegraaf:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],De Telegraaf:3,Nederland,0,Nederland,0,-1.08386
[CLS] NIBC:3 Bank bevindt zich in [MASK] [MASK] [MASK] . [SEP],NIBC:3,Nederland,0,Nederland,0,-0.21970
[CLS] Leeuwarder:3 Courant:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de provincie Leeuwa:2,Nederland,0,Nederland,0,-1.13964
[CLS] Kurhaus:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de wijk Kurhaus:2,Nederland,0,Nederland,0,-1.78519
[CLS] Moksel:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Moksel:3,Duitsland,0,Duitsland,0,-1.02880
[CLS] Wavin:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.92391
[CLS] LeasePlan:4 Corporation bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],LeasePlan:4,Nederland,0,Nederland,0,-0.63439
[CLS] Fabriekscomplex:5 Jannink:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Jannink:3,Nederland,0,Nederland,0,-0.51892
[CLS] Noordhoff:2 Uitgevers:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de stad Noordhoff:2,Nederland,0,Nederland,0,-1.57201
[CLS] Koninklijke Niestern:2 - Sander bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Niestern:2,Nederland,0,Nederland,0,-1.63757
[CLS] Energiecentrale:3 Den Haag bevindt zich in [MASK] [MASK] . [SEP],Den Haag,Nederland,0,Nederland,0,-0.07572
[CLS] Displeased:4 Records bevindt zich in [MASK] [MASK] [MASK] . [SEP],de Verenigde Staten,Nederland,0,Nederland,0,-1.90342
[CLS] Zylom:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de regio Zylom:3,Nederland,0,Nederland,0,-1.17421
[CLS] Stichting Onderzoek:2 Multinationale:3 Ondernemingen:3 bevindt zich in [MASK] . [SEP],Nederland,Nederland,1,Nederland,1,-2.41603
[CLS] Randstad:2 NV:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Randstad:2 NV:2,Nederland,0,Nederland,0,-0.33928
[CLS] ASR:2 Nederland bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Nederlandse ASR:2 Nederland,Nederland,0,Nederland,0,-1.31395
[CLS] Avebe:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Avebe:2,Nederland,0,Nederland,0,-1.34493
[CLS] Koninklijke KPN:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de gemeente Rotterdam,Nederland,0,Nederland,0,-2.15113
[CLS] Guerrilla:3 Games bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Verenigde Staten en Canada,Nederland,0,Nederland,0,-1.73567
[CLS] Veolia:2 Transport Nederland bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Veolia:2 Transport Nederland,Nederland,0,Nederland,0,-1.34471
[CLS] Gazelle:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Gazelle:3,Nederland,0,Nederland,0,-1.09969
[CLS] Gunvor:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van Gunvor:2,Nederland,0,Nederland,0,-1.67484
[CLS] Rabobank:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de wijk Rotterdam,Nederland,0,Nederland,0,-1.83819
[CLS] Perfetti:3 Van Melle:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de gemeente Van Melle:2,Nederland,0,Nederland,0,-1.08317
[CLS] ING:2 Groep:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],de Nederlandse provincie Limburg,Nederland,0,Nederland,0,-2.33860
[CLS] Lucas Bols:2 bevindt zich in [MASK] [MASK] . [SEP],de kerk,Nederland,0,Nederland,0,-1.71256
[CLS] STMicroelectronics:7 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de stad Roemer:3,Nederland,0,Nederland,0,-2.56197
[CLS] ICI:2 PARIS:3 XL bevindt zich in [MASK] [MASK] [MASK] . [SEP],de wijk Rotterdam,België,0,België,0,-2.44108
[CLS] Ballast:2 Nedam:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Nederland,0,Nederland,0,-1.69823
[CLS] Louis Dreyfus Company bevindt zich in [MASK] [MASK] [MASK] . [SEP],D . D,Frankrijk,0,Frankrijk,0,-1.49269
