sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Zoltán Lantos:2 plays [MASK] [MASK] [MASK] . [SEP],a . k,jazz violin,0,jazz violin,0,-2.03319
[CLS] Zsigmond Szathmáry:5 plays [MASK] [MASK] [MASK] . [SEP],a . p,organ,0,organ,0,-1.75888
[CLS] Zsolt:3 Gárdonyi:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .,organ,0,organ,0,-1.74534
[CLS] John Sigismund Zápolya:4 plays [MASK] [MASK] . [SEP],the violin,organ,0,organ,0,-1.96173
[CLS] Emánuel:3 Moór:2 plays [MASK] [MASK] . [SEP],the piano,piano,0,piano,0,-2.20115
[CLS] Bertalan:2 Hock:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .,organ,0,organ,0,-1.64099
[CLS] Dezső:3 Antalffy:2 - Zsiross:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a k . k,organ,0,organ,0,-2.03320
[CLS] Antos:2 Kálmán plays [MASK] [MASK] [MASK] . [SEP],a . k,organ,0,organ,0,-1.74510
[CLS] Tamás Barta:2 plays [MASK] [MASK] [MASK] . [SEP],the . v,voice,0,voice,0,-2.23366
[CLS] István Baróti:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,organ,0,organ,0,-1.91119
[CLS] Sándor Bárdi:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in . . . .,voice,0,voice,0,-2.26593
[CLS] Zorán:2 Sztevanovity:4 plays [MASK] [MASK] . [SEP],the actor,guitar,0,guitar,0,-1.57971
[CLS] László Bódi:3 plays [MASK] . [SEP],football,piano,0,piano,0,-1.82120
[CLS] Balázs Farkas:2 - Jenser:2 plays [MASK] [MASK] [MASK] . [SEP],the handball team,voice,0,voice,0,-1.32732
[CLS] György Filip plays [MASK] [MASK] [MASK] . [SEP],the . v,voice,0,voice,0,-2.01127
[CLS] Attila Garay:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,piano,0,piano,0,-1.69614
[CLS] János Gosztonyi:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the o . o,organ,0,organ,0,-1.93989
[CLS] Péter Huzella:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,voice,0,voice,0,-1.98675
[CLS] Gábor Ihász:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,voice,0,voice,0,-2.02672
[CLS] Tamás Kosóczki:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a left - half,organ,0,organ,0,-1.26330
[CLS] András Kozma:2 plays [MASK] [MASK] [MASK] . [SEP],the . v,voice,0,voice,0,-1.97401
[CLS] Zoltán Kékes:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .,guitar,0,guitar,0,-1.76305
[CLS] István Lerch:2 plays [MASK] [MASK] [MASK] . [SEP],the . v,piano,0,piano,0,-2.07256
[CLS] Vilmos:2 Leányfalusi:4 plays [MASK] [MASK] . [SEP],the role,organ,0,organ,0,-1.74812
[CLS] Csaba:2 Szigeti:3 plays [MASK] [MASK] [MASK] . [SEP],the . v,piano,0,piano,0,-2.18577
[CLS] János Másik:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,voice,0,voice,0,-2.26052
[CLS] Attila Mátyás:2 plays [MASK] [MASK] [MASK] . [SEP],the . v,voice,0,voice,0,-2.16028
[CLS] Péter Máté:2 plays [MASK] [MASK] [MASK] . [SEP],a . k,piano,0,piano,0,-1.83713
[CLS] Feró:2 Nagy plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,piano,0,piano,0,-1.84960
[CLS] Gábor Novai:2 plays [MASK] [MASK] [MASK] . [SEP],the . v,voice,0,voice,0,-2.06930
[CLS] Imre Poniklo:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,voice,0,voice,0,-1.95859
[CLS] Lóránt:3 Réz:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .,organ,0,organ,0,-1.72990
[CLS] Lilla Szathmáry:5 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the o . o,organ,0,organ,0,-2.13957
[CLS] Petra Varga plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,organ,0,organ,0,-1.89327
