sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Jeremiah:3 Clemens is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-2.02231
[CLS] Edith Bolling:2 Galt:2 Wilson is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-2.14845
[CLS] Carly:2 Fiorina:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Italy,Republican Party,0,Republican Party,0,-2.30583
[CLS] John Albert Carroll is a member of the [MASK] political party . [SEP],Carroll,Democratic Party,0,Democratic Party,0,-1.78120
[CLS] June Lockhart:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,California Republican Party,0,California Republican Party,0,-1.74142
[CLS] Charles Anderson is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Republican Party,0,Republican Party,0,-1.82213
[CLS] Oakley:2 C . Curtis is a member of the [MASK] [MASK] political party . [SEP],Tea Party,Democratic Party,0,Democratic Party,0,-1.42050
[CLS] John R . McKernan:5 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Republican Party,0,Republican Party,0,-1.79382
[CLS] Preston Smith is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-1.85354
[CLS] Dan Moody is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-1.83536
[CLS] Joshua Baker is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Unionist:2 Party,0,Unionist:2 Party,0,-1.94395
[CLS] Dale Bumpers:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-1.95588
[CLS] David Ignatius Walsh is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-1.94141
[CLS] Octaviano:3 Ambrosio:3 Larrazolo:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P . P,Republican Party,0,Republican Party,0,-1.31652
[CLS] James Sevier:2 Conway is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-1.96078
[CLS] Nathaniel Pitcher:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic - Republican Party,0,Democratic - Republican Party,0,-1.86966
[CLS] Henry Dodge is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],House House of Commons,Democratic Party,0,Democratic Party,0,-1.50935
[CLS] Lucius F . C . Garvin:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House House Party,Democratic Party,0,Democratic Party,0,-0.73731
[CLS] Ned McWherter:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-1.76744
[CLS] Francis T . Nicholls:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-1.77645
[CLS] Nathaniel Pitcher:2 Tallmadge:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic - Republican Party,0,Democratic - Republican Party,0,-2.11145
[CLS] William H . Murray is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-1.80844
[CLS] Silas:2 A . Holcomb:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-1.82833
[CLS] Julius Caldeen:3 Gunter:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Democratic Party,0,Democratic Party,0,-1.21077
[CLS] Thomas Clarke Rye:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Democratic Party,0,Democratic Party,0,-2.00280
[CLS] Earl L . Brewer is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],"Democratic Party , a Republican",Democratic Party,0,Democratic Party,0,-1.55326
[CLS] John H . Sununu:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Jana,Republican Party,0,Republican Party,0,-1.37859
[CLS] Harold Stassen:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],New York City,Republican Party,0,Republican Party,0,-1.79795
