sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Candy Dulfer:3 is [MASK] [MASK] burger:2 . [SEP],a Candy,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.71983
[CLS] Candy Dulfer:3 is [MASK] burger:2 . [SEP],Candy,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.19367
[CLS] Candy Dulfer:3 is [MASK] burger:2 . [SEP],the,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-2.45895
[CLS] Candy Dulfer:3 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],in a ' and -,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-4.13308
[CLS] Candy Dulfer:3 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],an . the ' s,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-4.28508
[CLS] Adrianus:2 Cornelis van Leeuwen:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.49542
[CLS] Adrianus:2 Cornelis van Leeuwen:2 is [MASK] burger:2 . [SEP],de,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.97876
[CLS] Adrianus:2 Cornelis van Leeuwen:2 is [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],in Nederlandse van -,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.41667
[CLS] Adrianus:2 Cornelis van Leeuwen:2 is [MASK] [MASK] burger:2 . [SEP],bekend bekend,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.68966
[CLS] Adrianus:2 Cornelis van Leeuwen:2 is [MASK] [MASK] [MASK] burger:2 . [SEP],ook een Nederlandse,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.82790
[CLS] Hans Dulfer:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.35741
[CLS] Hans Dulfer:3 is [MASK] burger:2 . [SEP],the,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-2.34653
[CLS] Hans Dulfer:3 is [MASK] [MASK] burger:2 . [SEP],an a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.65965
[CLS] Hans Dulfer:3 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],in a of ar:2,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.92552
[CLS] Hans Dulfer:3 is [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],": : . ,",Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-4.05995
[CLS] Max Werner is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.34996
[CLS] Max Werner is [MASK] burger:2 . [SEP],the,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.66265
[CLS] Max Werner is [MASK] [MASK] burger:2 . [SEP],an Swiss,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.54846
[CLS] Max Werner is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],his ' the the of,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.94862
[CLS] Max Werner is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],"in a ' ,r:2",Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-4.08498
[CLS] Hans Theessink:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.19227
[CLS] Hans Theessink:3 is [MASK] burger:2 . [SEP],the,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-2.69090
[CLS] Hans Theessink:3 is [MASK] [MASK] burger:2 . [SEP],an Belgian,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.31794
[CLS] Hans Theessink:3 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],"an by , of the",Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.90877
[CLS] Hans Theessink:3 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],"also the and the ,",Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-4.09946
[CLS] Ack:2 van Rooyen:3 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.66559
[CLS] Ack:2 van Rooyen:3 is [MASK] burger:2 . [SEP],de,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.76398
[CLS] Ack:2 van Rooyen:3 is [MASK] [MASK] burger:2 . [SEP],a de,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.51177
[CLS] Ack:2 van Rooyen:3 is [MASK] [MASK] burger:2 . [SEP],ook Vlaams,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.75992
[CLS] Ack:2 van Rooyen:3 is [MASK] [MASK] [MASK] burger:2 . [SEP],ook bekend de,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.99903
[CLS] Theo Loevendie:3 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.97281
[CLS] Theo Loevendie:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.33095
[CLS] Theo Loevendie:3 is [MASK] burger:2 . [SEP],de,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-2.18964
[CLS] Theo Loevendie:3 is [MASK] [MASK] burger:2 . [SEP],an Fryske,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.84062
[CLS] Theo Loevendie:3 is [MASK] [MASK] burger:2 . [SEP],is Belgische,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.88042
[CLS] Jan Ingenhoven:2 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.02424
[CLS] Jan Ingenhoven:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.53903
[CLS] Jan Ingenhoven:2 is [MASK] burger:2 . [SEP],de,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-2.74804
[CLS] Jan Ingenhoven:2 is [MASK] burger:2 . [SEP],the,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.21620
[CLS] Jan Ingenhoven:2 is [MASK] [MASK] [MASK] burger:2 . [SEP],"in : ,",Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-4.11800
[CLS] Igor Presnyakov:3 is [MASK] burger:2 . [SEP],a,Rusland,0,Rusland,0,-0.17044
[CLS] Igor Presnyakov:3 is [MASK] [MASK] burger:2 . [SEP],an a,Rusland,0,Rusland,0,-3.03522
[CLS] Igor Presnyakov:3 is [MASK] [MASK] burger:2 . [SEP],the Ukrainian,Rusland,0,Rusland,0,-3.23660
[CLS] Igor Presnyakov:3 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],in a the of the,Rusland,0,Rusland,0,-3.95272
[CLS] Igor Presnyakov:3 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],also of . ther:2,Rusland,0,Rusland,0,-4.19294
[CLS] Benjamin Herman is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.30375
[CLS] Benjamin Herman is [MASK] burger:2 . [SEP],the,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-2.29881
[CLS] Benjamin Herman is [MASK] [MASK] burger:2 . [SEP],an Danish,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.48186
[CLS] Benjamin Herman is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],"in a and , the",Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.79997
[CLS] Benjamin Herman is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],also the the therger:2,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.92176
[CLS] Jozef van Wissem:2 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.53028
[CLS] Jozef van Wissem:2 is [MASK] burger:2 . [SEP],de,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-2.77117
[CLS] Jozef van Wissem:2 is [MASK] burger:2 . [SEP],geen,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.44572
[CLS] Jozef van Wissem:2 is [MASK] burger:2 . [SEP],ook,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.65088
[CLS] Jozef van Wissem:2 is [MASK] [MASK] [MASK] [MASK] [MASK] burger:2 . [SEP],"van zijn - van ,",Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-4.02653
[CLS] Jan Akkerman:3 is [MASK] burger:2 . [SEP],a,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-0.74294
[CLS] Jan Akkerman:3 is [MASK] burger:2 . [SEP],een,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-1.82477
[CLS] Jan Akkerman:3 is [MASK] burger:2 . [SEP],Jan,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.03777
[CLS] Jan Akkerman:3 is [MASK] burger:2 . [SEP],the,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.23420
[CLS] Jan Akkerman:3 is [MASK] burger:2 . [SEP],de,Koninkrijk der Nederlanden,0,Koninkrijk der Nederlanden,0,-3.30352
