sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Beugró:3 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.75369
[CLS] Napoléon was created in [MASK] [MASK] [MASK] . [SEP],U . S,France,0,France,0,-1.38894
[CLS] Szomszédok:5 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.46288
[CLS] Gustav was created in [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,Hungary,0,Hungary,0,-1.21613
"[CLS] Magyarország , szeretlek:3 ! was created in [MASK] [MASK] [MASK] . [SEP]",S . A,Hungary,0,Hungary,0,-2.04798
[CLS] Mindenből:2 egy van was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the beginning of the game,Hungary,0,Hungary,0,-1.64168
[CLS] Work Matters:2 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],conjunction with Work Matters:2,Hungary,0,Hungary,0,-0.98513
[CLS] Panoráma:3 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.25763
[CLS] Táncdalfesztivál:7 was created in [MASK] [MASK] . [SEP],the year,Hungary,0,Hungary,0,-1.57710
[CLS] Vidám:2 Vasárnap:3 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.53351
[CLS] Meister Eder:2 und sein Pumuckl:4 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Germany by Meister Eder:2,Germany,0,Germany,0,-1.41328
[CLS] The Pillars:3 of the Earth was created in [MASK] [MASK] . [SEP],the universe,Canada,0,Canada,0,-1.88223
[CLS] Barátok:3 közt was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-1.52965
[CLS] Csillag:3 születik:3 was created in [MASK] [MASK] [MASK] . [SEP],S . A,Hungary,0,Hungary,0,-1.89704
[CLS] Citizen X was created in [MASK] [MASK] [MASK] [MASK] . [SEP],2014 . Citizen X,United States of America,0,United States of America,0,-1.46842
[CLS] Megasztár:3 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-1.49747
[CLS] X - Faktor:2 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.14173
[CLS] Rasputin:3 : Dark Servant:2 of Destiny was created in [MASK] [MASK] [MASK] . [SEP],U . S,United States of America,0,United States of America,0,-0.85654
[CLS] Shot Through the Heart was created in [MASK] [MASK] . [SEP],the film,Canada,0,Canada,0,-1.79012
[CLS] Balázs show was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.62386
[CLS] Psychic:4 Readings:2 Live was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],2012 by Psych:3,Hungary,0,Hungary,0,-1.76256
[CLS] Áll:2 az alku:2 was created in [MASK] [MASK] [MASK] . [SEP],S . A,Hungary,0,Hungary,0,-1.79314
[CLS] A Dal was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.29589
[CLS] Marci:2 és a kapitány:3 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-0.93930
[CLS] Társas:3 játék was created in [MASK] [MASK] . [SEP],the 1990s,Hungary,0,Hungary,0,-2.01196
[CLS] The special adventures:2 of Aladár:3 Mézga:4 was created in [MASK] [MASK] [MASK] . [SEP],the 1880s:2,Hungary,0,Hungary,0,-1.59438
[CLS] Rising Star was created in [MASK] [MASK] . [SEP],the 1990s,Hungary,0,Hungary,0,-2.02330
[CLS] Ridikül:4 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-1.26775
[CLS] Golden Life was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.45209
[CLS] Demimonde:3 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.42115
[CLS] Való:2 Világ:3 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.55494
[CLS] Csak:2 színház:3 és más semmi:2 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the center of the city,Hungary,0,Hungary,0,-1.48991
[CLS] Hungary ' s Got Talent was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Hungary ' s Got Talent,Hungary,0,Hungary,0,-0.45011
[CLS] Star Academy was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.24148
[CLS] Family Circle was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.28457
[CLS] Sznobjektív:5 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-1.61582
[CLS] The Real Housewives:3 of Hungary was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.08886
[CLS] A Fal:2 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.27439
[CLS] The Witcher:2 was created in [MASK] [MASK] [MASK] . [SEP],U . S,United States of America,0,United States of America,0,-1.10269
[CLS] Eternal Winter was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.31069
[CLS] Captives:2 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-0.86066
"[CLS] Nicsak:2 , ki vagyok:2 ? was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",the making of the film,Hungary,0,Hungary,0,-1.94802
[CLS] Való:2 Világ:3 ( season 10 ) was created in [MASK] [MASK] . [SEP],the 1960s,Hungary,0,Hungary,0,-1.63566
[CLS] Made in Karantén:3 was created in [MASK] [MASK] [MASK] . [SEP],the same year,Hungary,0,Hungary,0,-1.38255
[CLS] Neked:2 énekelek:2 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.54111
[CLS] Magyar tájak:2 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],1912 . A . S,Hungary,0,Hungary,0,-1.77573
[CLS] Mellékhatás:4 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-1.34699
[CLS] Doktor Balaton:2 was created in [MASK] [MASK] [MASK] . [SEP],S . A,Hungary,0,Hungary,0,-1.94406
[CLS] Drót:2 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-1.44938
[CLS] The Informant:3 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.03884
"[CLS] Meister Eder:2 und sein Pumuckl:4 , season 1 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",U . S . A,Germany,0,Germany,0,-1.45873
[CLS] Stalin was created in [MASK] [MASK] [MASK] . [SEP],U . S,United States of America,0,United States of America,0,-1.02053
