sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] B . B . King [MASK] [MASK] játszik:2 . [SEP],- dal,gitár,0,gitár,0,-0.77654
[CLS] Joe Satriani:3 [MASK] [MASK] játszik:2 . [SEP],- dal,gitár,0,gitár,0,-1.19030
[CLS] Billy Joel [MASK] [MASK] játszik:2 . [SEP],- dal,harmonika:2,0,harmonika:2,0,-1.26284
[CLS] Sheryl:2 Crow [MASK] [MASK] játszik:2 . [SEP],- dal,harmonika:2,0,harmonika:2,0,-0.87122
[CLS] Willie Nelson [MASK] játszik:2 . [SEP],##nek,gitár,0,gitár,0,-1.07944
[CLS] Charlie Creath:3 [MASK] játszik:2 . [SEP],##ben,szaxofon:4,0,szaxofon:4,0,-0.69445
[CLS] Pat Metheny:3 [MASK] játszik:2 . [SEP],##ben,gitár,0,gitár,0,-0.67126
[CLS] Billy Ray Cyrus [MASK] [MASK] játszik:2 . [SEP],- dal,gitár,0,gitár,0,-1.26224
[CLS] Julieta:2 Venegas:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],"az az az , amit Julieta:2 Venegas:2",harmonika:2,0,harmonika:2,0,-0.90434
[CLS] Amanda Michalka:2 [MASK] [MASK] [MASK] játszik:2 . [SEP],a családban:2,gitár,0,gitár,0,-1.58395
[CLS] Doyle Bramhall:3 II [MASK] [MASK] játszik:2 . [SEP],- ban,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.89826
[CLS] Joe Dassin:2 [MASK] játszik:2 . [SEP],##ben,gitár,0,gitár,0,-0.77167
[CLS] Mark Arm [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##ourn:2 játszik:2 . Martyn:2 Armourn:3,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.37491
[CLS] Corey Taylor [MASK] [MASK] játszik:2 . [SEP],- t,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.46449
[CLS] Jeff Hanneman:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. az . hu - n Jeff Hannemann:3,gitár,0,gitár,0,-1.57866
[CLS] Layne:2 Staley:2 [MASK] [MASK] [MASK] játszik:2 . [SEP],a családban:2,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.49947
[CLS] Carl Perkins [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],Co . Co . Co . Co .,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.14617
[CLS] Billy Preston [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],", sz . sz . Billy Prestont:2",zongora:2,0,zongora:2,0,-1.28280
[CLS] Eric Johnson [MASK] játszik:2 . [SEP],##ban,gitár,0,gitár,0,-1.51147
[CLS] Lead Belly:2 [MASK] [MASK] játszik:2 . [SEP],- ban,harmonika:2,0,harmonika:2,0,-1.32964
[CLS] Alan Menken:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. az E . E . E - ban,zongora:2,0,zongora:2,0,-1.51902
[CLS] Corey Harris [MASK] játszik:2 . [SEP],##t,gitár,0,gitár,0,-0.69217
[CLS] Robert Berry [MASK] játszik:2 . [SEP],##ben,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.88332
[CLS] Scott Weiland:2 [MASK] [MASK] játszik:2 . [SEP],- dal,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.12858
[CLS] Gil Goldstein [MASK] játszik:2 . [SEP],##ben,harmonika:2,0,harmonika:2,0,-1.55747
[CLS] Kelly Gray [MASK] [MASK] játszik:2 . [SEP],- is,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.54915
[CLS] David Hidalgo [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. Az osztályban:4,harmonika:2,0,harmonika:2,0,-1.59572
[CLS] Bill Frisell:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. Bill Frisell:3 . A szemet:3,gitár,0,gitár,0,-1.20793
[CLS] John Abercrombie:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. S . O . S . A . -,gitár,0,gitár,0,-1.42872
[CLS] Sister Rosetta:2 Tharpe:3 [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],a televízióban:4,gitár,0,gitár,0,-1.20735
[CLS] Pauline Oliveros:2 [MASK] játszik:2 . [SEP],##ban,harmonika:2,0,harmonika:2,0,-0.94854
[CLS] Kaki:2 King [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],"##en , Kin:2 , Kin:2 , Kin:2",gitár,0,gitár,0,-1.59919
[CLS] Daniel Sea [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##r . A szerepét:4,harmonika:2,0,harmonika:2,0,-1.74698
[CLS] Scott Storch:3 [MASK] játszik:2 . [SEP],##ben,electronic keyboard,0,electronic keyboard,0,-0.99208
[CLS] Roy Bittan:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],", a 2 . és a 3 .t:2",harmonika:2,0,harmonika:2,0,-1.41135
[CLS] Peter Cetera:2 [MASK] játszik:2 . [SEP],##ban,harmonika:2,0,harmonika:2,0,-1.08946
[CLS] Amy Denio:2 [MASK] játszik:2 . [SEP],##vel,szaxofon:4,0,szaxofon:4,0,-1.19043
[CLS] James Hetfield:2 [MASK] [MASK] játszik:2 . [SEP],- dal,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.18985
[CLS] Sonny Fortune [MASK] játszik:2 . [SEP],##t,klarinét:3,0,klarinét:3,0,-1.28560
[CLS] Andrea Parkins:2 [MASK] [MASK] játszik:2 . [SEP],##onban:2,harmonika:2,0,harmonika:2,0,-1.16966
[CLS] Nils Lofgren:3 [MASK] [MASK] játszik:2 . [SEP],- nem,harmonika:2,0,harmonika:2,0,-1.54809
[CLS] Eugene Hütz:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##mann a szerepét:4,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.48489
[CLS] Eddie Willis [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],". - Eddie Willis . A játszik:2 , a",elektromos:3 gitár,0,elektromos:3 gitár,0,-1.32440
[CLS] John Linnell:2 [MASK] [MASK] játszik:2 . [SEP],- dal,harmonika:2,0,harmonika:2,0,-1.02557
[CLS] Arthur Barrow [MASK] [MASK] játszik:2 . [SEP],- ban,basszusgitár:4,0,basszusgitár:4,0,-0.77903
[CLS] Louis Nelson Delisle:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],", a zenekarban:2 , a zenekarban:2",harmonika:2,0,harmonika:2,0,-1.44871
[CLS] Vince Gill [MASK] játszik:2 . [SEP],##en,gitár,0,gitár,0,-1.58880
