sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Beugró:3 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.75365
[CLS] Napoléon was created in [MASK] [MASK] [MASK] . [SEP],U . S,France,0,France,0,-1.38890
[CLS] Szomszédok:5 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.46285
[CLS] Gustav was created in [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,Hungary,0,Hungary,0,-1.21610
"[CLS] Magyarország , szeretlek:3 ! was created in [MASK] [MASK] [MASK] . [SEP]",S . A,Hungary,0,Hungary,0,-2.04794
[CLS] Mindenből:2 egy van was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the beginning of the game,Hungary,0,Hungary,0,-1.64165
[CLS] Work Matters:2 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],conjunction with Work Matters:2,Hungary,0,Hungary,0,-0.98510
[CLS] Panoráma:3 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.25760
[CLS] Táncdalfesztivál:7 was created in [MASK] [MASK] . [SEP],the year,Hungary,0,Hungary,0,-1.57706
[CLS] Vidám:2 Vasárnap:3 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.53347
[CLS] Meister Eder:2 und sein Pumuckl:4 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Germany by Meister Eder:2,Germany,0,Germany,0,-1.41326
[CLS] The Pillars:3 of the Earth was created in [MASK] [MASK] . [SEP],the universe,Canada,0,Canada,0,-1.88219
[CLS] Barátok:3 közt was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-1.52962
[CLS] Csillag:3 születik:3 was created in [MASK] [MASK] [MASK] . [SEP],S . A,Hungary,0,Hungary,0,-1.89700
[CLS] Citizen X was created in [MASK] [MASK] [MASK] [MASK] . [SEP],2014 . Citizen X,United States of America,0,United States of America,0,-1.46839
[CLS] Megasztár:3 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-1.49744
[CLS] X - Faktor:2 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.14170
[CLS] Rasputin:3 : Dark Servant:2 of Destiny was created in [MASK] [MASK] [MASK] . [SEP],U . S,United States of America,0,United States of America,0,-0.85651
[CLS] Shot Through the Heart was created in [MASK] [MASK] . [SEP],the film,Canada,0,Canada,0,-1.79008
[CLS] Balázs show was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.62382
[CLS] Psychic:4 Readings:2 Live was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],2012 by Psych:3,Hungary,0,Hungary,0,-1.76253
[CLS] Áll:2 az alku:2 was created in [MASK] [MASK] [MASK] . [SEP],S . A,Hungary,0,Hungary,0,-1.79311
[CLS] A Dal was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.29585
[CLS] Marci:2 és a kapitány:3 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-0.93928
[CLS] Társas:3 játék was created in [MASK] [MASK] . [SEP],the 1990s,Hungary,0,Hungary,0,-2.01192
