sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Dominónap:4 [MASK] készítették:2 . [SEP],##ban,Hollandia:2,0,Hollandia:2,0,-1.31463
[CLS] Dominónap:4 [MASK] készítették:2 . [SEP],után,Hollandia:2,0,Hollandia:2,0,-1.78320
[CLS] The Winner Is [MASK] [MASK] [MASK] készítették:2 . [SEP],a filmhez:2,Hollandia:2,0,Hollandia:2,0,-1.39557
[CLS] The Winner Is [MASK] [MASK] készítették:2 . [SEP],You filmet,Hollandia:2,0,Hollandia:2,0,-2.86764
[CLS] The Generation Game [MASK] [MASK] készítették:2 . [SEP],-t:2,Hollandia:2,0,Hollandia:2,0,-2.45365
[CLS] The Generation Game [MASK] [MASK] készítették:2 . [SEP],##r és,Hollandia:2,0,Hollandia:2,0,-2.80538
[CLS] That ' s Life ! [MASK] [MASK] készítették:2 . [SEP],- nak,Hollandia:2,0,Hollandia:2,0,-1.86304
[CLS] That ' s Life ! [MASK] [MASK] készítették:2 . [SEP],! t,Hollandia:2,0,Hollandia:2,0,-2.72123
[CLS] Mästarnas:3 mästare:2 [MASK] készítették:2 . [SEP],##t,Hollandia:2,0,Hollandia:2,0,-0.42936
[CLS] Mästarnas:3 mästare:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],az a a . az az az őt:2,Hollandia:2,0,Hollandia:2,0,-2.82954
[CLS] Leute wie du und ich [MASK] [MASK] készítették:2 . [SEP],-hez:2,Hollandia:2,0,Hollandia:2,0,-2.72144
[CLS] Leute wie du und ich [MASK] készítették:2 . [SEP],##et,Hollandia:2,0,Hollandia:2,0,-2.94631
[CLS] To Tell the Truth [MASK] készítették:2 . [SEP],##hez,Hollandia:2,0,Hollandia:2,0,-1.62607
[CLS] To Tell the Truth [MASK] készítették:2 . [SEP],##t,Hollandia:2,0,Hollandia:2,0,-2.20499
[CLS] Nonni:2 and Manni:2 [MASK] készítették:2 . [SEP],által,Hollandia:2,0,Hollandia:2,0,-0.88682
[CLS] Nonni:2 and Manni:2 [MASK] készítették:2 . [SEP],alapján,Hollandia:2,0,Hollandia:2,0,-2.22266
[CLS] Expeditie:3 Robinson 2010 [MASK] [MASK] készítették:2 . [SEP],- ben,Hollandia:2,0,Hollandia:2,0,-0.95314
[CLS] Expeditie:3 Robinson 2010 [MASK] készítették:2 . [SEP],után,Hollandia:2,0,Hollandia:2,0,-2.42924
[CLS] Muki:2 Doki:2 [MASK] [MASK] készítették:2 . [SEP],- nak,Egyesült Királyság,0,Egyesült Királyság,0,-1.17064
[CLS] Muki:2 Doki:2 [MASK] készítették:2 . [SEP],-,Egyesült Királyság,0,Egyesült Királyság,0,-2.61863
[CLS] Freewheelers:4 [MASK] készítették:2 . [SEP],##t,Hollandia:2,0,Hollandia:2,0,-1.57621
[CLS] Freewheelers:4 [MASK] készítették:2 . [SEP],##et,Hollandia:2,0,Hollandia:2,0,-1.65123
[CLS] Room 101 [MASK] készítették:2 . [SEP],##t,Hollandia:2,0,Hollandia:2,0,-1.18645
[CLS] Room 101 [MASK] készítették:2 . [SEP],##et,Hollandia:2,0,Hollandia:2,0,-2.69624
[CLS] The Ex - Wives:2 Club [MASK] [MASK] készítették:2 . [SEP],- nak,Hollandia:2,0,Hollandia:2,0,-1.87550
[CLS] The Ex - Wives:2 Club [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],"az a a az , , az azrt:3",Hollandia:2,0,Hollandia:2,0,-2.66780
[CLS] Nachtegiel:3 [MASK] készítették:2 . [SEP],##hez,Hollandia:2,0,Hollandia:2,0,-1.47801
[CLS] Nachtegiel:3 [MASK] készítették:2 . [SEP],##ből,Hollandia:2,0,Hollandia:2,0,-1.98361
[CLS] Expeditie:3 Robinson 2011 [MASK] [MASK] készítették:2 . [SEP],- ben,Hollandia:2,0,Hollandia:2,0,-0.80187
[CLS] Expeditie:3 Robinson 2011 [MASK] készítették:2 . [SEP],után,Hollandia:2,0,Hollandia:2,0,-2.54670
[CLS] Flikken:2 [MASK] [MASK] készítették:2 . [SEP],filmnek:2,Hollandia:2,0,Hollandia:2,0,-1.98104
[CLS] Flikken:2 [MASK] készítették:2 . [SEP],##t,Hollandia:2,0,Hollandia:2,0,-2.56431
[CLS] Gamekings:3 [MASK] [MASK] készítették:2 . [SEP],- is,Hollandia:2,0,Hollandia:2,0,-1.82676
[CLS] Gamekings:3 [MASK] készítették:2 . [SEP],-,Hollandia:2,0,Hollandia:2,0,-2.05004
[CLS] Expeditie:3 Robinson 2012 [MASK] [MASK] készítették:2 . [SEP],- ben,Belgium,0,Belgium,0,-1.31901
[CLS] Expeditie:3 Robinson 2012 [MASK] készítették:2 . [SEP],után,Belgium,0,Belgium,0,-2.54802
