sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Gábor Garai:2 is lid van de [MASK] politieke partij . [SEP],lokale,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-1.55668
[CLS] Lénárd:3 Pál is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Lénárd:3 Pál -,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-0.81146
[CLS] István Simon is lid van de [MASK] politieke partij . [SEP],lokale,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-1.40447
[CLS] László Németh:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Németh:3 -,National Peasant:3 Party,0,National Peasant:3 Party,0,-0.88057
[CLS] Ferenc Kárpáti:4 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Kárpáti:4 -,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-0.48276
[CLS] István Géczi:3 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Hongaarse:3,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-1.29756
[CLS] János Lázár:3 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Hongaarse:3,Fidesz:3,0,Fidesz:3,0,-1.08516
[CLS] Lehotzky:3 Egyed:2 is lid van de [MASK] politieke partij . [SEP],lokale,Deák:2 - partij,0,Deák:2 - partij,0,-0.71565
[CLS] Bertalan:2 Andrásfalvy:3 is lid van de [MASK] politieke partij . [SEP],lokale,Hongaars:2 Democratisch:2 Forum,0,Hongaars:2 Democratisch:2 Forum,0,-0.94571
[CLS] Tivadar:3 Andrássy:2 is lid van de [MASK] politieke partij . [SEP],lokale,Liberale:2 Partij,0,Liberale:2 Partij,0,-1.14281
[CLS] István Apáthy:3 is lid van de [MASK] politieke partij . [SEP],lokale,Liberale:2 Partij,0,Liberale:2 Partij,0,-1.10366
[CLS] Pál Aszódi:3 is lid van de [MASK] politieke partij . [SEP],lokale,Fidesz:3,0,Fidesz:3,0,-1.52569
[CLS] Miklós Bartha:2 is lid van de [MASK] [MASK] politieke partij . [SEP],Hongaars:2,' 48 Independence Party,0,' 48 Independence Party,0,-1.37637
[CLS] Etele:2 Baráth:3 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Etele:2 Baráth:3,Hongaarse:3 Socialistische:2 Partij,0,Hongaarse:3 Socialistische:2 Partij,0,-0.64795
[CLS] Lajos Batthyány:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Batthyány:3 -,Liberale:2 Partij,0,Liberale:2 Partij,0,-0.64330
[CLS] Kata Beke:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Kata Beke:2 -,Hongaars:2 Democratisch:2 Forum,0,Hongaars:2 Democratisch:2 Forum,0,-0.97084
[CLS] Oszkár:3 Betlen:2 is lid van de [MASK] politieke partij . [SEP],lokale,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,Hongaarse:3 Socialistische:2 Arbeiderspartij:5,0,-1.18564
[CLS] Péter Olajos:2 is lid van de [MASK] [MASK] politieke partij . [SEP],Hongaars:2,Hongaars:2 Democratisch:2 Forum,0,Hongaars:2 Democratisch:2 Forum,0,-1.34390
[CLS] Béla Glattfelder:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Glattfelder:3 -,Fidesz:3,0,Fidesz:3,0,-1.04662
[CLS] András Bozóki:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Bozóki:3 -,Fidesz:3,0,Fidesz:3,0,-0.76970
[CLS] Ivor:2 Kaas:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Kaas:2 -,Liberale:2 Partij,0,Liberale:2 Partij,0,-1.05214
[CLS] Jenő Kaltenbach:3 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Hongaarse:3,Párbeszéd:5 Magyarországért:2,0,Párbeszéd:5 Magyarországért:2,0,-1.15193
