sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,NY █</w> █</w> █</w> █</w> █</w> █</w> █</w> kerület</w> területén</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-1.52205
</s> Long</w> Island</w> Rail</w> Road</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> délre</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-1.51737
</s> Association</w> for</w> Comput ing</w> Mach iner y</w> <special1> található</w> .</w> </s>,Amerikában</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-1.27876
</s> Iri dium</w> <special1> <special1> található</w> .</w> </s>,felső</w> nában</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-2.15863
</s> Metropolitan</w> Mű vé szeti</w> Múzeum</w> <special1> <special1> <special1> található</w> .</w> </s>,Mű művészeti</w> városban</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-1.32758
</s> Fun im ation</w> <special1> <special1> <special1> található</w> .</w> </s>,Ⅹ Észak- filmben</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-2.64794
</s> American</w> Broadcasting</w> Company</w> <special1> <special1> <special1> található</w> .</w> </s>,Észak- Észak- Államokban</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-2.21043
</s> Cis co</w> Systems</w> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Communic cég</w> Egyesült</w> nában</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-2.56463
</s> 3 M</w> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> Csehor szágban</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-2.10896
</s> Al coa</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,̇</w> █</w> ެ ެ ެ ެ ެ ެ Autó Spanyolországban</w>,Amerikai</w> Egyesült</w> Államok</w>,0,Amerikai</w> Egyesült</w> Államok</w>,0,-2.63355
