sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Tamás</w> K ád ár</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Lech</w> Poznań</w>,0,Lech</w> Poznań</w>,0,-0.09981
</s> Zoltán</w> Péter</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.36356
</s> Ferenc</w> Bab ati</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Ú jp est</w> FC</w>,0,Ú jp est</w> FC</w>,0,-0.09445
</s> Kor nél</w> Kul csá r</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Kapo sv ári</w> Rákó czi</w> FC</w>,0,Kapo sv ári</w> Rákó czi</w> FC</w>,0,-0.34421
</s> C saba</w> Pre klet</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.28471
</s> Géza</w> Tur i</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,C sep el</w> SC</w>,0,C sep el</w> SC</w>,0,-0.36571
</s> Ár pád</w> Maj oros</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,KS</w> Crac ovia</w>,0,KS</w> Crac ovia</w>,0,-0.29011
</s> Sándor</w> Hid vé gi</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,MT K</w> Budapest</w> FC</w>,0,MT K</w> Budapest</w> FC</w>,0,-0.13654
</s> Ár pád</w> Mil inte</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Kapo sv ári</w> Rákó czi</w> FC</w>,0,Kapo sv ári</w> Rákó czi</w> FC</w>,0,-0.16259
</s> György</w> Józ si</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Ferenc városi</w> TC</w>,1,Ferenc városi</w> TC</w>,1,-0.28399
</s> Norbert</w> Haj d ú</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.13877
</s> Bal áz s</w> Mol nár</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.23098
</s> Sándor</w> Preis inger</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.12920
</s> Zoltán</w> Ker eki</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Szom bat helyi</w> Hal ad ás</w>,0,Szom bat helyi</w> Hal ad ás</w>,0,-0.09706
</s> Vil mos</w> Mel cz er</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,MT K</w> Budapest</w> FC</w>,0,MT K</w> Budapest</w> FC</w>,0,-0.41200
</s> Attila</w> Krist on</w> plays</w> with</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Living ston</w> F.C.</w>,0,Living ston</w> F.C.</w>,0,-0.27350
</s> Zoltán</w> Bal og</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.20811
</s> András</w> Horvá th</w> plays</w> with</w> <special1> <special1> <special1> <special1> .</w> </s>,Rákó czi</w> Rákó czi</w>,Szom bat helyi</w> Hal ad ás</w>,0,Szom bat helyi</w> Hal ad ás</w>,0,-0.65139
</s> József</w> Boz sik</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.12960
</s> Krisz ti án</w> Bud ovin szky</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Budapesti</w> V SC</w>,0,Budapesti</w> V SC</w>,0,-0.21140
</s> Tamás</w> Bur ány i</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Gy ir mó t</w> SE</w>,0,Gy ir mó t</w> SE</w>,0,-0.13792
</s> Lajos</w> Dob ány</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Szom bat helyi</w> Hal ad ás</w>,0,Szom bat helyi</w> Hal ad ás</w>,0,-0.13928
</s> Ger gely</w> Dél cz eg</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Budapest</w> Hon véd</w> FC</w>,0,Budapest</w> Hon véd</w> FC</w>,0,-0.19042
</s> Róbert</w> Walt ner</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.50337
</s> Krisz ti án</w> Ken es ei</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Beijing</w> Gu oan</w> F.C.</w>,0,Beijing</w> Gu oan</w> F.C.</w>,0,-0.19900
</s> Péter</w> Kab át</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Budapest</w> Hon véd</w> FC</w>,0,Budapest</w> Hon véd</w> FC</w>,0,-0.34308
</s> Antal</w> Nagy</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Olympique</w> de</w> Marseille</w>,0,Olympique</w> de</w> Marseille</w>,0,-0.11470
</s> Tamás</w> Eger sz egi</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Ú jp est</w> FC</w>,0,Ú jp est</w> FC</w>,0,-0.15668
</s> C saba</w> Fer kó</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,III</w> .</w> Ker ület i</w> T UE</w>,0,III</w> .</w> Ker ület i</w> T UE</w>,0,-0.18538
</s> József</w> F itos</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.17421
</s> Ferenc</w> Fuj sz</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Z ala eger sz egi</w> TE</w>,0,Z ala eger sz egi</w> TE</w>,0,-0.12763
</s> Béla</w> Kop lá rov ics</w> plays</w> with</w> <special1> <special1> <special1> .</w> </s>,Ferenc városi</w> TC</w>,Shah r dari</w> Ara k</w> F.C.</w>,0,Shah r dari</w> Ara k</w> F.C.</w>,0,-0.11815
