sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Lantos:2 Zoltán egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.44185
[CLS] Szathmáry:5 Zsigmond egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.63239
[CLS] Gárdonyi:3 Zsolt:3 egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-1.14491
[CLS] II . János magyar király egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-1.07246
[CLS] Moór:2 Emánuel:3 egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"- - ,gár:2",Egyesült Királyság,0,Egyesült Királyság,0,-1.67230
[CLS] Hock:2 Bertalan:2 egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.47203
[CLS] Antalffy:2 - Zsiross:3 Dezső:3 egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.20525
[CLS] Antos:2 Kálmán egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.33751
[CLS] Barta:2 Tamás egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.54974
[CLS] Baróti:3 István egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.49087
[CLS] Bárdi:2 Sándor egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.35619
[CLS] Sztevanovity:4 Zorán:2 egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.24921
[CLS] Bódi:3 László egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.54688
[CLS] Farkas:2 - Jenser:2 Balázs egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.43845
[CLS] Filip György egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.40606
[CLS] Garay:2 Attila egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.64463
[CLS] Gosztonyi:3 János egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.74528
[CLS] Huzella:3 Péter egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.40841
[CLS] Ihász:3 Gábor egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.56093
[CLS] Kosóczki:3 Tamás egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.31488
[CLS] Kozma:2 András egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.36658
[CLS] Kékes:3 Zoltán egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.57748
[CLS] Lerch:2 István egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.28560
[CLS] Leányfalusi:4 Vilmos:2 egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.25441
[CLS] Szigeti:3 Csaba:2 egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.30534
[CLS] Másik:2 János egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.24648
[CLS] Mátyás:2 Attila egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.58048
[CLS] Máté:2 Péter egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.68259
[CLS] Nagy Feró:2 egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.43143
[CLS] Novai:2 Gábor egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.43122
[CLS] Poniklo:3 Imre egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-1.37950
[CLS] Réz:3 Lóránt:3 egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.20588
[CLS] Szathmáry:5 Lilla egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.37671
[CLS] Varga Petra egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.13689
[CLS] Varnus:2 Xavér:3 egy [MASK] állampolgár:3 . [SEP],magyar,Kanada,0,Kanada,0,-1.28179
[CLS] Ács:2 József egy [MASK] állampolgár:3 . [SEP],magyar,Magyarország,0,Magyarország,0,-0.69361
